"variable","class"
"SEQN","numeric"
"cycle","character"
"exposure","character"
"module_rds","character"
"matrix","character"
"transform","character"
"exposure_value","numeric"
"source_xpt","character"
"weight_source_xpt","character"
"weight_var","character"
"weight_2yr","numeric"
"combined_weight_divisor","numeric"
"analysis_weight","numeric"
"sdmvpsu","numeric"
"sdmvstra","numeric"
"design_observed","logical"
"imputed_exposure","logical"
"duplicated_measurement_rows","integer"
"conflicting_values","logical"
"mapping_note","character"
"age","numeric"
"sex","character"
"eth","character"
"marital","character"
"edu","character"
"smoke","character"
"alcohol.user","character"
"PA_level","character"
"PIR_level","character"
"BMI_level","character"
"LE8","numeric"
"CVD","numeric"
"ASCVD","numeric"
"CHD","numeric"
"CHF","numeric"
"heart.attack","numeric"
"angina","numeric"
"stroke","numeric"
