"category_group_id","source_group_id","family","n_exposures","n_continuous","n_binary","n_design_eligible","n_all_exposures_observed","n_CVD_complete","CVD_events","n_LE8_complete","max_exposure_missing_fraction","max_abs_spearman","min_binary_prevalence","bkmr_suitable","bkmr_exclusion_reasons","bkmr_run_recommended","bkmr_recommendation"
"C01","C01","Urinary flame retardants",5,3,2,3078,3048,1928,174,2194,0.00617283950617284,0.260900200836159,0.39479674796748,TRUE,"",FALSE,"Conditional: mixture includes binary LOD indicators; WQS preferred"
"C02","C03","Serum metals",6,5,1,5307,5295,3253,256,3687,0.00188430374976446,0.395621580479974,0.232584481782141,TRUE,"",FALSE,"Conditional: mixture includes binary LOD indicators; WQS preferred"
"C03","C04","Urinary metals",20,14,6,3687,3583,2220,177,2487,0.0235964198535395,0.760024740910717,0.185769656699889,TRUE,"",FALSE,"Conditional: mixture includes binary LOD indicators; WQS preferred"
"C04","C05","Urinary PAH metabolites",7,7,0,3687,3462,2151,160,2400,0.0564144290751288,0.925852590252454,,TRUE,"",TRUE,"Recommended for BKMR"
"C05","C06","Urinary phenols, parabens and related compounds",11,7,4,3584,3500,2143,190,2425,0.0234375,0.814690857964217,0.298145506419401,TRUE,"",FALSE,"Conditional: mixture includes binary LOD indicators; WQS preferred"
"C06","C07","Urinary perchlorate, nitrate and thiocyanate",3,3,0,3687,3572,2218,175,2482,0.0309194467046379,0.439645053997726,,TRUE,"",TRUE,"Recommended for BKMR"
"C07","C08","Serum PFAS",5,3,2,3584,3406,2073,185,2366,0.0496651785714286,0.7383067614234,0.41779213153259,TRUE,"",FALSE,"Conditional: mixture includes binary LOD indicators; WQS preferred"
"C08","C09","Urinary phthalates",15,12,3,3369,3324,2043,186,2324,0.0133570792520036,0.941299699256588,0.31609022556391,TRUE,"",FALSE,"Conditional: mixture includes binary LOD indicators; WQS preferred"
"C09","C10","Serum VOCs",11,1,10,5307,4558,2815,217,3163,0.057848125117769,0.839891644855866,0.129622421175555,FALSE,"fewer_than_3_continuous_exposures",FALSE,"Not recommended: fewer_than_3_continuous_exposures"
"C10","C11","Urinary VOC metabolites",20,16,4,3687,2594,1588,125,1794,0.0808245185787903,0.82821564194995,0.41017043867002,TRUE,"",FALSE,"Conditional: mixture includes binary LOD indicators; WQS preferred"
"C11","C13","Urinary pesticides",8,5,3,3560,3310,2065,182,2306,0.0264044943820225,0.561398120658016,0.122414281666194,TRUE,"",FALSE,"Conditional: mixture includes binary LOD indicators; WQS preferred"
