"file","rows","columns","size_bytes","md5"
"AA_urine.rds",6034,45,320593,"c4684704c5ad5431f6e60397ef7d4dad"
"BFR_serum.rds",12421,25,126079,"a40b68c31cd52253a41f5e95c04c0e32"
"BFR_urine.rds",11730,31,443261,"993fb6039fdd7b04d7a23958af83d13e"
"gas_serum.rds",7925,6,110128,"05a76ba0cd9b06a6378c5f7a4d524f6d"
"GYLP_urine.rds",8507,7,140181,"671179f9d804ef7d57bd3add418d5d20"
"HM_serum.rds",66830,17,728343,"6d02497e4813812f6b8c1da58635bd52"
"HM_urine.rds",22633,53,2309566,"1f86b5b833f1a135e978ff51366c96f5"
"PAH_urine.rds",19500,26,1064869,"049ac3f699a2be577125072874488842"
"PCCP_urine.rds",18961,37,1037729,"b54e51e0c9730ae3c561a6245edd448d"
"PERNT_urine.rds",30766,9,704633,"0175480a7d8edb0f3611394a13b56412"
"pesticides_urine.rds",22348,67,1501212,"884d217da6a56ff9712cdb3a272a5d9f"
"PFC_serum.rds",18236,36,427070,"3d4eec7f0f3d5786136a93998581fd30"
"PFC_urine.rds",4441,45,214284,"43d45d5e83cff343ee559482c3430489"
"Phthalates_urine.rds",22434,49,1770611,"9d49c83e9dcef3ba215099c5a5ba25e4"
"VOC_serum.rds",13349,104,489384,"aef20dd7866dc35e137614fa2aa4a5a4"
"VOC_urine.rds",11564,74,1549887,"ca0f34162237dc539e2467480296cc37"
