exposure,family,matrix,description
PBB153_ln_S,Brominated Flame Retardants,serum,PBB153_ln_S-ln-Zscore
PBDE28_ln_S,Brominated Flame Retardants,serum,PBDE28_ln_S-ln-Zscore
PBDE47_ln_S,Brominated Flame Retardants,serum,PBDE47_ln_S-ln-Zscore
PBDE85_binary_S,Brominated Flame Retardants,serum,PBDE85_binary_S-ln-Zscore
PBDE99_ln_S,Brominated Flame Retardants,serum,PBDE99_ln_S-ln-Zscore
PBDE100_ln_S,Brominated Flame Retardants,serum,PBDE100_ln_S-ln-Zscore
PBDE153_ln_S,Brominated Flame Retardants,serum,PBDE153_ln_S-ln-Zscore
PBDE154_ln_S,Brominated Flame Retardants,serum,PBDE154_ln_S-ln-Zscore
PBDE183_binary_S,Brominated Flame Retardants,serum,PBDE183_binary_S-ln-Zscore
PBDE209_ln_S,Brominated Flame Retardants,serum,PBDE209_ln_S-ln-Zscore
EO_ln_S,Gaseous Pollutants,serum,EO_ln_S-ln-Zscore
FA_ln_S,Gaseous Pollutants,serum,FA_ln_S-ln-Zscore
Cd_ln_S,Heavy Metals,serum,Cd_ln_S-ln-Zscore
Pb_ln_S,Heavy Metals,serum,Pb_ln_S-ln-Zscore
THg_ln_S,Heavy Metals,serum,THg_ln_S-ln-Zscore
IHg_binary_S,Heavy Metals,serum,IHg_binary_S-ln-Zscore
Se_ln_S,Heavy Metals,serum,Se_ln_S-ln-Zscore
Mn_ln_S,Heavy Metals,serum,Mn_ln_S-ln-Zscore
PFHS_ln_S,Polyfluoroalkyl Substances (PFAS),serum,PFHS_ln_S-ln-Zscore
MeFOSAA_binary_S,Polyfluoroalkyl Substances (PFAS),serum,MeFOSAA_binary_S-ln-Zscore
PFDA_ln_S,Polyfluoroalkyl Substances (PFAS),serum,PFDA_ln_S-ln-Zscore
PFHpA_binary_S,Polyfluoroalkyl Substances (PFAS),serum,PFHpA_binary_S-ln-Zscore
PFNA_ln_S,Polyfluoroalkyl Substances (PFAS),serum,PFNA_ln_S-ln-Zscore
PFUnDA_binary_S,Polyfluoroalkyl Substances (PFAS),serum,PFUnDA_binary_S-ln-Zscore
n_PFOA_ln_S,Polyfluoroalkyl Substances (PFAS),serum,n_PFOA_ln_S-ln-Zscore
n_PFOS_ln_S,Polyfluoroalkyl Substances (PFAS),serum,n_PFOS_ln_S-ln-Zscore
Sm_PFOS_ln_S,Polyfluoroalkyl Substances (PFAS),serum,Sm_PFOS_ln_S-ln-Zscore
X25_DMF_binary_S,Volatile Organic Compounds (VOC),serum,X25_DMF_binary_S-ln-Zscore
Benzene_binary_S,Volatile Organic Compounds (VOC),serum,Benzene_binary_S-ln-Zscore
X14_DCB_binary_S,Volatile Organic Compounds (VOC),serum,X14_DCB_binary_S-ln-Zscore
Ethylbenzene_binary_S,Volatile Organic Compounds (VOC),serum,Ethylbenzene_binary_S-ln-Zscore
Furan_binary_S,Volatile Organic Compounds (VOC),serum,Furan_binary_S-ln-Zscore
o_Xylene_binary_S,Volatile Organic Compounds (VOC),serum,o_Xylene_binary_S-ln-Zscore
m_p_Xylene_binary_S,Volatile Organic Compounds (VOC),serum,m_p_Xylene_binary_S-ln-Zscore
BDCM_binary_S,Volatile Organic Compounds (VOC),serum,BDCM_binary_S-ln-Zscore
Chloroform_binary_S,Volatile Organic Compounds (VOC),serum,Chloroform_binary_S-ln-Zscore
DBCM_binary_S,Volatile Organic Compounds (VOC),serum,DBCM_binary_S-ln-Zscore
Toluene_ln_S,Volatile Organic Compounds (VOC),serum,Toluene_ln_S-ln-Zscore
X1_AN_ln_U,Aromatic Amines,urine,X1_AN_ln_U-creatinine-ln-Zscore
X2_AN_ln_U,Aromatic Amines,urine,X2_AN_ln_U-creatinine-ln-Zscore
X4_ABP_ln_U,Aromatic Amines,urine,X4_ABP_ln_U-creatinine-ln-Zscore
o_ANS_ln_U,Aromatic Amines,urine,o_ANS_ln_U-creatinine-ln-Zscore
X26_DMA_binary_U,Aromatic Amines,urine,X26_DMA_binary_U-creatinine-ln-Zscore
o_TLD_ln_U,Aromatic Amines,urine,o_TLD_ln_U-creatinine-ln-Zscore
A_a_C_binary_U,Aromatic Amines,urine,A_a_C_binary_U-creatinine-ln-Zscore
Harman_ln_U,Aromatic Amines,urine,Harman_ln_U-creatinine-ln-Zscore
MeA_a_C_binary_U,Aromatic Amines,urine,MeA_a_C_binary_U-creatinine-ln-Zscore
Norharman_ln_U,Aromatic Amines,urine,Norharman_ln_U-creatinine-ln-Zscore
PhIP_binary_U,Aromatic Amines,urine,PhIP_binary_U-creatinine-ln-Zscore
X4_MDA_binary_U,Aromatic Amines,urine,X4_MDA_binary_U-creatinine-ln-Zscore
PPDA_binary_U,Aromatic Amines,urine,PPDA_binary_U-creatinine-ln-Zscore
IPPPP_binary_U,Brominated Flame Retardants,urine,IPPPP_binary_U-creatinine-ln-Zscore
TBPPP_binary_U,Brominated Flame Retardants,urine,TBPPP_binary_U-creatinine-ln-Zscore
DPCP_binary_U,Brominated Flame Retardants,urine,DPCP_binary_U-creatinine-ln-Zscore
DPHP_ln_U,Brominated Flame Retardants,urine,DPHP_ln_U-creatinine-ln-Zscore
BDCPP_ln_U,Brominated Flame Retardants,urine,BDCPP_ln_U-creatinine-ln-Zscore
BCPP_binary_U,Brominated Flame Retardants,urine,BCPP_binary_U-creatinine-ln-Zscore
