ChemicalID_30,Chemical,Gene,Source
1,Ethylene oxide,EPHX1,CTD
3,Acrylonitrile,BAX,CTD
3,Acrylonitrile,CASP3,CTD
3,Acrylonitrile,CYP2E1,CTD
3,Acrylonitrile,MAPK1,CTD
3,Acrylonitrile,MAPK3,CTD
3,Acrylonitrile,NQO1,CTD
3,Acrylonitrile,PARP1,CTD
5,Fluorene,AHR,CTD
5,Fluorene,AHRR,CTD
5,Fluorene,CAT,CTD
5,Fluorene,F2RL3,CTD
5,Fluorene,NOS3,CTD
5,Fluorene,NR1I3,CTD
6,Toluene,ABCA2,CTD
6,Toluene,ABCB9,CTD
6,Toluene,ABHD8,CTD
6,Toluene,ABLIM2,CTD
6,Toluene,ABR,CTD
6,Toluene,ABTB1,CTD
6,Toluene,ACAP3,CTD
6,Toluene,ACBD4,CTD
6,Toluene,ACE,CTD
6,Toluene,ACHE,CTD
6,Toluene,ACLY,CTD
6,Toluene,ACOT2,CTD
6,Toluene,ACSL1,CTD
6,Toluene,ACTC1,CTD
6,Toluene,ACTL6B,CTD
6,Toluene,ACTL7A,CTD
6,Toluene,ACVR2B,CTD
6,Toluene,ADAM19,CTD
6,Toluene,ADAMTS13,CTD
6,Toluene,ADAMTSL1,CTD
6,Toluene,ADAMTSL2,CTD
6,Toluene,ADAMTSL3,CTD
6,Toluene,ADAP1,CTD
6,Toluene,ADARB2,CTD
6,Toluene,ADAT3,CTD
6,Toluene,ADCK3,CTD
6,Toluene,ADD2,CTD
6,Toluene,ADIPOQ,CTD
6,Toluene,ADM,CTD
6,Toluene,ADPRHL1,CTD
6,Toluene,ALDH3B1,CTD
6,Toluene,ANKRD11,CTD
6,Toluene,ARHGEF10,CTD
6,Toluene,ASIC4,CTD
6,Toluene,BMP8B,CTD
6,Toluene,CACNG8,CTD
6,Toluene,CARMIL3,CTD
6,Toluene,CAT,CTD
6,Toluene,CATSPERG,CTD
6,Toluene,CCL2,CTD
6,Toluene,CD99L2,CTD
6,Toluene,CDCP2,CTD
6,Toluene,CHRNA3,CTD
6,Toluene,CHRNA4,CTD
6,Toluene,CHRNA7,CTD
6,Toluene,CHRNB2,CTD
6,Toluene,CLCN4,CTD
6,Toluene,CLIP2,CTD
6,Toluene,CNTNAP3,CTD
6,Toluene,COQ8B,CTD
6,Toluene,CYP2E1,CTD
6,Toluene,DPT,CTD
6,Toluene,DPYSL4,CTD
6,Toluene,ENTPD1,CTD
6,Toluene,FEZ2,CTD
6,Toluene,FLVCR1,CTD
6,Toluene,FMR1,CTD
6,Toluene,GABRA1,CTD
6,Toluene,GABRB1,CTD
6,Toluene,GLRA1,CTD
6,Toluene,GLS2,CTD
6,Toluene,GTPBP6,CTD
6,Toluene,GYPE,CTD
6,Toluene,H3C15,CTD
6,Toluene,HMOX1,CTD
6,Toluene,HRC,CTD
6,Toluene,IL12B,CTD
6,Toluene,IL6,CTD
6,Toluene,KCNK3,CTD
6,Toluene,KLF4,CTD
6,Toluene,KRTAP23-1,CTD
6,Toluene,LCE3D,CTD
6,Toluene,MAB21L2,CTD
6,Toluene,MYOG,CTD
6,Toluene,NAMPT,CTD
6,Toluene,NOTCH1,CTD
6,Toluene,NQO1,CTD
6,Toluene,OTX1,CTD
6,Toluene,PAPLN,CTD
6,Toluene,PEBP4,CTD
6,Toluene,PMAIP1,CTD
6,Toluene,PML,CTD
6,Toluene,PRTFDC1,CTD
6,Toluene,PTGS2,CTD
6,Toluene,RAB11FIP1,CTD
6,Toluene,RARA,CTD
6,Toluene,RARG,CTD
6,Toluene,RP9P,CTD
6,Toluene,RPS6KA1,CTD
6,Toluene,SGSM2,CTD
6,Toluene,SLC22A8,CTD
6,Toluene,SLC25A47,CTD
6,Toluene,SULT4A1,CTD
6,Toluene,TLCD4,CTD
6,Toluene,TNF,CTD
6,Toluene,TNXB,CTD
6,Toluene,TP53,CTD
6,Toluene,TP73,CTD
6,Toluene,UBL4B,CTD
6,Toluene,UCKL1,CTD
6,Toluene,WASHC2C,CTD
6,Toluene,WNK4,CTD
6,Toluene,WNT7B,CTD
6,Toluene,ZBTB32,CTD
7,"1,3-Butadiene",CYP2E1,CTD
7,"1,3-Butadiene",EPHX1,CTD
7,"1,3-Butadiene",GSTM1,CTD
7,"1,3-Butadiene",GSTT1,CTD
7,"1,3-Butadiene",MPO,CTD
7,"1,3-Butadiene",TRPA1,CTD
8,Acrylamide,AKT1,CTD
8,Acrylamide,ATF3,CTD
8,Acrylamide,ATF4,CTD
8,Acrylamide,ATM,CTD
8,Acrylamide,ATR,CTD
8,Acrylamide,CASP3,CTD
8,Acrylamide,CASP9,CTD
8,Acrylamide,CAT,CTD
8,Acrylamide,CCND1,CTD
8,Acrylamide,CYP2E1,CTD
8,Acrylamide,DDIT3,CTD
8,Acrylamide,DRD3,CTD
8,Acrylamide,EGFR,CTD
8,Acrylamide,EIF2S1,CTD
8,Acrylamide,EPHX1,CTD
8,Acrylamide,ERBB2,CTD
8,Acrylamide,FGF2,CTD
8,Acrylamide,FGFR1,CTD
8,Acrylamide,GAPDH,CTD
8,Acrylamide,GCLM,CTD
8,Acrylamide,GPX1,CTD
8,Acrylamide,GSR,CTD
8,Acrylamide,GSTM1,CTD
8,Acrylamide,GSTT1,CTD
8,Acrylamide,HSF1,CTD
8,Acrylamide,IKZF1,CTD
8,Acrylamide,KCNE1,CTD
8,Acrylamide,KCNQ1,CTD
8,Acrylamide,KCNQ2,CTD
8,Acrylamide,KCNQ3,CTD
8,Acrylamide,KCNQ4,CTD
8,Acrylamide,KCNQ5,CTD
8,Acrylamide,MAPT,CTD
8,Acrylamide,NFE2L2,CTD
8,Acrylamide,NQO1,CTD
8,Acrylamide,PARP1,CTD
8,Acrylamide,PTGER3,CTD
8,Acrylamide,PTK2,CTD
8,Acrylamide,PTK2B,CTD
8,Acrylamide,RELA,CTD
8,Acrylamide,SOD1,CTD
8,Acrylamide,TP53,CTD
9,Cadmium,A1BG,CTD
9,Cadmium,A2M,CTD
9,Cadmium,AARS1,CTD
9,Cadmium,ABCA13,CTD
9,Cadmium,ABCB1,CTD
9,Cadmium,ABCC2,CTD
9,Cadmium,ABCD3,CTD
9,Cadmium,ABCG2,CTD
9,Cadmium,ABLIM2,CTD
9,Cadmium,ACO2,CTD
9,Cadmium,ACOXL,CTD
9,Cadmium,ACP2,CTD
9,Cadmium,ACSL4,CTD
9,Cadmium,ACVR1B,CTD
9,Cadmium,ADAM10,CTD
9,Cadmium,ADCY6,CTD
9,Cadmium,ADH5,CTD
9,Cadmium,ADORA1,CTD
9,Cadmium,AFM,CTD
9,Cadmium,AGT,CTD
9,Cadmium,AHRR,CTD
9,Cadmium,AKT1,CTD
9,Cadmium,AKT2,CTD
9,Cadmium,AKT3,CTD
9,Cadmium,ALAD,CTD
9,Cadmium,ALB,CTD
9,Cadmium,ALCAM,CTD
9,Cadmium,ALDOA,CTD
9,Cadmium,AMBP,CTD
9,Cadmium,ANKFY1,CTD
9,Cadmium,ANO6,CTD
9,Cadmium,ANPEP,CTD
9,Cadmium,ANXA11,CTD
9,Cadmium,AP2S1,CTD
9,Cadmium,AP3B1,CTD
9,Cadmium,APBA2,CTD
9,Cadmium,APCS,CTD
9,Cadmium,APEX1,CTD
9,Cadmium,APLF,CTD
9,Cadmium,APOA1,CTD
9,Cadmium,APOA2,CTD
9,Cadmium,APOA4,CTD
9,Cadmium,APOB,CTD
9,Cadmium,APOE,CTD
9,Cadmium,APP,CTD
9,Cadmium,AR,CTD
9,Cadmium,AREG,CTD
9,Cadmium,ARG1,CTD
9,Cadmium,ARL6,CTD
9,Cadmium,ASPH,CTD
9,Cadmium,ATAD3C,CTD
9,Cadmium,ATF4,CTD
9,Cadmium,ATF5,CTD
9,Cadmium,ATF7,CTD
9,Cadmium,ATG3,CTD
9,Cadmium,ATG4B,CTD
9,Cadmium,ATG5,CTD
9,Cadmium,ATG7,CTD
9,Cadmium,ATM,CTD
9,Cadmium,ATP11B,CTD
9,Cadmium,ATP6V0D1,CTD
9,Cadmium,ATR,CTD
9,Cadmium,AUP1,CTD
9,Cadmium,AURKB,CTD
9,Cadmium,AZGP1,CTD
9,Cadmium,B2M,CTD
9,Cadmium,BAK1,CTD
9,Cadmium,BAX,CTD
9,Cadmium,BBC3,CTD
9,Cadmium,BCL2,CTD
9,Cadmium,BCL2L1,CTD
9,Cadmium,BDNF,CTD
9,Cadmium,BECN1,CTD
9,Cadmium,BGLAP,CTD
9,Cadmium,BID,CTD
9,Cadmium,BLMH,CTD
9,Cadmium,BMP4,CTD
9,Cadmium,BNIP3,CTD
9,Cadmium,BNIP3L,CTD
9,Cadmium,BRCA1,CTD
9,Cadmium,BRCA2,CTD
9,Cadmium,BTN2A1,CTD
9,Cadmium,C12ORF75,CTD
9,Cadmium,C1QB,CTD
9,Cadmium,C1QC,CTD
9,Cadmium,C1QTNF6,CTD
9,Cadmium,C1R,CTD
9,Cadmium,C1S,CTD
9,Cadmium,C3,CTD
9,Cadmium,C4B,CTD
9,Cadmium,C4BPA,CTD
9,Cadmium,C5,CTD
9,Cadmium,C8G,CTD
9,Cadmium,CACNA1E,CTD
9,Cadmium,CALHM5,CTD
9,Cadmium,CALML5,CTD
9,Cadmium,CALR,CTD
9,Cadmium,CAMTA1,CTD
9,Cadmium,CAPRIN1,CTD
9,Cadmium,CARM1,CTD
9,Cadmium,CASP1,CTD
9,Cadmium,CASP12,CTD
9,Cadmium,CASP3,CTD
9,Cadmium,CASP7,CTD
9,Cadmium,CASP8,CTD
9,Cadmium,CASP9,CTD
9,Cadmium,CAT,CTD
9,Cadmium,CAV1,CTD
9,Cadmium,CCDC174,CTD
9,Cadmium,CCDC86,CTD
9,Cadmium,CCL2,CTD
9,Cadmium,CCL5,CTD
9,Cadmium,CCN2,CTD
9,Cadmium,CCN5,CTD
9,Cadmium,CCNB1,CTD
9,Cadmium,CCNB2,CTD
9,Cadmium,CCND1,CTD
9,Cadmium,CCNE1,CTD
9,Cadmium,CD14,CTD
9,Cadmium,CD151,CTD
9,Cadmium,CD276,CTD
9,Cadmium,CD44,CTD
9,Cadmium,CD68,CTD
9,Cadmium,CD81,CTD
9,Cadmium,CD9,CTD
9,Cadmium,CDC26,CTD
9,Cadmium,CDC42SE2,CTD
9,Cadmium,CDH1,CTD
9,Cadmium,CDH2,CTD
9,Cadmium,CDK1,CTD
9,Cadmium,CDK12,CTD
9,Cadmium,CDK13,CTD
9,Cadmium,CDKN1A,CTD
9,Cadmium,CDKN1B,CTD
9,Cadmium,CDKN2A,CTD
9,Cadmium,CENPA,CTD
9,Cadmium,CFB,CTD
9,Cadmium,CFH,CTD
9,Cadmium,CFI,CTD
9,Cadmium,CFTR,CTD
9,Cadmium,CGB3,CTD
9,Cadmium,CHPT1,CTD
9,Cadmium,CHUK,CTD
9,Cadmium,CLCN6,CTD
9,Cadmium,CLCN7,CTD
9,Cadmium,CLU,CTD
9,Cadmium,CNN3,CTD
9,Cadmium,CNOT12,CTD
9,Cadmium,CNST,CTD
9,Cadmium,CNTF,CTD
9,Cadmium,COL12A1,CTD
9,Cadmium,COL1A1,CTD
9,Cadmium,COMT,CTD
9,Cadmium,COPS3,CTD
9,Cadmium,COQ10B,CTD
9,Cadmium,COX4,CTD
9,Cadmium,CP,CTD
9,Cadmium,CPEB3,CTD
9,Cadmium,CRB2,CTD
9,Cadmium,CREB1,CTD
9,Cadmium,CREBRF,CTD
9,Cadmium,CSNK1G3,CTD
9,Cadmium,CSPG4,CTD
9,Cadmium,CTDSP1,CTD
9,Cadmium,CTDSP2,CTD
9,Cadmium,CTNNA2,CTD
9,Cadmium,CTNNB1,CTD
9,Cadmium,CTSB,CTD
9,Cadmium,CTSL,CTD
9,Cadmium,CTSO,CTD
9,Cadmium,CXCL10,CTD
9,Cadmium,CXCL11,CTD
9,Cadmium,CXCL12,CTD
9,Cadmium,CXCL8,CTD
9,Cadmium,CXCL9,CTD
9,Cadmium,CYB5B,CTD
9,Cadmium,CYCS,CTD
9,Cadmium,CYP19A1,CTD
9,Cadmium,CYRIB,CTD
9,Cadmium,CYSTM1,CTD
9,Cadmium,DAD1,CTD
9,Cadmium,DAGLB,CTD
9,Cadmium,DCD,CTD
9,Cadmium,DCTN2,CTD
9,Cadmium,DDIT3,CTD
9,Cadmium,DDOST,CTD
9,Cadmium,DERL2,CTD
9,Cadmium,DHX15,CTD
9,Cadmium,DHX35,CTD
9,Cadmium,DKC1,CTD
9,Cadmium,DNAJC13,CTD
9,Cadmium,DNAJC5,CTD
9,Cadmium,DNASE2,CTD
9,Cadmium,DNMT1,CTD
9,Cadmium,DNMT3B,CTD
9,Cadmium,DOT1L,CTD
9,Cadmium,DPP4,CTD
9,Cadmium,DSG1,CTD
9,Cadmium,DSG2,CTD
9,Cadmium,DSP,CTD
9,Cadmium,DUXAP10,CTD
9,Cadmium,EBAG9,CTD
9,Cadmium,EEA1,CTD
9,Cadmium,EFCAB14,CTD
9,Cadmium,EFNA5,CTD
9,Cadmium,EGF,CTD
9,Cadmium,EGFR,CTD
9,Cadmium,EGR3,CTD
9,Cadmium,EIF1,CTD
9,Cadmium,EIF2AK3,CTD
9,Cadmium,EIF2S1,CTD
9,Cadmium,EIF3L,CTD
9,Cadmium,EIF4A1,CTD
9,Cadmium,EIF5A,CTD
9,Cadmium,EIF6,CTD
9,Cadmium,ELOVL1,CTD
9,Cadmium,ELOVL5,CTD
9,Cadmium,EMILIN1,CTD
9,Cadmium,ENG,CTD
9,Cadmium,ENO1,CTD
9,Cadmium,ENPP2,CTD
9,Cadmium,EPAS1,CTD
9,Cadmium,EPO,CTD
9,Cadmium,ERBB2,CTD
9,Cadmium,ERC2,CTD
9,Cadmium,ERGIC1,CTD
9,Cadmium,ERGIC3,CTD
9,Cadmium,ERH,CTD
9,Cadmium,ERN1,CTD
9,Cadmium,ERVFRD-1,CTD
9,Cadmium,ESR1,CTD
9,Cadmium,ESR2,CTD
9,Cadmium,ESRRG,CTD
9,Cadmium,EXOC2,CTD
9,Cadmium,F11,CTD
9,Cadmium,F12,CTD
9,Cadmium,F2,CTD
9,Cadmium,F2RL3,CTD
9,Cadmium,F5,CTD
9,Cadmium,FABP5,CTD
9,Cadmium,FAM114A1,CTD
9,Cadmium,FAM157C,CTD
9,Cadmium,FAM171A1,CTD
9,Cadmium,FAU,CTD
9,Cadmium,FBN1,CTD
9,Cadmium,FBXO15,CTD
9,Cadmium,FCN3,CTD
9,Cadmium,FGGY,CTD
9,Cadmium,FIBCD1,CTD
9,Cadmium,FIP1L1,CTD
9,Cadmium,FKBP9,CTD
9,Cadmium,FKRP,CTD
9,Cadmium,FLII,CTD
9,Cadmium,FLOT2,CTD
9,Cadmium,FLT1,CTD
9,Cadmium,FN1,CTD
9,Cadmium,FNDC3A,CTD
9,Cadmium,FNDC5,CTD
9,Cadmium,FOS,CTD
9,Cadmium,FOXA2,CTD
9,Cadmium,FOXM1,CTD
9,Cadmium,FOXO1,CTD
9,Cadmium,FOXO3,CTD
9,Cadmium,FTL,CTD
9,Cadmium,G0S2,CTD
9,Cadmium,G6PC1,CTD
9,Cadmium,GALNT2,CTD
9,Cadmium,GART,CTD
9,Cadmium,GC,CTD
9,Cadmium,GDI2,CTD
9,Cadmium,GJA1,CTD
9,Cadmium,GLI1,CTD
9,Cadmium,GLRX,CTD
9,Cadmium,GNA11,CTD
9,Cadmium,GNAQ,CTD
9,Cadmium,GPC1,CTD
9,Cadmium,GPER1,CTD
9,Cadmium,GPI,CTD
9,Cadmium,GPRC5A,CTD
9,Cadmium,GPX1,CTD
9,Cadmium,GPX4,CTD
9,Cadmium,GRAMD2B,CTD
9,Cadmium,GRB10,CTD
9,Cadmium,GREB1,CTD
9,Cadmium,GRIN3A,CTD
9,Cadmium,GSDME,CTD
9,Cadmium,GSK3B,CTD
9,Cadmium,GSN,CTD
9,Cadmium,GSTO1,CTD
9,Cadmium,GSTP1,CTD
9,Cadmium,H2AX,CTD
9,Cadmium,H3C7,CTD
9,Cadmium,H4C15,CTD
9,Cadmium,HACD3,CTD
9,Cadmium,HAS2,CTD
9,Cadmium,HBA2,CTD
9,Cadmium,HBB,CTD
9,Cadmium,HDAC3,CTD
9,Cadmium,HIF1A,CTD
9,Cadmium,HK2,CTD
9,Cadmium,HLA-G,CTD
9,Cadmium,HMGA2,CTD
9,Cadmium,HMOX1,CTD
9,Cadmium,HMOX2,CTD
9,Cadmium,HNRNPA2B1,CTD
9,Cadmium,HNRNPH1,CTD
9,Cadmium,HOPX,CTD
9,Cadmium,HP,CTD
9,Cadmium,HPR,CTD
9,Cadmium,HPX,CTD
9,Cadmium,HRG,CTD
9,Cadmium,HRNR,CTD
9,Cadmium,HSD11B2,CTD
9,Cadmium,HSF1,CTD
9,Cadmium,HSF2,CTD
9,Cadmium,HSP90AA1,CTD
9,Cadmium,HSP90AB2P,CTD
9,Cadmium,HSPA1A,CTD
9,Cadmium,HSPA5,CTD
9,Cadmium,HSPB1,CTD
9,Cadmium,HSPH1,CTD
9,Cadmium,HUWE1,CTD
9,Cadmium,HYAL1,CTD
9,Cadmium,IDH2,CTD
9,Cadmium,IFNG,CTD
9,Cadmium,IGF1,CTD
