Gene,Source
APOE,GeneCards
ABCA1,GeneCards
ACE,GeneCards
APP,GeneCards
CSF1R,GeneCards
DCTN1,GeneCards
FUS,GeneCards
HNRNPA2B1,GeneCards
KCNQ1,GeneCards
MAPT,GeneCards
NOTCH3,GeneCards
OPTN,GeneCards
PRKAR1B,GeneCards
PSEN1,GeneCards
PSEN2,GeneCards
SQSTM1,GeneCards
TBK1,GeneCards
VCP,GeneCards
F5,GeneCards
HNRNPA1,GeneCards
TUBA4A,GeneCards
PRNP,GeneCards
TARDBP,GeneCards
GRN,GeneCards
ATXN2,GeneCards
TBP,GeneCards
FLNC,GeneCards
MATR3,GeneCards
SIGMAR1,GeneCards
CD33,GeneCards
TREM2,GeneCards
SLC8A1,GeneCards
CHMP2B,GeneCards
NLGN1,GeneCards
ABCA7,GeneCards
VPS35,GeneCards
C9ORF72,GeneCards
UBQLN2,GeneCards
MARK4,GeneCards
ITM2B,GeneCards
TBX18,GeneCards
TOMM40,GeneCards
CHCHD10,GeneCards
LDLR,GeneCards
NIPSNAP3B,GeneCards
FBN1,GeneCards
PTPN11,GeneCards
LDLRAP1,GeneCards
LIPG,GeneCards
TUG1,GeneCards
APOA1,GeneCards
APOB,GeneCards
BRAF,GeneCards
FLT4,GeneCards
HRAS,GeneCards
KRAS,GeneCards
MAP2K1,GeneCards
MAP2K2,GeneCards
NF1,GeneCards
NOTCH2,GeneCards
PCSK9,GeneCards
SMARCA4,GeneCards
SOS1,GeneCards
TSC1,GeneCards
KDR,GeneCards
NRAS,GeneCards
SHOC2,GeneCards
ELN,GeneCards
LZTR1,GeneCards
DCHS1,GeneCards
ABL1,GeneCards
ACTA2,GeneCards
ACTB,GeneCards
ACTG1,GeneCards
CACNA1C,GeneCards
CBL,GeneCards
CHD4,GeneCards
COL3A1,GeneCards
CREBBP,GeneCards
CTNND1,GeneCards
EHMT1,GeneCards
FLNA,GeneCards
GATA4,GeneCards
JAG1,GeneCards
KMT2A,GeneCards
KMT2D,GeneCards
LPL,GeneCards
NOTCH1,GeneCards
PLD1,GeneCards
PPARG,GeneCards
PPP1CB,GeneCards
RAF1,GeneCards
TAF1,GeneCards
ACTC1,GeneCards
COL2A1,GeneCards
MYH11,GeneCards
PRKD1,GeneCards
ROBO1,GeneCards
SMAD6,GeneCards
TAB2,GeneCards
ABCG8,GeneCards
COL11A2,GeneCards
DYRK1A,GeneCards
NKX2-5,GeneCards
SOS2,GeneCards
ABCG5,GeneCards
CDK8,GeneCards
MYL2,GeneCards
PTK2,GeneCards
ACVR2B,GeneCards
GATA6,GeneCards
MEFV,GeneCards
MYH6,GeneCards
NR2F2,GeneCards
PLXND1,GeneCards
CDK13,GeneCards
CHD7,GeneCards
KAT6B,GeneCards
MAPK1,GeneCards
MYH7,GeneCards
NSD1,GeneCards
RIT1,GeneCards
DYNC2H1,GeneCards
FBN2,GeneCards
GJA5,GeneCards
MRAS,GeneCards
RECQL4,GeneCards
BRF1,GeneCards
KISS1R,GeneCards
PPP1R13L,GeneCards
ADNP,GeneCards
ALDH1A2,GeneCards
FOXH1,GeneCards
RBFOX2,GeneCards
RRAS2,GeneCards
TBX5,GeneCards
MUC16,GeneCards
NONO,GeneCards
TBX1,GeneCards
TFAP2B,GeneCards
ZFPM2,GeneCards
FOXF1,GeneCards
MYRF,GeneCards
SETD5,GeneCards
DNAH9,GeneCards
ANKRD1,GeneCards
MGAT1,GeneCards
NAA15,GeneCards
NEXN,GeneCards
ROBO4,GeneCards
ZIC3,GeneCards
LEFTY2,GeneCards
NODAL,GeneCards
TBX20,GeneCards
CERS1,GeneCards
CRELD1,GeneCards
MED13L,GeneCards
SRF,GeneCards
TLL1,GeneCards
ANKRD11,GeneCards
ARF3,GeneCards
CITED2,GeneCards
GATA5,GeneCards
HAND2,GeneCards
TNS1,GeneCards
PKD1L1,GeneCards
GJC1,GeneCards
HEY2,GeneCards
CRIPTO,GeneCards
HAND1,GeneCards
PUS3,GeneCards
SHROOM3,GeneCards
MCTP2,GeneCards
MMP21,GeneCards
CAPN15,GeneCards
CFAP53,GeneCards
FOXJ1,GeneCards
ODAD1,GeneCards
DZIP1,GeneCards
XPNPEP2,GeneCards
ZRSR2,GeneCards
GLYR1,GeneCards
TMEM260,GeneCards
GDF1,GeneCards
HYLS1,GeneCards
NKX2-6,GeneCards
SOX7,GeneCards
GLIS1,GeneCards
LMCD1,GeneCards
FOXL1,GeneCards
CFC1,GeneCards
CFAP45,GeneCards
ETV2,GeneCards
CTNNB1,GeneCards
EPHB4,GeneCards
F12,GeneCards
FGFR1,GeneCards
GATA2,GeneCards
GHR,GeneCards
GNA11,GeneCards
GNAS,GeneCards
HGF,GeneCards
HTT,GeneCards
IDH1,GeneCards
MEN1,GeneCards
MET,GeneCards
MTOR,GeneCards
MYH9,GeneCards
PDGFRB,GeneCards
PIK3CA,GeneCards
PIK3R1,GeneCards
PIK3R2,GeneCards
POMC,GeneCards
PTEN,GeneCards
RASA1,GeneCards
RPS6KA3,GeneCards
SMAD4,GeneCards
SMO,GeneCards
TEK,GeneCards
TSC2,GeneCards
GBA1,GeneCards
IDH2,GeneCards
ACVRL1,GeneCards
ADAR,GeneCards
ENG,GeneCards
KIF11,GeneCards
LIMK1,GeneCards
PKD1,GeneCards
TSHR,GeneCards
AARS1,GeneCards
PKD2,GeneCards
PRKACA,GeneCards
SPRED1,GeneCards
B4GALT1,GeneCards
CYP27A1,GeneCards
CDKN1C,GeneCards
MTTP,GeneCards
UTRN,GeneCards
APOC2,GeneCards
GNAQ,GeneCards
GSK3A,GeneCards
MAP3K3,GeneCards
NCF1,GeneCards
RHOA,GeneCards
ALOX5,GeneCards
DROSHA,GeneCards
EPHX2,GeneCards
MAP2K5,GeneCards
STAMBP,GeneCards
VAPB,GeneCards
ABCB6,GeneCards
APOA5,GeneCards
COL4A4,GeneCards
COL4A5,GeneCards
LIPA,GeneCards
PTGS2,GeneCards
XRCC5,GeneCards
ARAF,GeneCards
CELSR1,GeneCards
STX1A,GeneCards
VEGFC,GeneCards
APOA2,GeneCards
FOXC2,GeneCards
RFC2,GeneCards
BAZ1B,GeneCards
CYP7A1,GeneCards
SLC4A7,GeneCards
TNFSF10,GeneCards
CCM2,GeneCards
CREB3L3,GeneCards
DLK1,GeneCards
FAT4,GeneCards
KRIT1,GeneCards
PTPRA,GeneCards
XPO5,GeneCards
BSCL2,GeneCards
CORIN,GeneCards
FGFRL1,GeneCards
MLXIPL,GeneCards
PIEZO1,GeneCards
SERPINF2,GeneCards
STEAP3,GeneCards
SUMF1,GeneCards
INF2,GeneCards
IPO8,GeneCards
PTPN14,GeneCards
TFDP1,GeneCards
USP15,GeneCards
ELMO2,GeneCards
EZH1,GeneCards
GPIHBP1,GeneCards
MCM3AP,GeneCards
GLMN,GeneCards
PDCD10,GeneCards
DOCK6,GeneCards
ITIH4,GeneCards
TAF8,GeneCards
UGP2,GeneCards
USF1,GeneCards
GDF2,GeneCards
POLI,GeneCards
FKBP6,GeneCards
GTF2I,GeneCards
BCL3,GeneCards
CCBE1,GeneCards
FUT2,GeneCards
GJC2,GeneCards
LMF1,GeneCards
ACOT2,GeneCards
GNA14,GeneCards
GTF2IRD1,GeneCards
EIF4H,GeneCards
CLDN14,GeneCards
HIPK3,GeneCards
KEL,GeneCards
MKRN3,GeneCards
SLAMF1,GeneCards
LINC00473,GeneCards
SOX18,GeneCards
XK,GeneCards
ANKRD27,GeneCards
