ChemicalID_30,Chemical,Gene,Source
2,"2,5-Dimethylfuran",CHRM3,SwissTargetPrediction
2,"2,5-Dimethylfuran",CHRM1,SwissTargetPrediction
2,"2,5-Dimethylfuran",CHRM5,SwissTargetPrediction
2,"2,5-Dimethylfuran",CHRM4,SwissTargetPrediction
2,"2,5-Dimethylfuran",CHRM2,SwissTargetPrediction
2,"2,5-Dimethylfuran",CYP2A6,SwissTargetPrediction
2,"2,5-Dimethylfuran",CA9,SwissTargetPrediction
2,"2,5-Dimethylfuran",CA1,SwissTargetPrediction
2,"2,5-Dimethylfuran",CA2,SwissTargetPrediction
2,"2,5-Dimethylfuran",CA12,SwissTargetPrediction
2,"2,5-Dimethylfuran",CYP19A1,SwissTargetPrediction
2,"2,5-Dimethylfuran",AHR,SwissTargetPrediction
2,"2,5-Dimethylfuran",ACHE,SwissTargetPrediction
2,"2,5-Dimethylfuran",HRH3,SwissTargetPrediction
2,"2,5-Dimethylfuran",MAPT,SwissTargetPrediction
4,Furan,CA9,SwissTargetPrediction
4,Furan,CA1,SwissTargetPrediction
4,Furan,CA2,SwissTargetPrediction
4,Furan,CA12,SwissTargetPrediction
4,Furan,HSP90AA1,SwissTargetPrediction
4,Furan,CA14,SwissTargetPrediction
4,Furan,CA7,SwissTargetPrediction
4,Furan,PDE4B,SwissTargetPrediction
4,Furan,CYP2A6,SwissTargetPrediction
4,Furan,METAP2,SwissTargetPrediction
4,Furan,NOS1,SwissTargetPrediction
4,Furan,ALOX5,SwissTargetPrediction
4,Furan,DCUN1D1,SwissTargetPrediction
4,Furan,ALOX12,SwissTargetPrediction
4,Furan,ALOX15,SwissTargetPrediction
5,Fluorene,HTR2A,SwissTargetPrediction
5,Fluorene,ESR1,SwissTargetPrediction
5,Fluorene,CYP1A2,SwissTargetPrediction
5,Fluorene,PDK2,SwissTargetPrediction
5,Fluorene,CNR2,SwissTargetPrediction
5,Fluorene,MAOA,SwissTargetPrediction
5,Fluorene,CYP1B1,SwissTargetPrediction
5,Fluorene,HTR2B,SwissTargetPrediction
5,Fluorene,SLC6A4,SwissTargetPrediction
5,Fluorene,SLC6A2,SwissTargetPrediction
5,Fluorene,ADRA2A,SwissTargetPrediction
5,Fluorene,DYRK1A,SwissTargetPrediction
5,Fluorene,ADRA2C,SwissTargetPrediction
5,Fluorene,HDAC6,SwissTargetPrediction
5,Fluorene,CA2,SwissTargetPrediction
6,Toluene,ACHE,SwissTargetPrediction
6,Toluene,CYP1B1,SwissTargetPrediction
6,Toluene,IDO1,SwissTargetPrediction
6,Toluene,CYP2A6,SwissTargetPrediction
6,Toluene,HTR2A,SwissTargetPrediction
6,Toluene,F2,SwissTargetPrediction
6,Toluene,CA9,SwissTargetPrediction
6,Toluene,CA1,SwissTargetPrediction
6,Toluene,PPARA,SwissTargetPrediction
6,Toluene,CNR2,SwissTargetPrediction
6,Toluene,TRPA1,SwissTargetPrediction
6,Toluene,RIPK1,SwissTargetPrediction
6,Toluene,CYP1A2,SwissTargetPrediction
6,Toluene,MAOB,SwissTargetPrediction
6,Toluene,SLC6A4,SwissTargetPrediction
8,Acrylamide,FGFR4,SwissTargetPrediction
8,Acrylamide,TRPA1,SwissTargetPrediction
8,Acrylamide,SIRT3,SwissTargetPrediction
8,Acrylamide,SIRT2,SwissTargetPrediction
8,Acrylamide,TDO2,SwissTargetPrediction
8,Acrylamide,IDO1,SwissTargetPrediction
8,Acrylamide,DCUN1D1,SwissTargetPrediction
8,Acrylamide,CHUK,SwissTargetPrediction
8,Acrylamide,PARP1,SwissTargetPrediction
8,Acrylamide,METAP2,SwissTargetPrediction
8,Acrylamide,MAP2K1,SwissTargetPrediction
8,Acrylamide,NNMT,SwissTargetPrediction
8,Acrylamide,NUDT1,SwissTargetPrediction
8,Acrylamide,DCPS,SwissTargetPrediction
8,Acrylamide,MKNK2,SwissTargetPrediction
10,Naphthalene,CYP1B1,SwissTargetPrediction
10,Naphthalene,CYP1A2,SwissTargetPrediction
10,Naphthalene,HPRT1,SwissTargetPrediction
10,Naphthalene,MAOA,SwissTargetPrediction
10,Naphthalene,ACHE,SwissTargetPrediction
10,Naphthalene,PPARA,SwissTargetPrediction
10,Naphthalene,CNR2,SwissTargetPrediction
10,Naphthalene,IDO1,SwissTargetPrediction
10,Naphthalene,NQO2,SwissTargetPrediction
10,Naphthalene,MGLL,SwissTargetPrediction
10,Naphthalene,CA9,SwissTargetPrediction
10,Naphthalene,SHBG,SwissTargetPrediction
10,Naphthalene,CA1,SwissTargetPrediction
10,Naphthalene,MAOB,SwissTargetPrediction
10,Naphthalene,RIPK1,SwissTargetPrediction
11,Styrene,ACHE,SwissTargetPrediction
11,Styrene,MAOB,SwissTargetPrediction
11,Styrene,TRPA1,SwissTargetPrediction
11,Styrene,RELA,SwissTargetPrediction
11,Styrene,CNR2,SwissTargetPrediction
11,Styrene,CYP1B1,SwissTargetPrediction
11,Styrene,PPARA,SwissTargetPrediction
11,Styrene,MAOA,SwissTargetPrediction
11,Styrene,IDO1,SwissTargetPrediction
11,Styrene,CYP1A2,SwissTargetPrediction
11,Styrene,CYP2A6,SwissTargetPrediction
11,Styrene,CA1,SwissTargetPrediction
11,Styrene,AHR,SwissTargetPrediction
11,Styrene,NQO2,SwissTargetPrediction
11,Styrene,SLC6A2,SwissTargetPrediction
13,A-alpha-C,CA5A,SwissTargetPrediction
13,A-alpha-C,DYRK1A,SwissTargetPrediction
13,A-alpha-C,CLK1,SwissTargetPrediction
13,A-alpha-C,DHFR,SwissTargetPrediction
13,A-alpha-C,N/A,SwissTargetPrediction
13,A-alpha-C,NOS2,SwissTargetPrediction
13,A-alpha-C,NOS1,SwissTargetPrediction
13,A-alpha-C,LIMK1,SwissTargetPrediction
13,A-alpha-C,NOS3,SwissTargetPrediction
13,A-alpha-C,NUDT1,SwissTargetPrediction
13,A-alpha-C,ADORA2A,SwissTargetPrediction
13,A-alpha-C,DCPS,SwissTargetPrediction
13,A-alpha-C,AOC3,SwissTargetPrediction
13,A-alpha-C,EGFR,SwissTargetPrediction
14,Benzene,CYP1B1,SwissTargetPrediction
14,Benzene,CYP1A2,SwissTargetPrediction
14,Benzene,HPRT1,SwissTargetPrediction
14,Benzene,MAOA,SwissTargetPrediction
14,Benzene,ACHE,SwissTargetPrediction
14,Benzene,CA9,SwissTargetPrediction
14,Benzene,CA1,SwissTargetPrediction
14,Benzene,PPARA,SwissTargetPrediction
14,Benzene,CNR2,SwissTargetPrediction
14,Benzene,CA4,SwissTargetPrediction
14,Benzene,CA3,SwissTargetPrediction
14,Benzene,CA2,SwissTargetPrediction
14,Benzene,CA12,SwissTargetPrediction
14,Benzene,IDO1,SwissTargetPrediction
14,Benzene,CA5B,SwissTargetPrediction
15,HEMA mercapturic acid,ACE,SwissTargetPrediction
15,HEMA mercapturic acid,NOS2,SwissTargetPrediction
15,HEMA mercapturic acid,EPHX2,SwissTargetPrediction
15,HEMA mercapturic acid,CPB1,SwissTargetPrediction
15,HEMA mercapturic acid,PPARA,SwissTargetPrediction
15,HEMA mercapturic acid,CPB2,SwissTargetPrediction
15,HEMA mercapturic acid,TGFBR1,SwissTargetPrediction
15,HEMA mercapturic acid,PPARG,SwissTargetPrediction
15,HEMA mercapturic acid,CTSD,SwissTargetPrediction
15,HEMA mercapturic acid,MME,SwissTargetPrediction
15,HEMA mercapturic acid,GSTP1,SwissTargetPrediction
15,HEMA mercapturic acid,GSTA1,SwissTargetPrediction
15,HEMA mercapturic acid,CTSK,SwissTargetPrediction
15,HEMA mercapturic acid,ACE2,SwissTargetPrediction
15,HEMA mercapturic acid,N/A,SwissTargetPrediction
16,MeA-alpha-C,CA5A,SwissTargetPrediction
16,MeA-alpha-C,TGFBR1,SwissTargetPrediction
16,MeA-alpha-C,LRRK2,SwissTargetPrediction
16,MeA-alpha-C,DHFR,SwissTargetPrediction
16,MeA-alpha-C,HASPIN,SwissTargetPrediction
16,MeA-alpha-C,PDK2,SwissTargetPrediction
16,MeA-alpha-C,ADORA2A,SwissTargetPrediction
16,MeA-alpha-C,TBK1,SwissTargetPrediction
16,MeA-alpha-C,CDK8,SwissTargetPrediction
16,MeA-alpha-C,DYRK1A,SwissTargetPrediction
