"category_group_id","family","outcome","parameter","posterior_mean","posterior_sd","effective_sample_size","geweke_z","autocorrelation_lag1","autocorrelation_lag5","autocorrelation_lag10","diagnostic_flag"
"C04","Urinary PAH metabolites","CVD","lambda[kernel]",10.7555827055705,8.349826835152,125.589783646413,-0.49257007452023,0.881542260768578,0.588518678569288,0.358550267968085,"review_chain"
"C04","Urinary PAH metabolites","CVD","r[X1_NP_ln_U]",0,0,,,,,,"constant_or_nonfinite"
"C04","Urinary PAH metabolites","CVD","r[X1_PH_ln_U]",0.00225952255777501,0.00709768482274875,8.12492989207288,-0.843788246994542,0.993518527064994,0.967592635324973,0.935185270649947,"review_chain"
"C04","Urinary PAH metabolites","CVD","r[X1_PY_ln_U]",0.00517555381273316,0.00817001174709433,10.5765400391924,-0.929209598165768,0.989219639777708,0.94890533570835,0.899682095963244,"review_chain"
"C04","Urinary PAH metabolites","CVD","r[X2_FL_ln_U]",0.00410653878892472,0.00539144830218151,5.22789767959225,-1.31437028678264,0.994438313085757,0.972191565428786,0.953008669683788,"review_chain"
"C04","Urinary PAH metabolites","CVD","r[X2_NP_ln_U]",0,0,,,,,,"constant_or_nonfinite"
"C04","Urinary PAH metabolites","CVD","r[X23_OH_PH_ln_U]",0.000505057812000199,0.00262469463891336,59.7658362368861,1.36718062987705,0.952430815486382,0.762154077431765,0.524308154863673,"review_chain"
"C04","Urinary PAH metabolites","CVD","r[X3_FL_ln_U]",0.000288790109714259,0.00190927863690772,65.5132305174683,,0.964944162733357,0.824720813666644,0.649441627333431,"diagnostic_unavailable"
"C04","Urinary PAH metabolites","CVD","delta[X1_NP_ln_U]",0,0,,,,,,"constant_or_nonfinite"
"C04","Urinary PAH metabolites","CVD","delta[X1_PH_ln_U]",0.1068,0.308920592989702,7.52466496510938,-0.843788246994501,0.991565879193776,0.95782939596888,0.915658791937761,"review_chain"
"C04","Urinary PAH metabolites","CVD","delta[X1_PY_ln_U]",0.3352,0.472154775526862,10.3869894710943,-0.446155512425333,0.990231671879352,0.956543365815691,0.916676735910664,"review_chain"
"C04","Urinary PAH metabolites","CVD","delta[X2_FL_ln_U]",0.3688,0.482576120300988,5.01544842143262,-1.32195981340459,0.994611349658673,0.973056748293364,0.954705057886491,"review_chain"
"C04","Urinary PAH metabolites","CVD","delta[X2_NP_ln_U]",0,0,,,,,,"constant_or_nonfinite"
"C04","Urinary PAH metabolites","CVD","delta[X23_OH_PH_ln_U]",0.0368,0.188308109165779,57.3853045343508,1.51452560139095,0.9548453271703,0.774226635851505,0.548453271703,"review_chain"
"C04","Urinary PAH metabolites","CVD","delta[X3_FL_ln_U]",0.0228,0.149295263254572,67.9443607313717,,0.964084282339088,0.820421411695439,0.640842823390878,"diagnostic_unavailable"
"C04","Urinary PAH metabolites","CVD","beta[age]",0.0389800079600904,0.00368747918501403,217.56259105074,-0.446724808750806,0.814276688334105,0.4212546966977,0.19657410200715,"acceptable"
"C04","Urinary PAH metabolites","CVD","beta[sexMale]",0.311726809087414,0.107584426434279,265.404426888331,0.205480320496498,0.807984343589281,0.340646751910504,0.125140832307207,"acceptable"
"C04","Urinary PAH metabolites","CVD","beta[ethNon-Hispanic Black]",0.252135508710852,0.18657426391612,238.414092562864,-0.178616863484567,0.812534516220379,0.418011860104915,0.192132395484114,"acceptable"
"C04","Urinary PAH metabolites","CVD","beta[ethNon-Hispanic White]",0.232403154239274,0.172786222843132,226.562796867085,-0.238987625781317,0.823372538295639,0.418517522106567,0.204900771476686,"acceptable"
"C04","Urinary PAH metabolites","CVD","beta[ethOther Hispanic]",0.273034857064428,0.203206950049586,274.324099732676,-0.409656226925035,0.802169433178715,0.338448647534929,0.110369737641667,"acceptable"
"C04","Urinary PAH metabolites","CVD","beta[ethOther Race]",0.132714324851955,0.220229581720469,209.839347150648,0.3445554319333,0.84507063634494,0.441372097407233,0.214668882771474,"acceptable"
"C04","Urinary PAH metabolites","CVD","beta[maritalNever married]",-0.213365689320275,0.175497999651301,152.871630517251,-1.21348702860188,0.884706596031316,0.582114468014041,0.378290624020253,"review_chain"
"C04","Urinary PAH metabolites","CVD","beta[maritalWidowed/Divorced/Separated]",0.101783300055796,0.113357747281167,421.911474750611,-0.0684503555033409,0.71110967504565,0.165269107307944,0.0109175711129449,"acceptable"
"C04","Urinary PAH metabolites","CVD","beta[PIR_levelMiddle-income]",0.0279642979014867,0.117129329504111,296.868798706237,1.47820542168173,0.787637501922046,0.284107487647991,0.137411066941682,"acceptable"
"C04","Urinary PAH metabolites","CVD","beta[PIR_levelPoor]",0.209003292957425,0.137543411710244,288.067362514855,0.0275945342280289,0.805615212143822,0.347435683793294,0.103400901312735,"acceptable"
"C04","Urinary PAH metabolites","CVD","beta[eduBelow High school]",0.1393299298878,0.191611225285165,366.597747276537,-1.39804048381051,0.720829745695947,0.234715118180079,0.0644536745142433,"acceptable"
"C04","Urinary PAH metabolites","CVD","beta[eduCompleted high school]",0.144142457136464,0.105381521835399,323.267058915373,1.19318056446869,0.770916714823863,0.29037008529602,0.0781982032566751,"acceptable"
"C04","Urinary PAH metabolites","CVD","beta[smokeNever]",0.165506270246385,0.129906381199128,285.232842779564,0.178749588958906,0.795108455448348,0.333349438074582,0.102572907926897,"acceptable"
"C04","Urinary PAH metabolites","CVD","beta[smokeNow]",0.485642961416993,0.185347241078433,161.781943864404,3.52872877896244,0.829767221808831,0.492740482872508,0.330290773095662,"review_chain"
"C04","Urinary PAH metabolites","CVD","beta[alcohol.userHeavy]",-0.214152555037372,0.159665116283676,386.806679475682,1.05748198828699,0.731924708703999,0.160171823560623,0.000645165166283726,"acceptable"
"C04","Urinary PAH metabolites","CVD","beta[alcohol.userMild]",-0.308858955994594,0.133280225285106,456.799247385751,2.25011683415216,0.690913170350207,0.134367288466524,-0.0257702330331907,"review_chain"
"C04","Urinary PAH metabolites","CVD","beta[alcohol.userModerate]",-0.468998899422443,0.194158536622535,225.911085844746,1.87745273070619,0.811812579165548,0.399467636610761,0.169029031167225,"acceptable"
"C04","Urinary PAH metabolites","CVD","beta[alcohol.userNever]",-0.442745505574119,0.188061765463066,299.043806502311,0.5012916557491,0.768739993501391,0.276563244655477,0.0662904649250752,"acceptable"
"C04","Urinary PAH metabolites","CVD","beta[PA_levelVigorous]",-0.135777781341741,0.115828376628958,314.133714488046,-0.741732454697635,0.741885724261077,0.295123732272107,0.0422596477001059,"acceptable"
"C04","Urinary PAH metabolites","CVD","beta[BMI_levelObesity]",0.29957397340705,0.13681529841698,213.069772167985,-1.90202182550651,0.826117432073403,0.43187195746009,0.218002808931663,"acceptable"
"C04","Urinary PAH metabolites","CVD","beta[BMI_levelOverweight]",0.158983677235317,0.133436786264118,226.734124996256,-2.62687662215711,0.824536753716086,0.394077196395328,0.149667289227951,"review_chain"
"C04","Urinary PAH metabolites","CVD","sigsq.eps",1,0,,,,,,"constant_or_nonfinite"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","lambda[kernel]",13.1734157192175,12.3871064223912,57.005771523171,-2.62780909272016,0.933762294809571,0.755665424508442,0.606220243464084,"review_chain"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","r[Nitrate_ln_U]",0.00219477123487306,0.00586683808975867,75.0658947734498,0.608896225818755,0.945672844728883,0.774310742994936,0.561515277556128,"review_chain"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","r[Perchlorate_ln_U]",0.00319970429457673,0.00831907843600129,85.914958240461,0.796016135494891,0.926560329775864,0.661219823745238,0.48954862158734,"review_chain"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","r[Thiocyanate_ln_U]",0.00131109266774205,0.00520897311673263,90.5337319554306,0.32246989361615,0.942385799009961,0.724866443424903,0.503092768082727,"review_chain"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","delta[Nitrate_ln_U]",0.1536,0.360637024756819,50.4915983006636,0.858198740832894,0.953776063327035,0.805801394139921,0.636216839949635,"review_chain"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","delta[Perchlorate_ln_U]",0.1624,0.36889113877797,78.0704312728074,0.664930725556963,0.92640721743099,0.702610705699125,0.534608212062602,"review_chain"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","delta[Thiocyanate_ln_U]",0.0732,0.260516616673534,92.9138404865094,0.601913206849472,0.946903746365117,0.758103025629147,0.533894271610965,"review_chain"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","beta[age]",0.0380351671694959,0.00389540804511014,139.140397495886,0.0133636958086102,0.843706975930833,0.520906466158952,0.326113975691941,"review_chain"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","beta[sexMale]",0.287074433785774,0.10089239210199,282.020125082949,0.0771357345762909,0.797182218769937,0.299238082816401,0.0748379388078098,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","beta[ethNon-Hispanic Black]",0.137630006940602,0.174460091164325,327.28724710074,0.702117302203162,0.791910312249207,0.277581069905496,0.0151985117874182,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","beta[ethNon-Hispanic White]",0.192704038340167,0.156564693635564,288.881178357521,0.21644367825141,0.792759302609561,0.303341464370828,0.0617884229443258,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","beta[ethOther Hispanic]",0.177346262164764,0.180881618475191,335.314446987169,1.21963923698427,0.763389348218106,0.272871401583602,0.0898635450324881,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","beta[ethOther Race]",-0.0228106864201778,0.206849803499012,227.826984906861,0.938583047199777,0.832899542507566,0.381454384439278,0.138694212198757,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","beta[maritalNever married]",-0.156069173767738,0.163889000992574,159.333945727581,-1.19582933921253,0.873224281246168,0.514788412222732,0.311578453552202,"review_chain"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","beta[maritalWidowed/Divorced/Separated]",0.0953371701602865,0.109866356420947,444.054083065785,0.570056347378301,0.6982358251601,0.170060433266438,0.0463242180147594,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","beta[PIR_levelMiddle-income]",0.0312245597444843,0.114212333241063,301.535849781193,-2.18236281217527,0.784658430356961,0.251535544625281,0.039873349967647,"review_chain"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","beta[PIR_levelPoor]",0.227104872050671,0.132031834419452,321.258656222395,-2.10405044627794,0.786712841296154,0.27550092884695,0.0831191403789617,"review_chain"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","beta[eduBelow High school]",0.109006878599419,0.181838084433094,389.903619443178,0.917571963101964,0.730068064003934,0.215164396954856,0.0635516208224252,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","beta[eduCompleted high school]",0.120220054313625,0.10420356346063,312.58166303856,-0.693676937815366,0.762672844641366,0.263183862638288,0.0919864031159938,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","beta[smokeNever]",0.085124476809495,0.119691802687202,311.604036403431,0.512878582828092,0.778265400083294,0.272892561765041,0.0936224657150384,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","beta[smokeNow]",0.538224964131932,0.141315644455244,371.611311878513,-0.0243871571179725,0.741092524687678,0.226556849351908,0.0208992717122221,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","beta[alcohol.userHeavy]",-0.225432822418434,0.151155245102483,403.591239858057,-0.380098187173049,0.721909657855842,0.224417361748637,0.104491925238901,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","beta[alcohol.userMild]",-0.312488276403986,0.119527886656333,539.560588777008,0.140327224528321,0.644857725182927,0.0989993539364244,0.0467051939262074,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","beta[alcohol.userModerate]",-0.450555512145923,0.164938317996817,337.961807792704,0.4184057737367,0.747873858035835,0.264065080093282,0.0911066065530217,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","beta[alcohol.userNever]",-0.43841020779698,0.172785113755098,352.880424603153,0.119553990567995,0.734614776671855,0.274025705644038,0.132216422744617,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","beta[PA_levelVigorous]",-0.118338825644699,0.111914818259479,353.429329498088,0.679242948319944,0.7521906149086,0.288161236509841,0.0625730812369066,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","beta[BMI_levelObesity]",0.202247480868489,0.126891521364845,268.891384277237,-0.687524824451748,0.805706665601932,0.356560577574285,0.149945336185512,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","beta[BMI_levelOverweight]",0.0441694589664723,0.128589644428165,260.54116192271,-0.332690379947464,0.811170637134354,0.348163857317462,0.122950634716946,"acceptable"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","sigsq.eps",1,0,,,,,,"constant_or_nonfinite"
