method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,covariates_used,covariates_dropped_no_variation,exposure,module_rds,outcome,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,status,error,p_fdr_bh,family,matrix,nominal,fdr_significant,display_label,label_point
survey_weighted,odds_ratio,1.6080332200911456,1.202591214372566,2.1501660797229305,0.13630782691534088,15,0.00332534364347427,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,IPM3_Cys_ln_U,VOC_urine.rds,CVD,natural_log_transformed,1051,89,962,15,2,2015-2016,WTSA2YR,ok,,0.2942663328076152,Volatile Organic Compounds (VOC),urine,TRUE,FALSE,IPM3_Cys_ln_U,TRUE
survey_weighted,odds_ratio,1.2146575613091417,1.0653341064460793,1.384911064348944,0.0642292996621568,30,0.00502751788788642,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,CEMA_CYM_ln_U,VOC_urine.rds,CVD,natural_log_transformed,2191,173,2018,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.2942663328076152,Volatile Organic Compounds (VOC),urine,TRUE,FALSE,CEMA_CYM_ln_U,TRUE
survey_weighted,odds_ratio,1.5536196232287942,1.140529422664408,2.116327633216879,0.1513485078269783,30,0.00673211321414568,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Co_ln_U,HM_urine.rds,CVD,natural_log_transformed,2233,177,2056,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.2942663328076152,Heavy Metals,urine,TRUE,FALSE,Co_ln_U,TRUE
survey_weighted,odds_ratio,1.2133836768567725,1.0500113706260925,1.4021752415734023,0.06784673418962557,15,0.01214847649142147,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,DMTP_ln_U,pesticides_urine.rds,CVD,natural_log_transformed,1039,104,935,15,2,2015-2016,WTSB2YR,ok,,0.2942663328076152,Pesticides,urine,TRUE,FALSE,DMTP_ln_U,TRUE
survey_weighted,odds_ratio,1.2896974733549744,1.0584403533558742,1.5714816309719393,0.09676045604794133,30,0.01336644478176533,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,U_ln_U,HM_urine.rds,CVD,natural_log_transformed,2233,177,2056,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.2942663328076152,Heavy Metals,urine,TRUE,FALSE,U_ln_U,TRUE
survey_weighted,odds_ratio,0.26637203249080876,0.09626992180313156,0.7370324849581046,0.4774863287800191,15,0.01428531376878115,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,PFBA_binary_U,PFC_urine.rds,CVD,binary_above_detection_threshold,1012,83,929,15,2,2013-2014,WTSSBH2Y,ok,,0.2942663328076152,Polyfluoroalkyl Substances (PFAS),urine,TRUE,FALSE,PFBA_binary_U,FALSE
survey_weighted,odds_ratio,3.1825164917993707,1.2989206356617573,7.797559714196765,0.4204362219108581,15,0.01478168059887773,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,IPM1_Cys_ln_U,VOC_urine.rds,CVD,natural_log_transformed,1051,89,962,15,2,2015-2016,WTSA2YR,ok,,0.2942663328076152,Volatile Organic Compounds (VOC),urine,TRUE,FALSE,IPM1_Cys_ln_U,TRUE
survey_weighted,odds_ratio,0.6748977941797676,0.4923037078485535,0.92521552311533,0.1544678546605298,30,0.01629101861546775,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X24D_ln_U,pesticides_urine.rds,CVD,natural_log_transformed,2203,194,2009,30,4,2013-2014|2015-2016,WTSB2YR|WTSC2YR,ok,,0.2942663328076152,Pesticides,urine,TRUE,FALSE,24D_ln_U,FALSE
survey_weighted,odds_ratio,1.4630274098633689,1.067050470473074,2.0059493540755904,0.15453843280437854,30,0.01977244266970382,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X1_PY_ln_U,PAH_urine.rds,CVD,natural_log_transformed,2227,176,2051,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.2942663328076152,Polycyclic Aromatic Hydrocarbons (PAH),urine,TRUE,FALSE,1_PY_ln_U,TRUE
survey_weighted,odds_ratio,0.5606500650759338,0.3441854814468094,0.9132532091369614,0.238908494877284,30,0.02168361645543403,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,As_III_binary_U,HM_urine.rds,CVD,binary_above_detection_threshold,2235,178,2057,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.2942663328076152,Heavy Metals,urine,TRUE,FALSE,As_III_binary_U,FALSE
