method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,covariates_used,covariates_dropped_no_variation,exposure,module_rds,outcome,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,status,error,p_fdr_bh,family,matrix,nominal,fdr_significant,display_label,significance_rank,label_point
survey_weighted,beta,-3.4759044849579053,-4.010486653141024,-2.9413223167747864,0.26175849678318686,30,4.2646114976115594e-14,age+sex+eth+marital+PIR_level+edu+alcohol.user,,EO_ln_S,gas_serum.rds,LE8,natural_log_transformed,2415,,,30,4,2013-2014|2015-2016,WTSA2YR,ok,,6.3542711314412235e-12,Gaseous Pollutants,serum,TRUE,TRUE,EO_ln_S,1,TRUE
survey_weighted,beta,-10.723402518073332,-12.637882553701749,-8.808922482444917,0.9374263603866708,30,1.8273225711206835e-12,age+sex+eth+marital+PIR_level+edu+alcohol.user,,X25_DMF_binary_S,VOC_serum.rds,LE8,binary_above_detection_threshold,3581,,,30,4,2013-2014|2015-2016,WTSVOC2Y,ok,,1.046209001740006e-10,Volatile Organic Compounds (VOC),serum,TRUE,TRUE,25_DMF_binary_S,2,TRUE
survey_weighted,beta,-1.6375108998198673,-1.9315580885548131,-1.3434637110849217,0.14398039195391932,30,2.1064610773288714e-12,age+sex+eth+marital+PIR_level+edu+alcohol.user,,CEMA_CYM_ln_U,VOC_urine.rds,LE8,natural_log_transformed,2459,,,30,4,2013-2014|2015-2016,WTSA2YR,ok,,1.046209001740006e-10,Volatile Organic Compounds (VOC),urine,TRUE,TRUE,CEMA_CYM_ln_U,3,TRUE
survey_weighted,beta,-10.208785143682334,-12.218654863097276,-8.198915424267392,0.9841339793883426,30,1.9349605970135592e-11,age+sex+eth+marital+PIR_level+edu+alcohol.user,,Furan_binary_S,VOC_serum.rds,LE8,binary_above_detection_threshold,3586,,,30,4,2013-2014|2015-2016,WTSVOC2Y,ok,,7.207728223875507e-10,Volatile Organic Compounds (VOC),serum,TRUE,TRUE,Furan_binary_S,4,TRUE
survey_weighted,beta,-3.1233300903017467,-3.7892732782929666,-2.457386902310527,0.3260795032203051,30,1.2354853883980894e-10,age+sex+eth+marital+PIR_level+edu+alcohol.user,,X2_FL_ln_U,PAH_urine.rds,LE8,natural_log_transformed,2493,,,30,4,2013-2014|2015-2016,WTSA2YR,ok,,3.681746457426307e-9,Polycyclic Aromatic Hydrocarbons (PAH),urine,TRUE,TRUE,2_FL_ln_U,5,TRUE
survey_weighted,beta,-2.9211640078997863,-3.5844968777314605,-2.257831138068112,0.32480135928241294,30,5.093247366875135e-10,age+sex+eth+marital+PIR_level+edu+alcohol.user,,Toluene_ln_S,VOC_serum.rds,LE8,natural_log_transformed,3512,,,30,4,2013-2014|2015-2016,WTSVOC2Y,ok,,1.2648230961073257e-8,Volatile Organic Compounds (VOC),serum,TRUE,TRUE,Toluene_ln_S,6,TRUE
survey_weighted,beta,-2.4390781609384025,-3.0180217724498855,-1.8601345494269197,0.2834801055682887,30,1.3419800730524895e-9,age+sex+eth+marital+PIR_level+edu+alcohol.user,,MB3_Cys_ln_U,VOC_urine.rds,LE8,natural_log_transformed,2427,,,30,4,2013-2014|2015-2016,WTSA2YR,ok,,2.8565004412117282e-8,Volatile Organic Compounds (VOC),urine,TRUE,TRUE,MB3_Cys_ln_U,7,TRUE
survey_weighted,beta,4.026815779093979,3.0605131347827985,4.993118423405159,0.4731507009898436,30,1.697854183117171e-9,age+sex+eth+marital+PIR_level+edu+alcohol.user,,DMA_ln_U,HM_urine.rds,LE8,natural_log_transformed,2506,,,30,4,2013-2014|2015-2016,WTSA2YR,ok,,3.1622534160557314e-8,Heavy Metals,urine,TRUE,TRUE,DMA_ln_U,8,FALSE
survey_weighted,beta,-5.730617262985921,-7.120189410415337,-4.341045115556504,0.6804048809168551,30,2.1227154285999947e-9,age+sex+eth+marital+PIR_level+edu+alcohol.user,,GAM_Cys_binary_U,VOC_urine.rds,LE8,binary_above_detection_threshold,2486,,,30,4,2013-2014|2015-2016,WTSA2YR,ok,,3.5142733206822136e-8,Volatile Organic Compounds (VOC),urine,TRUE,TRUE,GAM_Cys_binary_U,9,TRUE
survey_weighted,beta,-3.6436623848300154,-4.534497982311791,-2.7528267873482397,0.4361982137756336,30,2.530229683204117e-9,age+sex+eth+marital+PIR_level+edu+alcohol.user,,Cd_ln_S,HM_serum.rds,LE8,natural_log_transformed,3690,,,30,4,2013-2014|2015-2016,WTSH2YR,ok,,3.770042227974134e-8,Heavy Metals,serum,TRUE,TRUE,Cd_ln_S,10,TRUE
