exposure,covariate,contrast_term,contrast_label,reference_category,comparison_category,weighted_correlation,conf_low,conf_high,std_error,p_value,n,design_df,transform,module_rds,cycles,weight_variables,p_fdr_bh_within_contrast,p_fdr_bh_global,nominal_p05,fdr05_within_contrast,fdr05_global,family,family_display,display_label,y,x,covariate_display_order,clustered_row_order,label_displayed
EO_ln_S,age,age_z,"Age
(weighted rank correlation)",,,-0.07954973018773387,-0.12926549293937242,-0.02983396743609532,0.02434335467740618,0.0027174686650893,2138,30,natural_log_transformed,gas_serum.rds,2013-2014|2015-2016,WTSA2YR,0.00653069082416623,0.01285439434613252,TRUE,TRUE,TRUE,Gaseous Pollutants,Gaseous Pollutants,EO_ln_S,149,1,1,1,EO_ln_S
EO_ln_S,sex,contrast_z,"Male
(vs female)",Female,Male,0.07296646531284864,0.01592469203895824,0.13000823858673904,0.02793054036345318,0.0139115845465546,2138,30,natural_log_transformed,gas_serum.rds,2013-2014|2015-2016,WTSA2YR,0.02438618938160748,0.04623112314980218,TRUE,TRUE,TRUE,Gaseous Pollutants,Gaseous Pollutants,EO_ln_S,149,2,2,1,EO_ln_S
EO_ln_S,eth,contrast_z,"Mexican American
(vs NH White)",Non-Hispanic White,Mexican American,0.0128495664542598,-0.03888368906946774,0.06458282197798736,0.02533122128935808,0.6156798366229697,1206,30,natural_log_transformed,gas_serum.rds,2013-2014|2015-2016,WTSA2YR,0.7280658385462102,0.7510573913424062,FALSE,FALSE,FALSE,Gaseous Pollutants,Gaseous Pollutants,EO_ln_S,149,3,3,1,EO_ln_S
EO_ln_S,eth,contrast_z,"Other Hispanic
(vs NH White)",Non-Hispanic White,Other Hispanic,0.00164508579925791,-0.04837616279776191,0.05166633439627774,0.02449293601482212,0.9468954152590106,1126,30,natural_log_transformed,gas_serum.rds,2013-2014|2015-2016,WTSA2YR,0.953293357254004,0.9669709183987174,FALSE,FALSE,FALSE,Gaseous Pollutants,Gaseous Pollutants,EO_ln_S,149,4,4,1,EO_ln_S
EO_ln_S,eth,contrast_z,"NH Black
(vs NH White)",Non-Hispanic White,Non-Hispanic Black,0.14652796188275452,0.08014180848919489,0.21291411527631415,0.03250602199952874,9.315692637171352e-5,1315,30,natural_log_transformed,gas_serum.rds,2013-2014|2015-2016,WTSA2YR,3.855661674829255e-4,8.187865803850888e-4,TRUE,TRUE,TRUE,Gaseous Pollutants,Gaseous Pollutants,EO_ln_S,149,5,5,1,EO_ln_S
EO_ln_S,eth,contrast_z,"Other race
(vs NH White)",Non-Hispanic White,Other Race,0.06947170849183334,0.01353218148815858,0.1254112354955081,0.02739082478005256,0.01664438987625005,1218,30,natural_log_transformed,gas_serum.rds,2013-2014|2015-2016,WTSA2YR,0.0613368467231528,0.05308898666950706,TRUE,FALSE,FALSE,Gaseous Pollutants,Gaseous Pollutants,EO_ln_S,149,6,6,1,EO_ln_S
EO_ln_S,marital,contrast_z,"Never married
(vs married/partnered)",Married/Living with Partner,Never married,0.04202733052093164,-0.01419393227995407,0.09824859332181736,0.02752877689135959,0.13731859849703007,1734,30,natural_log_transformed,gas_serum.rds,2013-2014|2015-2016,WTSA2YR,0.3147764796316535,0.2611975043752019,FALSE,FALSE,FALSE,Gaseous Pollutants,Gaseous Pollutants,EO_ln_S,149,7,7,1,EO_ln_S
EO_ln_S,marital,contrast_z,"Widowed/divorced/separated
(vs married/partnered)",Married/Living with Partner,Widowed/Divorced/Separated,0.1098474323658908,0.0457902516201258,0.17390461311165584,0.03136563906942125,0.00146836844994854,1693,30,natural_log_transformed,gas_serum.rds,2013-2014|2015-2016,WTSA2YR,0.01164498898676524,0.00799047805198083,TRUE,TRUE,TRUE,Gaseous Pollutants,Gaseous Pollutants,EO_ln_S,149,8,8,1,EO_ln_S
EO_ln_S,PIR_level,contrast_z,"Middle income
(vs higher income)",Higher-income,Middle-income,0.1491905806188288,0.0869922502749875,0.21138891096267012,0.03045545179436479,3.1012116140837494e-5,1486,30,natural_log_transformed,gas_serum.rds,2013-2014|2015-2016,WTSA2YR,6.601150435692552e-4,3.278274033941909e-4,TRUE,TRUE,TRUE,Gaseous Pollutants,Gaseous Pollutants,EO_ln_S,149,9,9,1,EO_ln_S
EO_ln_S,PIR_level,contrast_z,"Poor
(vs higher income)",Higher-income,Poor,0.295817606824638,0.21595503787540585,0.37568017577387014,0.03910475740042608,1.9570443261016576e-8,1357,30,natural_log_transformed,gas_serum.rds,2013-2014|2015-2016,WTSA2YR,4.165708636987814e-7,5.189484488450921e-7,TRUE,TRUE,TRUE,Gaseous Pollutants,Gaseous Pollutants,EO_ln_S,149,10,10,1,EO_ln_S
