method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,covariates_used,covariates_dropped_no_variation,exposure,module_rds,outcome_code,outcome,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,status,error,p_fdr_bh,family,matrix,display_label,family_display,log10_p,nominal_positive,nominal_positive_rank,label_point
survey_weighted,odds_ratio,0.4863340892846008,0.35187314767348854,0.6721764589429693,0.1584632248868791,30,8.295871647965546e-5,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,HIBP_ln_U,Phthalates_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2038,68,1970,30,4,2013-2014|2015-2016,WTSB2YR|WTSSBH2Y,ok,,0.01236084875546866,Phthalates,urine,HIBP_ln_U,Phthalates,4.081137975882699,FALSE,,FALSE
survey_weighted,odds_ratio,1.714085333375355,1.2028650230439732,2.4425754127070443,0.17342121691052434,30,0.00410688327997595,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,PGA_ln_U,VOC_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2178,71,2107,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.19010403367032347,Volatile Organic Compounds (VOC),urine,PGA_ln_U,Volatile Organic Compounds (VOC),2.3864876398740558,TRUE,1,TRUE
survey_weighted,odds_ratio,2.2094384301875443,1.2952900435542316,3.768745232839594,0.2614752677462402,30,0.00497489891864322,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,OXY_binary_U,pesticides_urine.rds,CHD,Coronary heart disease,binary_above_detection_threshold,2193,80,2113,30,4,2013-2014|2015-2016,WTSB2YR|WTSC2YR,ok,,0.19010403367032347,Pesticides,urine,OXY_binary_U,Pesticides,2.3032157389426673,TRUE,2,TRUE
survey_weighted,odds_ratio,1.8754122936541169,1.2457060611282027,2.82343594603978,0.19194732500839,15,0.00510346399114962,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,IPM3_Cys_ln_U,VOC_urine.rds,CHD,Coronary heart disease,natural_log_transformed,1047,36,1011,15,2,2015-2016,WTSA2YR,ok,,0.19010403367032347,Volatile Organic Compounds (VOC),urine,IPM3_Cys_ln_U,Volatile Organic Compounds (VOC),2.292134945162698,TRUE,3,TRUE
survey_weighted,odds_ratio,2.9543860801726565,1.4036739502722193,6.218251118092792,0.3491510390447106,15,0.00727783814114622,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,TTCA_binary_U,VOC_urine.rds,CHD,Coronary heart disease,binary_above_detection_threshold,1168,36,1132,15,2,2013-2014,WTSA2YR,ok,,0.19565868999008015,Volatile Organic Compounds (VOC),urine,TTCA_binary_U,Volatile Organic Compounds (VOC),2.1379976073357563,TRUE,4,TRUE
survey_weighted,odds_ratio,5.455998036347368,1.675852185939954,17.7628521312159,0.5537985918874423,15,0.00787887342241933,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,IPM1_Cys_ln_U,VOC_urine.rds,CHD,Coronary heart disease,natural_log_transformed,1047,36,1011,15,2,2015-2016,WTSA2YR,ok,,0.19565868999008015,Volatile Organic Compounds (VOC),urine,IPM1_Cys_ln_U,Volatile Organic Compounds (VOC),2.103535876597305,TRUE,5,TRUE
survey_weighted,odds_ratio,1.46331752398229,1.1023111215797798,1.942553362724721,0.13871662346644795,30,0.01013448642311974,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X3_HPMA_ln_U,VOC_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2142,69,2073,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.21571978243497733,Volatile Organic Compounds (VOC),urine,3_HPMA_ln_U,Volatile Organic Compounds (VOC),1.9941982547910546,TRUE,6,TRUE
survey_weighted,odds_ratio,1.8146025856901724,1.1331680787656024,2.9058200682641866,0.23055159059112704,30,0.01486109641168065,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X2_HPMA_ln_U,VOC_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2193,72,2121,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.27678792066755226,Volatile Organic Compounds (VOC),urine,2_HPMA_ln_U,Volatile Organic Compounds (VOC),1.82794914831587,TRUE,7,TRUE
survey_weighted,odds_ratio,1.326826775455586,1.0450127586317135,1.684639041508868,0.11690953039458137,30,0.02184362606297052,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,BMA_ln_U,VOC_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2205,72,2133,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.3041129425819998,Volatile Organic Compounds (VOC),urine,BMA_ln_U,Volatile Organic Compounds (VOC),1.6606752666804656,TRUE,8,TRUE
survey_weighted,odds_ratio,0.6073317147392209,0.39748033503034985,0.927974994536317,0.2075774275404703,30,0.02268289924907604,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,PFNA_ln_S,PFC_serum.rds,CHD,Coronary heart disease,natural_log_transformed,2068,68,2000,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.3041129425819998,Polyfluoroalkyl Substances (PFAS),serum,PFNA_ln_S,Polyfluoroalkyl Substances (PFAS),1.644301436225194,FALSE,,FALSE
survey_weighted,odds_ratio,3.06915941130846,1.1883159719438456,7.926965314296411,0.4451743009661257,15,0.02360203972997684,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,PFHpA_binary_S,PFC_serum.rds,CHD,Coronary heart disease,binary_above_detection_threshold,1074,32,1042,15,2,2013-2014,WTSB2YR,ok,,0.3041129425819998,Polyfluoroalkyl Substances (PFAS),serum,PFHpA_binary_S,Polyfluoroalkyl Substances (PFAS),1.6270504629114895,TRUE,9,TRUE
survey_weighted,odds_ratio,1.9178779744987315,1.0879704179927812,3.380841854003206,0.2775855849929681,30,0.02577687455719163,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,DBUP_binary_U,BFR_urine.rds,CHD,Coronary heart disease,binary_above_detection_threshold,1942,76,1866,30,4,2013-2014|2015-2016,WTSSBI2Y|WTSSCH2Y,ok,,0.3041129425819998,Brominated Flame Retardants,urine,DBUP_binary_U,Brominated Flame Retardants,1.5887697419419593,TRUE,10,TRUE
survey_weighted,odds_ratio,0.7556340556603667,0.5912826030671302,0.9656682322664388,0.120093244159342,30,0.0265333439836644,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,BPS_ln_U,PCCP_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2138,70,2068,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.3041129425819998,Personal Care Products,urine,BPS_ln_U,Personal Care Products,1.576208012658661,FALSE,,FALSE
survey_weighted,odds_ratio,1.2576301887830157,1.0241061498962212,1.544404056062625,0.1005786292586286,30,0.02994391555456278,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,CEMA_CYM_ln_U,VOC_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2184,72,2112,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.3186888155449896,Volatile Organic Compounds (VOC),urine,CEMA_CYM_ln_U,Volatile Organic Compounds (VOC),1.523691410654492,TRUE,11,FALSE
survey_weighted,odds_ratio,2.446499324150021,1.0868115865479298,5.507264568348939,0.3806845428328436,15,0.03286986986902857,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MCOCH_binary_U,Phthalates_urine.rds,CHD,Coronary heart disease,binary_above_detection_threshold,1030,38,992,15,2,2015-2016,WTSB2YR,ok,,0.3265073740323504,Phthalates,urine,MCOCH_binary_U,Phthalates,1.4832020152756829,TRUE,12,FALSE
survey_weighted,odds_ratio,2.5171486649796457,0.9914175350267206,6.390886965135273,0.45623015788337706,30,0.0520227157499936,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Mn_ln_S,HM_serum.rds,CHD,Coronary heart disease,natural_log_transformed,3249,101,3148,30,4,2013-2014|2015-2016,WTSH2YR,ok,,0.4436967286010821,Heavy Metals,serum,Mn_ln_S,Metals and metalloids,1.283806980005375,FALSE,,FALSE
survey_weighted,odds_ratio,1.3189410648620454,0.995590584492648,1.7473101490467866,0.1377134357561876,30,0.05347790240263633,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,PMM_Cys_ln_U,VOC_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2185,72,2113,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.4436967286010821,Volatile Organic Compounds (VOC),urine,PMM_Cys_ln_U,Volatile Organic Compounds (VOC),1.2718256356812936,FALSE,,FALSE
survey_weighted,odds_ratio,1.34140507791538,0.9937946442946908,1.810603018830114,0.14686694629368524,30,0.05463763658415938,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X2_FL_ln_U,PAH_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2220,72,2148,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.4436967286010821,Polycyclic Aromatic Hydrocarbons (PAH),urine,2_FL_ln_U,Polycyclic Aromatic Hydrocarbons (PAH),1.2625080948436758,FALSE,,FALSE
