exposure,module_rds,outcome,outcome_label,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,covariates_used,status,error,method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,p_fdr_bh
PNP_ln_U,pesticides_urine.rds,DM,Diabetes,natural_log_transformed,2143,525,1618,30,4,2013-2014|2015-2016,WTSB2YR|WTSC2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.6783145634264548,0.5634858907327911,0.816543332359336,0.09081493661207507,30,1.7893805418754e-4,0.0158614205123627
o_ANS_ln_U,AA_urine.rds,DM,Diabetes,natural_log_transformed,1038,194,844,15,2,2013-2014,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.6120638663633245,0.48898812361737903,0.7661171272142266,0.10532664600910394,15,3.07562298448911e-4,0.0158614205123627
DMTP_ln_U,pesticides_urine.rds,DM,Diabetes,natural_log_transformed,1027,286,741,15,2,2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.7284476309689224,0.6261714772741573,0.8474291313526349,0.07098055795367116,15,4.550403835574055e-4,0.0158614205123627
BP3_ln_U,PCCP_urine.rds,DM,Diabetes,natural_log_transformed,2114,557,1557,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.8678892254825575,0.8061994887958502,0.9342994112210987,0.03610334619408613,30,4.6956967485579264e-4,0.0158614205123627
Pb_ln_S,HM_serum.rds,DM,Diabetes,natural_log_transformed,3226,771,2455,30,4,2013-2014|2015-2016,WTSH2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.6282735312610794,0.4912750832585866,0.8034757787125516,0.12044005600988979,30,5.617080026949882e-4,0.0158614205123627
DMP_ln_U,pesticides_urine.rds,DM,Diabetes,natural_log_transformed,1019,283,736,15,2,2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.7112788922682769,0.6006283681969211,0.8423139654644444,0.07933015316133891,15,6.387149199609141e-4,0.0158614205123627
Pb_ln_U,HM_urine.rds,DM,Diabetes,natural_log_transformed,2208,499,1709,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.6549196842045636,0.5173170663754161,0.8291236083971351,0.1154873533819638,30,9.505016381920867e-4,0.02023210629866013
MB3_Cys_ln_U,VOC_urine.rds,DM,Diabetes,natural_log_transformed,2139,486,1653,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.7357754369074342,0.6070711393125898,0.8917661514420447,0.09414952264612136,30,0.0027806214769741508,0.051789075008643555
DMDTP_binary_U,pesticides_urine.rds,DM,Diabetes,binary_above_detection_threshold,1023,285,738,15,2,2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.5256055485108172,0.355226330468615,0.7777047164857204,0.1838166366715641,15,0.0032290764194893404,0.05345915405599019
DETP_binary_U,pesticides_urine.rds,DM,Diabetes,binary_above_detection_threshold,1023,285,738,15,2,2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.5732024106591838,0.40435739242716134,0.8125510000282354,0.16371008202614037,15,0.00396264261845303,0.05858072879976276
THg_ln_S,HM_serum.rds,DM,Diabetes,natural_log_transformed,3226,771,2455,30,4,2013-2014|2015-2016,WTSH2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.8516648503363684,0.7653440021600667,0.9477215673622934,0.05232782344071441,30,0.004534649879534845,0.05858072879976276
Se_ln_S,HM_serum.rds,DM,Diabetes,natural_log_transformed,3225,771,2454,30,4,2013-2014|2015-2016,WTSH2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,2.687882366614032,1.3871976889235487,5.208134121360132,0.323888223728513,30,0.0047179110442761955,0.05858072879976276
X24D_ln_U,pesticides_urine.rds,DM,Diabetes,natural_log_transformed,2180,536,1644,30,4,2013-2014|2015-2016,WTSB2YR|WTSC2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.7641666953103984,0.6364228397286199,0.9175515109901153,0.08956824913873684,30,0.0053500550188296594,0.06131986136966302
PFUnDA_binary_S,PFC_serum.rds,DM,Diabetes,binary_above_detection_threshold,2043,547,1496,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.6470398802490158,0.4773379591544599,0.8770737767728798,0.1489434872447348,30,0.0065369980237177435,0.06752049819339644
MINP_binary_U,Phthalates_urine.rds,DM,Diabetes,binary_above_detection_threshold,2115,558,1557,30,4,2013-2014|2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.6947213839966228,0.5378788516597629,0.8972983412396314,0.1252905928625311,30,0.006797365589939238,0.06752049819339644
CEMA_AAM_ln_U,VOC_urine.rds,DM,Diabetes,natural_log_transformed,2136,489,1647,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.7482509782783815,0.6075891583157954,0.9214771508538944,0.10196461613405847,30,0.007941490126410008,0.0739551268021932
Norharman_ln_U,AA_urine.rds,DM,Diabetes,natural_log_transformed,1127,227,900,15,2,2013-2014,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.719626106674417,0.5703476636990155,0.9079755495950728,0.10907397274346081,15,0.008675897129821081,0.07604168660843183
DEP_ln_U,pesticides_urine.rds,DM,Diabetes,natural_log_transformed,1027,285,742,15,2,2015-2016,WTSB2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.7188021552383095,0.5664444201209429,0.9121398676059373,0.11175830510546847,15,0.009846707313298477,0.08150885498230406
W_ln_U,HM_urine.rds,DM,Diabetes,natural_log_transformed,2207,499,1708,30,4,2013-2014|2015-2016,WTSA2YR,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,ok,,survey_weighted,odds_ratio,0.8246995222542658,0.7103447005507368,0.957463751723781,0.07308954205760086,30,0.013122577505072197,0.10290863411872407
