method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,covariates_used,covariates_dropped_no_variation,exposure,module_rds,outcome_code,outcome,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,status,error,p_fdr_bh
same_sample_unweighted,odds_ratio,3.671249036476125,1.7470045478509708,7.714959588632184,0.3784516169776953,1024,5.893803120766716e-4,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,IPM1_Cys_ln_U,VOC_urine.rds,CHD,Coronary heart disease,natural_log_transformed,1047,36,1011,15,2,2015-2016,WTSA2YR,ok,,0.08781766649942407
same_sample_unweighted,odds_ratio,0.6412485217390949,0.46728794698886233,0.8799706247128503,0.16137099556843942,2015,0.0058958252503530555,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,HIBP_ln_U,Phthalates_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2038,68,1970,30,4,2013-2014|2015-2016,WTSB2YR|WTSSBH2Y,ok,,0.3379023172688935
same_sample_unweighted,odds_ratio,2.895670579904799,1.3396402314778704,6.259074571145188,0.3928647800513593,1145,0.006803402361118662,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,TTCA_binary_U,VOC_urine.rds,CHD,Coronary heart disease,binary_above_detection_threshold,1168,36,1132,15,2,2013-2014,WTSA2YR,ok,,0.3379023172688935
same_sample_unweighted,odds_ratio,1.757892704083899,1.1409443109522293,2.708446616901346,0.22028393709917282,1024,0.01044141850611535,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,IPM3_Cys_ln_U,VOC_urine.rds,CHD,Coronary heart disease,natural_log_transformed,1047,36,1011,15,2,2015-2016,WTSA2YR,ok,,0.3512032730094331
same_sample_unweighted,odds_ratio,0.50435580832237,0.29558511096735096,0.860580495939149,0.272470246940548,2205,0.01200140966050507,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,As_III_binary_U,HM_urine.rds,CHD,Coronary heart disease,binary_above_detection_threshold,2228,74,2154,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.3512032730094331
same_sample_unweighted,odds_ratio,1.7199897833765758,1.1150165768202789,2.653202576912573,0.2210273435064942,2155,0.014142413678232206,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,PGA_ln_U,VOC_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2178,71,2107,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.3512032730094331
same_sample_unweighted,odds_ratio,1.5871277381828168,1.079225270042995,2.3340580759464165,0.1967065884219496,3227,0.01885936384469574,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Cd_ln_S,HM_serum.rds,CHD,Coronary heart disease,natural_log_transformed,3250,101,3149,30,4,2013-2014|2015-2016,WTSH2YR,ok,,0.38253048528568745
same_sample_unweighted,odds_ratio,0.5501170942954398,0.331565999908707,0.9127257243486463,0.25800125520724443,971,0.020538549545540265,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,n_PFOA_ln_S,PFC_serum.rds,CHD,Coronary heart disease,natural_log_transformed,994,36,958,15,2,2015-2016,WTSB2YR,ok,,0.38253048528568745
same_sample_unweighted,odds_ratio,1.4953548875512424,1.0510024699956866,2.1275746761399765,0.17981108614019206,2179,0.02524051849804297,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,CEMA_CEM_ln_U,VOC_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2202,72,2130,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.41303979092746884
same_sample_unweighted,odds_ratio,0.7088793968486887,0.5194535848132559,0.9673819066186896,0.15854226623738696,2203,0.029991008460668687,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Sr_ln_U,HM_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2226,74,2152,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.41303979092746884
same_sample_unweighted,odds_ratio,0.7665509784738243,0.5982122266372323,0.9822607703996491,0.12644078743182002,2203,0.03550097474196221,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Ba_ln_U,HM_urine.rds,CHD,Coronary heart disease,natural_log_transformed,2226,74,2152,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.41303979092746884
same_sample_unweighted,odds_ratio,0.5989191273377926,0.369721037722352,0.9702020834433492,0.24602007974660184,3117,0.037188698965239804,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,m_p_Xylene_binary_S,VOC_serum.rds,CHD,Coronary heart disease,binary_above_detection_threshold,3140,99,3041,30,4,2013-2014|2015-2016,WTSVOC2Y,ok,,0.41303979092746884
