method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,covariates_used,covariates_dropped_no_variation,exposure,module_rds,outcome,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,status,error,p_fdr_bh
same_sample_unweighted,odds_ratio,0.5495966861852395,0.38547154370713443,0.783602635257784,0.1809815590947541,2212,9.418089213963732e-4,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,As_III_binary_U,HM_urine.rds,CVD,binary_above_detection_threshold,2235,178,2057,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.08199344070163958
same_sample_unweighted,odds_ratio,0.566061177120405,0.3971361717796413,0.806839766841316,0.1808313510369279,974,0.00165027174092152,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,n_PFOA_ln_S,PFC_serum.rds,CVD,natural_log_transformed,997,97,900,15,2,2015-2016,WTSB2YR,ok,,0.08199344070163958
same_sample_unweighted,odds_ratio,2.110520485239511,1.325389104917657,3.3607464419985216,0.23736584742938402,1028,0.0016508746449994548,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,IPM1_Cys_ln_U,VOC_urine.rds,CVD,natural_log_transformed,1051,89,962,15,2,2015-2016,WTSA2YR,ok,,0.08199344070163958
same_sample_unweighted,odds_ratio,1.443184916006435,1.1323060951484019,1.8394166654340298,0.12377578114306827,3236,0.0030381977580968564,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Cd_ln_S,HM_serum.rds,CVD,natural_log_transformed,3259,257,3002,30,4,2013-2014|2015-2016,WTSH2YR,ok,,0.09190176852138048
same_sample_unweighted,odds_ratio,1.480134497157622,1.1415828404337791,1.9190881748394064,0.13251121257363413,2210,0.0030839519638047137,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Cd_ln_U,HM_urine.rds,CVD,natural_log_transformed,2233,177,2056,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.09190176852138048
same_sample_unweighted,odds_ratio,1.1952370863130108,1.0593983876006623,1.3484933611551995,0.06155387400524455,2168,0.0037630144237557404,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,CEMA_CYM_ln_U,VOC_urine.rds,CVD,natural_log_transformed,2191,173,2018,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.09344819152326755
same_sample_unweighted,odds_ratio,1.3434735457922393,1.087922642142913,1.6590528575527819,0.1076491277869336,2204,0.006092048034579494,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X2_FL_ln_U,PAH_urine.rds,CVD,natural_log_transformed,2227,176,2051,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.12967359387890637
same_sample_unweighted,odds_ratio,0.7761869170737703,0.6432759004276075,0.936559460467902,0.09582811208695294,2144,0.0081951888565798,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,ATCA_ln_U,VOC_urine.rds,CVD,natural_log_transformed,2167,171,1996,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.13878349020007313
same_sample_unweighted,odds_ratio,1.2628978364261487,1.0617058518807738,1.5022154605482487,0.08853838286493478,2210,0.008382895381212471,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,U_ln_U,HM_urine.rds,CVD,natural_log_transformed,2233,177,2056,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.13878349020007313
same_sample_unweighted,odds_ratio,0.4220598883796244,0.21842054409265244,0.8155576670638528,0.33609031540851053,989,0.010270219184142367,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,PFHxA_binary_U,PFC_urine.rds,CVD,binary_above_detection_threshold,1012,83,929,15,2,2013-2014,WTSSBH2Y,ok,,0.15302626584372128
