method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,covariates_used,covariates_dropped_no_variation,exposure,module_rds,outcome,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,status,error,p_fdr_bh
same_sample_unweighted,beta,-10.23099339332021,-11.374496836041759,-9.08748995059866,0.5832326519804079,3563,3.835571828569499e-66,age+sex+eth+marital+PIR_level+edu+alcohol.user,,X25_DMF_binary_S,VOC_serum.rds,LE8,binary_above_detection_threshold,3581,,,30,4,2013-2014|2015-2016,WTSVOC2Y,ok,,5.7150020245685536e-64
same_sample_unweighted,beta,-9.094721094702756,-10.340109597514362,-7.849332591891149,0.635198424413509,3568,2.96580864089953e-45,age+sex+eth+marital+PIR_level+edu+alcohol.user,,Furan_binary_S,VOC_serum.rds,LE8,binary_above_detection_threshold,3586,,,30,4,2013-2014|2015-2016,WTSVOC2Y,ok,,2.20952743747015e-43
same_sample_unweighted,beta,-1.733558241616414,-2.0085106894418256,-1.4586057937910022,0.14021487974186764,2441,4.2194157183875835e-34,age+sex+eth+marital+PIR_level+edu+alcohol.user,,CEMA_CYM_ln_U,VOC_urine.rds,LE8,natural_log_transformed,2459,,,30,4,2013-2014|2015-2016,WTSA2YR,ok,,2.0956431401324997e-32
same_sample_unweighted,beta,-3.345349380743631,-3.877607611350162,-2.8130911501371,0.2714281861457924,2397,6.900147863612869e-34,age+sex+eth+marital+PIR_level+edu+alcohol.user,,EO_ln_S,gas_serum.rds,LE8,natural_log_transformed,2415,,,30,4,2013-2014|2015-2016,WTSA2YR,ok,,2.570305079195794e-32
same_sample_unweighted,beta,-3.3720071427405625,-3.934490706710549,-2.809523578770576,0.28689208761314483,3672,2.4494515221565063e-31,age+sex+eth+marital+PIR_level+edu+alcohol.user,,Cd_ln_S,HM_serum.rds,LE8,natural_log_transformed,3690,,,30,4,2013-2014|2015-2016,WTSH2YR,ok,,7.299365536026389e-30
same_sample_unweighted,beta,-5.488505490612833,-6.439784833318782,-4.537226147906884,0.4851860315537949,3466,3.683852003478177e-29,age+sex+eth+marital+PIR_level+edu+alcohol.user,,Benzene_binary_S,VOC_serum.rds,LE8,binary_above_detection_threshold,3484,,,30,4,2013-2014|2015-2016,WTSVOC2Y,ok,,9.14823247530414e-28
same_sample_unweighted,beta,-2.535159306604869,-2.976389551532462,-2.0939290616772763,0.22504362412314152,3494,6.1128450728925e-29,age+sex+eth+marital+PIR_level+edu+alcohol.user,,Toluene_ln_S,VOC_serum.rds,LE8,natural_log_transformed,3512,,,30,4,2013-2014|2015-2016,WTSVOC2Y,ok,,1.3011627369442606e-27
same_sample_unweighted,beta,-5.711236532444502,-6.709563698000033,-4.712909366888971,0.5091824398425494,3473,1.0480754910840911e-28,age+sex+eth+marital+PIR_level+edu+alcohol.user,,Ethylbenzene_binary_S,VOC_serum.rds,LE8,binary_above_detection_threshold,3491,,,30,4,2013-2014|2015-2016,WTSVOC2Y,ok,,1.9520406021441197e-27
same_sample_unweighted,beta,-10.60306179463755,-12.537141298633529,-8.668982290641573,0.9857716971681023,1169,8.535401143161636e-26,age+sex+eth+marital+PIR_level+edu+alcohol.user,,CYHA_Cys_binary_U,VOC_urine.rds,LE8,binary_above_detection_threshold,1187,,,15,2,2015-2016,WTSA2YR,ok,,1.4130830781456488e-24
same_sample_unweighted,beta,-2.9569749748208274,-3.5112566396747966,-2.402693309966858,0.2826636650819782,2475,4.312705924552834e-25,age+sex+eth+marital+PIR_level+edu+alcohol.user,,X2_FL_ln_U,PAH_urine.rds,LE8,natural_log_transformed,2493,,,30,4,2013-2014|2015-2016,WTSA2YR,ok,,6.425931827583723e-24
