method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,covariates_used,covariates_dropped_no_variation,exposure,module_rds,outcome_code,outcome,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,status,error,p_fdr_bh
same_sample_unweighted,odds_ratio,1.6968544855021612,1.2447541633795394,2.3131596821908915,0.1579935272286925,2124,8.174364061260832e-4,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X3_HPMA_ln_U,VOC_urine.rds,heart.attack,Myocardial infarction,natural_log_transformed,2147,65,2082,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.08481094289569038
same_sample_unweighted,odds_ratio,1.6370690355316917,1.2163359486206728,2.2033345558320314,0.15148297018892806,2202,0.0011384019180629582,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X2_FL_ln_U,PAH_urine.rds,heart.attack,Myocardial infarction,natural_log_transformed,2225,68,2157,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.08481094289569038
same_sample_unweighted,odds_ratio,1.5330484830448217,1.1628652164849944,2.021074857213563,0.14093078978604057,2201,0.0024319019066438917,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X3_FL_ln_U,PAH_urine.rds,heart.attack,Myocardial infarction,natural_log_transformed,2224,68,2156,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.12078446136331328
same_sample_unweighted,odds_ratio,1.289243213264849,1.0827974625044836,1.5350498320387322,0.08898629861082741,2166,0.004303757921471156,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,CEMA_CYM_ln_U,VOC_urine.rds,heart.attack,Myocardial infarction,natural_log_transformed,2189,66,2123,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.1288560060723609
same_sample_unweighted,odds_ratio,2.600759106768359,1.3465032106915873,5.023343336823142,0.3354734000995591,1026,0.004384059097824039,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,IPM1_Cys_ln_U,VOC_urine.rds,heart.attack,Myocardial infarction,natural_log_transformed,1049,38,1011,15,2,2015-2016,WTSA2YR,ok,,0.1288560060723609
same_sample_unweighted,odds_ratio,1.5457125662781952,1.1387606064268865,2.098094475753823,0.15580463548527576,2137,0.0051888324592897,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MB3_Cys_ln_U,VOC_urine.rds,heart.attack,Myocardial infarction,natural_log_transformed,2160,67,2093,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.1288560060723609
same_sample_unweighted,odds_ratio,1.679175545306658,1.1405193485999103,2.472233825245719,0.19712754064252244,1026,0.008556660894232314,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,IPM3_Cys_ln_U,VOC_urine.rds,heart.attack,Myocardial infarction,natural_log_transformed,1049,38,1011,15,2,2015-2016,WTSA2YR,ok,,0.18213463903437352
same_sample_unweighted,odds_ratio,1.5586072110759392,1.1008926443768936,2.2066242796933926,0.1772882511562247,2184,0.012306683410940654,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,CEMA_CEM_ln_U,VOC_urine.rds,heart.attack,Myocardial infarction,natural_log_transformed,2207,68,2139,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.2075818161407219
same_sample_unweighted,odds_ratio,1.482367564973871,1.0881085410248175,2.0194801482000737,0.15766968820174626,2167,0.012538498961520114,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,PMM_Cys_ln_U,VOC_urine.rds,heart.attack,Myocardial infarction,natural_log_transformed,2190,66,2124,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.2075818161407219
same_sample_unweighted,odds_ratio,1.464705017377461,1.0686662332200023,2.007512468571701,0.16075260239587003,2203,0.01758849110859368,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X23_OH_PH_ln_U,PAH_urine.rds,heart.attack,Myocardial infarction,natural_log_transformed,2226,68,2158,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.23139862530144367
same_sample_unweighted,odds_ratio,2.0131991133822744,1.1255587570401546,3.6008521498967694,0.29648817668112615,2074,0.018272782064120377,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,DHB_Cys_ln_U,VOC_urine.rds,heart.attack,Myocardial infarction,natural_log_transformed,2097,64,2033,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.23139862530144367
