method,effect_scale,estimate,conf_low,conf_high,std_error_link_scale,reference_df,p_value,covariates_used,covariates_dropped_no_variation,exposure,module_rds,outcome_code,outcome,transform,n,events,non_events,n_strata,n_psu,cycles,weight_variables,status,error,p_fdr_bh
same_sample_unweighted,odds_ratio,0.12440189045583915,0.031181219096765914,0.4963189636992654,0.7055435310389196,1944,0.003135942471192039,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,FA_ln_S,gas_serum.rds,stroke,Stroke,natural_log_transformed,1967,52,1915,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.4672554282076138
same_sample_unweighted,odds_ratio,0.4719524672922011,0.267280967940659,0.8333520081858133,0.28993741162086956,2213,0.009603450178290958,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,Hg_binary_U,HM_urine.rds,stroke,Stroke,binary_above_detection_threshold,2236,56,2180,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.7154570382826764
same_sample_unweighted,odds_ratio,0.4699976570684936,0.24747489945021556,0.8926068790839585,0.32707362355265435,2121,0.02097506138079526,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,TCC_binary_U,PCCP_urine.rds,stroke,Stroke,binary_above_detection_threshold,2144,56,2088,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.9662903669081314
same_sample_unweighted,odds_ratio,0.5357406934682407,0.29924944486088995,0.9591265600217092,0.29697176778898454,2211,0.035591533534512804,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,As_III_binary_U,HM_urine.rds,stroke,Stroke,binary_above_detection_threshold,2234,56,2178,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.9662903669081314
same_sample_unweighted,odds_ratio,0.7482017519453058,0.5683015629225787,0.9850507162696097,0.14026662631852932,3234,0.03863249368281512,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,THg_ln_S,HM_serum.rds,stroke,Stroke,natural_log_transformed,3257,79,3178,30,4,2013-2014|2015-2016,WTSH2YR,ok,,0.9662903669081314
same_sample_unweighted,odds_ratio,0.7153936983754573,0.5173440089003997,0.9892607914086147,0.16527523529779806,2049,0.04271853042477655,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,PFHS_ln_S,PFC_serum.rds,stroke,Stroke,natural_log_transformed,2072,54,2018,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.9662903669081314
same_sample_unweighted,odds_ratio,0.1108866462320432,0.0116720378924661,1.0534448590615737,1.147242749221345,988,0.055239874634173125,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,PFBA_binary_U,PFC_urine.rds,stroke,Stroke,binary_above_detection_threshold,1011,26,985,15,2,2013-2014,WTSSBH2Y,ok,,0.9662903669081314
same_sample_unweighted,odds_ratio,1.3569857757493529,0.973405482518099,1.8917197700823867,0.16941021612919782,2203,0.07155591061931388,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X2_FL_ln_U,PAH_urine.rds,stroke,Stroke,natural_log_transformed,2226,55,2171,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.9662903669081314
same_sample_unweighted,odds_ratio,1.205648696244544,0.9746794145968265,1.4913506502622114,0.10844276901844888,2136,0.08460397421827275,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,X1_NP_ln_U,PAH_urine.rds,stroke,Stroke,natural_log_transformed,2159,50,2109,30,4,2013-2014|2015-2016,WTSA2YR,ok,,0.9662903669081314
same_sample_unweighted,odds_ratio,1.1704307913646226,0.9760572788114169,1.403512137159212,0.09260484153379771,2119,0.08924544606167573,age+sex+eth+marital+PIR_level+edu+smoke+alcohol.user+PA_level+BMI_level,,MEP_ln_U,Phthalates_urine.rds,stroke,Stroke,natural_log_transformed,2142,56,2086,30,4,2013-2014|2015-2016,WTSB2YR,ok,,0.9662903669081314
