exposure,outcome,estimate_same_sample_unweighted,estimate_survey_weighted,conf_low_same_sample_unweighted,conf_low_survey_weighted,conf_high_same_sample_unweighted,conf_high_survey_weighted,p_value_same_sample_unweighted,p_value_survey_weighted,p_fdr_bh_same_sample_unweighted,p_fdr_bh_survey_weighted,direction_consistent
As_III_binary_U,CVD,0.5495966861852395,0.5606500650759338,0.38547154370713443,0.3441854814468094,0.783602635257784,0.9132532091369614,9.418089213963732e-4,0.02168361645543403,0.08199344070163958,0.2942663328076152,TRUE
n_PFOA_ln_S,CVD,0.566061177120405,0.5814921028080383,0.3971361717796413,0.3441090733413289,0.806839766841316,0.9826333910489857,0.00165027174092152,0.04367620723364101,0.08199344070163958,0.3828091104595595,TRUE
IPM1_Cys_ln_U,CVD,2.110520485239511,3.1825164917993707,1.325389104917657,1.2989206356617573,3.3607464419985216,7.797559714196765,0.0016508746449994548,0.014781680598877732,0.08199344070163958,0.2942663328076152,TRUE
Cd_ln_S,CVD,1.443184916006435,1.30114950547619,1.1323060951484019,0.9740388898463929,1.8394166654340298,1.738113388745618,0.0030381977580968564,0.07319157117572817,0.09190176852138048,0.47415409152971727,TRUE
Cd_ln_U,CVD,1.480134497157622,1.361157145948087,1.1415828404337791,0.9477716411694993,1.9190881748394064,1.9548472390241063,0.0030839519638047137,0.09217670854940965,0.09190176852138048,0.501835597698979,TRUE
CEMA_CYM_ln_U,CVD,1.1952370863130108,1.2146575613091415,1.0593983876006623,1.0653341064460793,1.3484933611551995,1.384911064348944,0.0037630144237557404,0.005027517887886427,0.09344819152326755,0.2942663328076152,TRUE
X2_FL_ln_U,CVD,1.3434735457922393,1.3417876236495105,1.087922642142913,1.0344991282494824,1.6590528575527819,1.7403533534392817,0.006092048034579494,0.028036951471467647,0.12967359387890637,0.2942663328076152,TRUE
ATCA_ln_U,CVD,0.7761869170737703,0.7385308427094998,0.6432759004276075,0.5395503603006486,0.936559460467902,1.0108932284454044,0.0081951888565798,0.057916396826842895,0.13878349020007313,0.4037891353104139,TRUE
U_ln_U,CVD,1.2628978364261487,1.2896974733549744,1.0617058518807738,1.0584403533558742,1.5022154605482487,1.5714816309719393,0.008382895381212471,0.013366444781765335,0.13878349020007313,0.2942663328076152,TRUE
PFHxA_binary_U,CVD,0.4220598883796244,0.4341055444610278,0.21842054409265244,0.2071119079076488,0.8155576670638528,0.9098830947751887,0.010270219184142367,0.029624127463853882,0.15302626584372128,0.2942663328076152,TRUE
IPM3_Cys_ln_U,CVD,1.4176873132276375,1.6080332200911456,1.0788482988580428,1.202591214372566,1.8629471077759532,2.1501660797229305,0.012260047337335234,0.0033253436434742783,0.1570801235354245,0.2942663328076152,TRUE
o_TLD_ln_U,CVD,1.4944945497103908,1.5287322235059422,1.089768051894801,1.0525731679434234,2.0495315083155625,2.2202943057646314,0.012650748204195263,0.028451952036524064,0.1570801235354245,0.2942663328076152,TRUE
CEMA_CEM_ln_U,CVD,1.3409816173042404,1.4264042896228797,1.0617595044209212,0.8885932951610299,1.6936337188039994,2.2897192771253567,0.013776416774559168,0.13585877040935576,0.15789893072379355,0.5980508664995314,TRUE
X3_HPMA_ln_U,CVD,1.2901666985014557,1.3504669266853406,1.0500395599188626,1.042165766792581,1.585207046914276,1.7499720084683288,0.015322803531049404,0.02454080934731128,0.1630784090090258,0.2942663328076152,TRUE
PFBA_binary_U,CVD,0.3390002020472187,0.26637203249080876,0.1345659110085008,0.09626992180313157,0.8540137403803206,0.7370324849581046,0.021749094387777997,0.014285313768781154,0.2160410042519281,0.2942663328076152,TRUE
PFHS_ln_S,CVD,0.7974886691642628,0.8115472332937279,0.6533143146631142,0.5465644339592455,0.9734796302042431,1.2049977476503961,0.026138518154194837,0.2892601004565176,0.2303211628494314,0.7318322239421191,TRUE
X1_PY_ln_U,CVD,1.2818390731329297,1.4630274098633687,1.029721521904856,1.0670504704730739,1.5956852163007502,2.0059493540755904,0.026278253479465326,0.019772442669703825,0.2303211628494314,0.2942663328076152,TRUE
X4_ABP_ln_U,CVD,1.36411497469164,1.2520704495678094,1.0329248643145623,0.8720832241890855,1.8014956638814057,1.7976270695249972,0.028650607078301096,0.2050597952406389,0.23716335859260354,0.6309365786777807,TRUE
PGA_ln_U,CVD,1.3387566104511217,1.314865776554999,1.0094015142348898,0.84659578176492,1.7755761575066464,2.042145788573806,0.04287629595623571,0.21392528264422916,0.31061320207551163,0.6309365786777807,TRUE
X3_FL_ln_U,CVD,1.2129530440681833,1.158746246597754,1.0049023461462026,0.9260833742321194,1.4640776715832449,1.4498617525854016,0.04433577251855475,0.18948857729119184,0.31061320207551163,0.6309365786777807,TRUE
X24D_ln_U,CVD,0.8139700121028217,0.6748977941797676,0.6640153592154405,0.4923037078485535,0.9977889387761941,0.92521552311533,0.04756094507011122,0.016291018615467757,0.31061320207551163,0.2942663328076152,TRUE
MECPP_ln_U,CVD,1.2455791287254443,1.0664706884081996,1.0012988911883063,0.855679855328304,1.5494547927394684,1.3291883899703134,0.04865321672666722,0.5550992325028916,0.31061320207551163,0.8845138616998544,TRUE
DHB_Cys_ln_U,CVD,1.4574353064788885,1.2973755887145688,1.001359237091502,0.63224081479935,2.121234412078544,2.6622504887266008,0.04917661011313853,0.46525229548306646,0.31061320207551163,0.8665324003372114,TRUE
X1_NP_ln_U,CVD,1.1457515624082795,1.0824454136342954,0.9999812019179297,0.9022115795315365,1.3127713203440328,1.2986843663725833,0.05003165671014953,0.38141959637603606,0.31061320207551163,0.8610836342428694,TRUE
Sn_ln_U,CVD,1.179706803151074,1.2200209817850187,0.9982097082106894,0.9485961770846374,1.3942041736856987,1.569109418688787,0.05250852128450126,0.11700206176698275,0.3129507868556275,0.5623647484929171,TRUE
Hg_binary_U,CVD,0.7085366743314017,0.5402288740006833,0.4971885426610696,0.2850983968755981,1.0097260411224511,1.0236719655473647,0.05659704061367691,0.058429744920794446,0.3243445789014561,0.4037891353104139,TRUE
MB3_Cys_ln_U,CVD,1.2158843199997083,1.1888936242670831,0.9912461456068022,0.9010836806115506,1.4914304445705053,1.5686312827945381,0.060710393260287286,0.2121516468569764,0.3350314294734372,0.6309365786777807,TRUE
MiBP_ln_U,CVD,1.2147953026298342,1.0716843120029067,0.9838476702906729,0.7173280925624731,1.4999554014855918,1.6010905978746657,0.07051307181986191,0.7271546752344826,0.3597019203358031,0.9548280976492394,TRUE
X5OHIMI_binary_U,CVD,0.5096298479326221,1.1226729596930702,0.24541525978807396,0.39664659356443743,1.0582984209217816,3.1776261157307535,0.07060886113950535,0.81582269281842,0.3597019203358031,0.9568297563098194,FALSE
PFNA_ln_S,CVD,0.7993064001325323,0.6931565830285679,0.6259957721607357,0.48803587491612727,1.020599099395804,0.9844892010826288,0.07242320543673889,0.041198771818706514,0.3597019203358031,0.3828091104595595,TRUE
TCC_binary_U,CVD,0.7319575857554278,0.8701581112297109,0.5148051500799335,0.5402700721675673,1.0407081344499505,1.401475257552331,0.08225517050197105,0.5556693889212757,0.3953554969288286,0.8845138616998544,TRUE
