"Pollutant","Modifier","Outcome","Exposure_Type","Exposure_Scale","n","N_Healthy","N_Risk","Mean_LE8_Healthy","Mean_LE8_Risk","Weight_Variables","status","error","Beta_Interaction","SE_Interaction","Interaction_Low","Interaction_High","P_Interaction","Toxicant_Beta_Healthy","Toxicant_Beta_Healthy_Low","Toxicant_Beta_Healthy_High","Toxicant_P_Healthy","Toxicant_Beta_Risk","Toxicant_Beta_Risk_Low","Toxicant_Beta_Risk_High","Toxicant_P_Risk","P_FDR_BH_within_modifier","P_FDR_BH_all_tests","Nominal_P_lt_0_05","FDR05_within_modifier","FDR10_within_modifier","FDR05_all_tests"
"BP3_ln_U","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",2212,1118,1094,72.94531050345,68.9240010446592,"WTSB2YR","ok",,-2.01279526778747,0.430242481421665,-2.95975258463755,-1.06583795093738,0.000673432101727675,2.67831289855201,1.68953487337262,3.6670909237314,9.4300272640103e-05,0.665517630764544,-0.546511095820861,1.87754635734995,0.252175171816159,0.100341383157424,0.177903487298715,TRUE,FALSE,FALSE,FALSE
"Harman_ln_U","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",1163,613,550,74.336984385924,69.5454545454545,"WTSA2YR","ok",,-2.4450954253553,0.907128870730916,-4.22303534132438,-0.667155509386211,0.00702994625450313,1.30895189318769,-0.193459165183834,2.81136295155922,0.0877128815873857,-1.1361435321676,-2.18538289086547,-0.0869041734697398,0.0338125764175183,0.310086924462403,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"DMTP_ln_U","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",1043,512,531,73.1794084821429,68.0172181867097,"WTSB2YR","ok",,-2.71305879456459,1.12121966087141,-4.91060894863077,-0.515508640498409,0.0155316560499872,1.44447923404577,0.0330732580358166,2.85588521005571,0.044867823459876,-1.26857956051882,-2.51041719728405,-0.0267419237536013,0.0452664346686881,0.310086924462403,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"MiBP_ln_U","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",2212,1118,1094,72.94531050345,68.9240010446592,"WTSB2YR","ok",,-1.8666185732192,0.656536799916389,-3.31164632688923,-0.421590819549172,0.0159921121294888,0.640791603856203,-0.351564957012413,1.63314816472482,0.182972577391427,-1.225826969363,-2.2559465975282,-0.195707341197794,0.0238652401103197,0.310086924462403,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"X2_HPMA_ln_U","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",2230,1139,1091,73.3814122663991,68.4424512243027,"WTSA2YR","ok",,-2.14440829824059,0.77340830021409,-3.8466684897035,-0.442148106777679,0.018140067859025,0.464637980198569,-0.56670896222351,1.49598492262065,0.342714281095081,-1.67977031804202,-2.77342609377839,-0.586114542305651,0.00613667853637114,0.310086924462403,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"PMM_Cys_ln_U","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",2229,1144,1085,73.2867132867133,68.5115207373272,"WTSA2YR","ok",,-1.92925380661977,0.71110026122179,-3.49437492890621,-0.364132684333317,0.0201804175982081,-1.54634840102259,-2.79253587427943,-0.300160927765749,0.0195391169659566,-3.47560220764236,-4.47284750781374,-2.47835690747097,9.7171720808586e-06,0.310086924462403,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"TCPY_ln_U","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",2243,1105,1138,73.5649644473174,68.6461210143108,"WTSB2YR|WTSC2YR","ok",,-1.64255822148169,0.611758453692154,-2.98902949961873,-0.296086943344656,0.0212186500491555,1.39199238589954,0.373444022091046,2.41054074970804,0.0119091672568337,-0.250565835582152,-1.16392160986576,0.662789938701459,0.558217603600491,0.310086924462403,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"X14_DCB_binary_S","Diet","LE8_no_diet","Binary","Binary 0/1",3343,1712,1631,73.0161048064085,68.495226416747,"WTSVOC2Y","ok",,2.52643404323919,0.94481325737872,0.44691408469078,4.60595400178759,0.0216387239628042,-1.050563195843,-2.71965782327137,0.61853143158537,0.193394523448792,1.47587084739619,-0.0655940616938564,3.01733575648623,0.0588488369101641,0.310086924462403,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"PFHS_ln_S","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",2211,1115,1096,72.6880204996797,68.8555787278415,"WTSB2YR","ok",,1.74476096419681,0.654203882914792,0.304867926227022,3.18465400216659,0.0219111347799393,-0.407963342306622,-1.39908036748726,0.583153682874017,0.384367564663483,1.33679762189018,-0.0448478282167684,2.71844307199714,0.0566246026920174,0.310086924462403,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"PNP_ln_U","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",2222,1097,1125,73.5824977210574,68.6298412698413,"WTSB2YR|WTSC2YR","ok",,-1.67576634225496,0.628881657194233,-3.05992553719331,-0.291607147316621,0.0220021829539534,1.08871929453206,0.115008071692766,2.06243051737136,0.0316253695913395,-0.587047047722899,-1.77075271457481,0.596658619129011,0.298359453239021,0.310086924462403,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"MECPP_ln_U","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",2212,1118,1094,72.94531050345,68.9240010446592,"WTSB2YR","ok",,-1.86405597114935,0.708946851857627,-3.42443747138168,-0.303674470917032,0.0234351906227637,0.377538719282314,-0.938251452138846,1.69332889070347,0.540597542198918,-1.48651725186704,-2.86752234336998,-0.105512160364099,0.0372079772887443,0.310086924462403,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"DMP_ln_U","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",1040,511,529,73.139502376293,68.0326762084796,"WTSB2YR","ok",,-2.38837483132252,1.0763033119898,-4.49789055926371,-0.278859103381332,0.0264830723917065,1.15677733839545,-0.237424450839607,2.55097912763052,0.103908493298473,-1.23159749292707,-2.50759754982307,0.0444025639689307,0.0585228749794285,0.310086924462403,0.440531216458909,TRUE,FALSE,FALSE,FALSE
"X1_NP_ln_U","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",2184,1113,1071,73.5066101912463,68.3106575963719,"WTSA2YR","ok",,-1.86912012689447,0.748472918708446,-3.51649791370223,-0.221742340086707,0.0296512158664415,-0.632937000518761,-1.884762857149,0.618888856111477,0.289504139256476,-2.50205712741323,-3.84691860760907,-1.15719564721739,0.00177488080756616,0.310086924462403,0.450973920290067,TRUE,FALSE,FALSE,FALSE
"MnBP_ln_U","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",2212,1118,1094,72.94531050345,68.9240010446592,"WTSB2YR","ok",,-1.65340005679169,0.6634386469398,-3.11361867333747,-0.193181440245916,0.0299199740228978,0.329451522189993,-0.615462746059748,1.27436579043973,0.459004811877086,-1.3239485346017,-2.59142507518826,-0.0564719940151337,0.0421022820705035,0.310086924462403,0.450973920290067,TRUE,FALSE,FALSE,FALSE
"MEOHP_ln_U","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",2212,1118,1094,72.94531050345,68.9240010446592,"WTSB2YR","ok",,-1.82739224949092,0.747419312122681,-3.47245106383885,-0.182333435143003,0.0325367090142163,0.348128617673105,-0.812975890001513,1.50923312534772,0.522888026560061,-1.47926363181782,-2.91614908763867,-0.0423781759969706,0.0446276851316716,0.310086924462403,0.450973920290067,TRUE,FALSE,FALSE,FALSE
"MHBP_ln_U","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",2131,1076,1055,72.8597981943707,68.7975626269465,"WTSB2YR|WTSSBH2Y","ok",,-1.53758272205457,0.632258101853283,-2.92917342158136,-0.145992022527789,0.0332979247744862,2.33087979667956,1.22714471462314,3.43461487873599,0.000707304885139306,0.79329707462499,-0.392575366490927,1.97916951574091,0.1689487707106,0.310086924462403,0.451035526490768,TRUE,FALSE,FALSE,FALSE
"DHB_Cys_ln_U","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",2138,1084,1054,73.3249868212968,68.353212252643,"WTSA2YR","ok",,-1.67706879052927,0.700221345974263,-3.21824558179802,-0.135891999260525,0.035542156821052,0.307608421419424,-0.756899781130036,1.37211662396888,0.537775728390752,-1.36946036910985,-2.42317609623331,-0.315744641986385,0.0155025560388888,0.311516550960985,0.460502727507543,TRUE,FALSE,FALSE,FALSE
"Nitrate_ln_U","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",2255,1153,1102,73.2969892206666,68.435960591133,"WTSA2YR","ok",,-1.94517257120107,0.876978750534668,-3.87538978684358,-0.0149553555585578,0.0485316201398638,2.25909086903165,0.741936792078645,3.77624494598465,0.00736853382363473,0.313918297830577,-1.03390543611467,1.66174203177583,0.618349573743872,0.401733966713317,0.529982234921422,TRUE,FALSE,FALSE,FALSE
"NDMA_binary_U","PhysicalActivity","LE8_no_PA","Binary","Binary 0/1",927,571,356,67.3104828621466,63.4871589085072,"WTSSBI2Y","ok",,-10.1109702143473,2.25001595044845,-14.5209204418669,-5.70101998682763,6.99854722785548e-06,5.82913851062141,2.37001485352088,9.28826216772193,0.00095713984445053,-4.28183170372585,-8.1366177875531,-0.427045619898596,0.0294734719580912,0.00104278353695047,0.00417113414780186,TRUE,TRUE,TRUE,TRUE
"MeP_ln_U","PhysicalActivity","LE8_no_PA","Continuous","Continuous, per 1 SD",2212,1313,899,68.0720269829181,64.6639122834896,"WTSB2YR","ok",,-1.83693328271986,0.40785670183689,-2.73461983090677,-0.939246734532943,0.000895487352174738,2.6512320265593,1.76188497870973,3.54057907440888,4.07204011485779e-05,0.814298743839443,-0.181202610469437,1.80980009814832,0.0992564770845324,0.066713807737018,0.177903487298715,TRUE,FALSE,TRUE,FALSE
"GLYP_ln_U","PhysicalActivity","LE8_no_PA","Continuous","Continuous, per 1 SD",2048,1229,819,68.2180634662327,64.0842490842491,"WTSSCH2Y|WTSSGL2Y","ok",,-2.00337312882491,0.60486428651871,-3.33467044732201,-0.67207581032781,0.00692763088004474,1.09548395640566,0.0302344535061418,2.16073345930518,0.0448195504811832,-0.907889172419246,-1.7953446794353,-0.0204336654031951,0.0457563038232413,0.288616097514176,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"Pb_ln_U","PhysicalActivity","LE8_no_PA","Continuous","Continuous, per 1 SD",2266,1362,904,68.5619886721208,63.6259481668774,"WTSA2YR","ok",,1.86360925631229,0.597841466984981,0.547769059390927,3.17944945323364,0.00979828358346317,0.708103087288252,-0.129507684460228,1.54571385903673,0.0897116396476632,2.57171234360054,1.02252684412909,4.12089784307199,0.00379594340231443,0.288616097514176,0.420286715374257,TRUE,FALSE,FALSE,FALSE
"DMTP_ln_U","PhysicalActivity","LE8_no_PA","Continuous","Continuous, per 1 SD",1043,643,400,67.4350144412353,63.5660714285714,"WTSB2YR","ok",,-2.54872439810849,1.04393065288867,-4.59479088012767,-0.502657916089314,0.0146276413800388,2.79090566349498,1.55351760453802,4.02829372245194,9.83989058730411e-06,0.242181265386489,-1.35044511371271,1.83480764448569,0.765672542584829,0.288616097514176,0.420286715374257,TRUE,FALSE,FALSE,FALSE
