"Pollutant","Modifier","Outcome","Exposure_Type","Exposure_Scale","n","N_Healthy","N_Risk","Beta_Interaction","Interaction_Low","Interaction_High","P_Interaction","P_FDR_BH_within_modifier","P_FDR_BH_all_tests","Toxicant_Beta_Healthy","Toxicant_Beta_Healthy_Low","Toxicant_Beta_Healthy_High","Toxicant_Beta_Risk","Toxicant_Beta_Risk_Low","Toxicant_Beta_Risk_High","Interaction_Direction"
"BP3_ln_U","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",2212,1118,1094,-2.01279526778747,-2.95975258463755,-1.06583795093738,0.000673432101727675,0.100341383157424,0.177903487298715,2.67831289855201,1.68953487337262,3.6670909237314,0.665517630764544,-0.546511095820861,1.87754635734995,"More negative / less positive toxicant–LE8_no_diet association in lifestyle-risk group"
"Harman_ln_U","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",1163,613,550,-2.4450954253553,-4.22303534132438,-0.667155509386211,0.00702994625450313,0.310086924462403,0.420286715374257,1.30895189318769,-0.193459165183834,2.81136295155922,-1.1361435321676,-2.18538289086547,-0.0869041734697398,"More negative / less positive toxicant–LE8_no_diet association in lifestyle-risk group"
"DMTP_ln_U","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",1043,512,531,-2.71305879456459,-4.91060894863077,-0.515508640498409,0.0155316560499872,0.310086924462403,0.420286715374257,1.44447923404577,0.0330732580358166,2.85588521005571,-1.26857956051882,-2.51041719728405,-0.0267419237536013,"More negative / less positive toxicant–LE8_no_diet association in lifestyle-risk group"
"MiBP_ln_U","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",2212,1118,1094,-1.8666185732192,-3.31164632688923,-0.421590819549172,0.0159921121294888,0.310086924462403,0.420286715374257,0.640791603856203,-0.351564957012413,1.63314816472482,-1.225826969363,-2.2559465975282,-0.195707341197794,"More negative / less positive toxicant–LE8_no_diet association in lifestyle-risk group"
"X2_HPMA_ln_U","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",2230,1139,1091,-2.14440829824059,-3.8466684897035,-0.442148106777679,0.018140067859025,0.310086924462403,0.420286715374257,0.464637980198569,-0.56670896222351,1.49598492262065,-1.67977031804202,-2.77342609377839,-0.586114542305651,"More negative / less positive toxicant–LE8_no_diet association in lifestyle-risk group"
"PMM_Cys_ln_U","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",2229,1144,1085,-1.92925380661977,-3.49437492890621,-0.364132684333317,0.0201804175982081,0.310086924462403,0.420286715374257,-1.54634840102259,-2.79253587427943,-0.300160927765749,-3.47560220764236,-4.47284750781374,-2.47835690747097,"More negative / less positive toxicant–LE8_no_diet association in lifestyle-risk group"
"TCPY_ln_U","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",2243,1105,1138,-1.64255822148169,-2.98902949961873,-0.296086943344656,0.0212186500491555,0.310086924462403,0.420286715374257,1.39199238589954,0.373444022091046,2.41054074970804,-0.250565835582152,-1.16392160986576,0.662789938701459,"More negative / less positive toxicant–LE8_no_diet association in lifestyle-risk group"
"X14_DCB_binary_S","Diet","LE8_no_diet","Binary","Binary 0/1",3343,1712,1631,2.52643404323919,0.44691408469078,4.60595400178759,0.0216387239628042,0.310086924462403,0.420286715374257,-1.050563195843,-2.71965782327137,0.61853143158537,1.47587084739619,-0.0655940616938564,3.01733575648623,"More positive / less negative toxicant–LE8_no_diet association in lifestyle-risk group"
"PFHS_ln_S","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",2211,1115,1096,1.74476096419681,0.304867926227022,3.18465400216659,0.0219111347799393,0.310086924462403,0.420286715374257,-0.407963342306622,-1.39908036748726,0.583153682874017,1.33679762189018,-0.0448478282167684,2.71844307199714,"More positive / less negative toxicant–LE8_no_diet association in lifestyle-risk group"
"PNP_ln_U","Diet","LE8_no_diet","Continuous","Continuous, per 1 SD",2222,1097,1125,-1.67576634225496,-3.05992553719331,-0.291607147316621,0.0220021829539534,0.310086924462403,0.420286715374257,1.08871929453206,0.115008071692766,2.06243051737136,-0.587047047722899,-1.77075271457481,0.596658619129011,"More negative / less positive toxicant–LE8_no_diet association in lifestyle-risk group"
