"Pollutant","Exposure_Type","Exposure_Scale","n","CVD_events","CVD_nonevents","N_NoTrouble","N_Trouble","Min_Binary_Cell_N","Min_Binary_Cell_Events","Sparse_Binary_Cell","Weight_Variables","OR_Interaction","OR_Interaction_Low","OR_Interaction_High","P_Interaction","OR_NoTrouble","OR_NoTrouble_Low","OR_NoTrouble_High","P_NoTrouble","OR_Trouble","OR_Trouble_Low","OR_Trouble_High","P_Trouble","status","error","P_FDR_BH","Nominal_P_lt_0_05","FDR05","FDR10"
"PNP_ln_U","Continuous","Continuous, per 1 SD",2911,321,2590,2090,821,,,FALSE,"WTSB2YR|WTSC2YR",0.710619518231521,0.535426910962289,0.943135448280009,0.0223379523157571,1.02454394471055,0.862785370544331,1.21662968622289,0.761927880778488,0.728060924397231,0.555143414873329,0.954839227904921,0.025769271017606,"ok",,0.732959615547359,TRUE,FALSE,FALSE
"Hg_binary_U","Binary","Binary 0/1",3020,309,2711,2209,811,322,62,FALSE,"WTSA2YR",0.399442448497107,0.177082548606395,0.901016339086064,0.03041078934275,1.26554424344612,0.72838044650239,2.19885396403807,0.368246583620875,0.505512091283536,0.243601535200529,1.04901832504255,0.0642288860493591,"ok",,0.732959615547359,TRUE,FALSE,FALSE
"Co_ln_U","Continuous","Continuous, per 1 SD",3011,306,2705,2204,807,,,FALSE,"WTSA2YR",1.36648098833079,1.02759513484833,1.8171264422589,0.0345412814736847,1.06037680482318,0.895446235115084,1.25568562814105,0.461376434105332,1.44898474425783,1.15390514550544,1.81952285876347,0.00428361822887174,"ok",,0.732959615547359,TRUE,FALSE,FALSE
"DBUP_binary_U","Binary","Binary 0/1",2627,303,2324,1871,756,285,53,FALSE,"WTSSBI2Y|WTSSCH2Y",0.380707747686648,0.156386653302117,0.926795133013297,0.0359214415301781,2.13814791726727,1.17962689174759,3.87552754866541,0.0168976079427216,0.814009477803717,0.463965552099414,1.4281479022656,0.437494145545882,"ok",,0.732959615547359,TRUE,FALSE,FALSE
"MeP_ln_U","Continuous","Continuous, per 1 SD",2904,309,2595,2088,816,,,FALSE,"WTSB2YR",0.752633782999547,0.566074182168523,1.00067734787377,0.0504589335339573,0.925091473301479,0.669619208838257,1.2780311894873,0.606463089868955,0.696255095171516,0.526005476157406,0.921608575434736,0.0160312554311115,"ok",,0.732959615547359,FALSE,FALSE,FALSE
"MECPP_ln_U","Continuous","Continuous, per 1 SD",2904,309,2595,2088,816,,,FALSE,"WTSB2YR",1.5819505781174,0.984067903757316,2.54308429535278,0.0569221161790517,0.879581661858311,0.709766370540604,1.09002614379737,0.214772722986538,1.39145471847822,0.952510874553119,2.03267625105451,0.0813680628651894,"ok",,0.732959615547359,FALSE,FALSE,FALSE
"CMAC_ln_U","Continuous","Continuous, per 1 SD",2959,296,2663,2166,793,,,FALSE,"WTSA2YR",0.704798291213214,0.488569170462639,1.01672528953616,0.0594606899666647,1.27935431946869,0.994132485830235,1.64640779581434,0.0546815592768574,0.901686738217776,0.634043649384647,1.28230757403987,0.531016102381644,"ok",,0.732959615547359,FALSE,FALSE,FALSE
"o_Xylene_binary_S","Binary","Binary 0/1",4291,435,3856,3107,1184,357,57,FALSE,"WTSVOC2Y",0.614481973678467,0.360543264889591,1.04727541115326,0.0695648647258223,1.97945349947283,1.37324032335954,2.85327782029406,0.00172925127221047,1.21633849316081,0.714974445597235,2.06927581685646,0.434433517462248,"ok",,0.732959615547359,FALSE,FALSE,FALSE
"X14_DCB_binary_S","Binary","Binary 0/1",4263,426,3837,3093,1170,545,89,FALSE,"WTSVOC2Y",1.63434701338136,0.921665271806961,2.89811305888936,0.0857367557314637,1.08639879955747,0.747740469506915,1.57843850882942,0.63496422920481,1.77555263339784,1.00116586641074,3.1489159386429,0.0496105298142503,"ok",,0.732959615547359,FALSE,FALSE,FALSE
"MEOHP_ln_U","Continuous","Continuous, per 1 SD",2904,309,2595,2088,816,,,FALSE,"WTSB2YR",1.45048767155221,0.930503170990995,2.26105031225661,0.0922841858174667,0.916554119735629,0.736294778320159,1.14094446835676,0.399885424615283,1.32945045098692,0.937305762452429,1.88565841844915,0.100438487522634,"ok",,0.732959615547359,FALSE,FALSE,FALSE
"CEMA_CEM_ln_U","Continuous","Continuous, per 1 SD",2975,301,2674,2176,799,,,FALSE,"WTSA2YR",0.761280427165003,0.544895964862128,1.06359365118655,0.100114700474621,1.46526072221324,1.10189293080695,1.94845517566626,0.0132020509322844,1.1154743085146,0.809198160112998,1.53767395217801,0.46938983535099,"ok",,0.732959615547359,FALSE,FALSE,FALSE
"FA_ln_S","Continuous","Continuous, per 1 SD",2665,283,2382,1942,723,,,FALSE,"WTSA2YR",0.691806709967614,0.438584062045463,1.09123099850948,0.102791247566433,1.07989105092022,0.848537033663757,1.37432384868625,0.497476579875013,0.747075875060589,0.529579836523399,1.05389655082324,0.0890317179741771,"ok",,0.732959615547359,FALSE,FALSE,FALSE
"Mn_ln_S","Continuous","Continuous, per 1 SD",4431,455,3976,3206,1225,,,FALSE,"WTSH2YR",1.32825433180764,0.934509826519712,1.88789836115066,0.103198020081114,0.969349504946115,0.783570772134462,1.19917497711111,0.753465586211502,1.28754267898027,0.964656985797515,1.71850323441669,0.080237940747936,"ok",,0.732959615547359,FALSE,FALSE,FALSE
"As_III_binary_U","Binary","Binary 0/1",3018,309,2709,2208,810,400,49,FALSE,"WTSA2YR",1.62220590694242,0.870880567576835,3.02171400131364,0.114944276172698,0.50225841445954,0.308736385440745,0.817083851439425,0.00984293882254093,0.814766566747802,0.466751334317922,1.4222660107873,0.435484368342194,"ok",,0.732959615547359,FALSE,FALSE,FALSE
"EtP_binary_U","Binary","Binary 0/1",2906,309,2597,2089,817,401,56,FALSE,"WTSB2YR",0.644234695176681,0.361854021115821,1.14697728434679,0.121550642829646,1.02231254829032,0.564922135802272,1.850030084071,0.936207970332767,0.65860921292311,0.392040732513624,1.10643119291724,0.104077305582283,"ok",,0.732959615547359,FALSE,FALSE,FALSE
"PMA_binary_U","Binary","Binary 0/1",2950,299,2651,2155,795,326,54,FALSE,"WTSA2YR",1.75443630533339,0.803002750017169,3.8331708694722,0.141700783614944,0.750834853963345,0.483569930412987,1.1658147921743,0.179515332747274,1.31729192710299,0.702632428284464,2.46965262540968,0.355249640085543,"ok",,0.732959615547359,FALSE,FALSE,FALSE
"Ba_ln_U","Continuous","Continuous, per 1 SD",3011,306,2705,2204,807,,,FALSE,"WTSA2YR",1.34232831146521,0.888407913092369,2.0281733978361,0.144716760352363,0.837203472728552,0.670213036290458,1.04580128525728,0.106514371087482,1.12380192390052,0.796710150045856,1.58518221976942,0.470832262876462,"ok",,0.732959615547359,FALSE,FALSE,FALSE
"Sr_ln_U","Continuous","Continuous, per 1 SD",3011,306,2705,2204,807,,,FALSE,"WTSA2YR",1.32616958958928,0.883547829174786,1.99052696671102,0.154260167627924,0.851502533791684,0.653947303440527,1.10873851950916,0.207164721675168,1.12923676577275,0.841447882053695,1.51545413610242,0.3826480041312,"ok",,0.732959615547359,FALSE,FALSE,FALSE
"PFHS_ln_S","Continuous","Continuous, per 1 SD",2824,307,2517,2018,806,,,FALSE,"WTSB2YR",0.729803522518042,0.454329079028425,1.17230704805144,0.171518736469093,0.987391932361663,0.714791948178761,1.36395328819384,0.932670171191678,0.720602110343438,0.45281374875662,1.14675714431656,0.148877708883863,"ok",,0.732959615547359,FALSE,FALSE,FALSE
