"Class","Exposure_Category","Pollutant","Pollutant_Label","Modifier","Family","Exposure_Type","Exposure_Scale","n","CVD_events","CVD_nonevents","N_Healthy","Events_Healthy","N_Risk","Events_Risk","Weight_Variables","status","error","Beta_Interaction","SE_Interaction","OR_Interaction_Ratio","OR_Interaction_Low","OR_Interaction_High","P_Interaction","Exposure_OR_Healthy","Exposure_OR_Healthy_Low","Exposure_OR_Healthy_High","Exposure_OR_Risk","Exposure_OR_Risk_Low","Exposure_OR_Risk_High","P_FDR_BH_within_family","P_FDR_BH_all_component_tests","Nominal_P_lt_0_05","FDR05_within_family","FDR10_within_family","Any_Sparse_Cell","Min_Cell_N","Min_Cell_CVD_Events"
"C03","Urinary metals","Mo_ln_U","Mo","Diet","C04_x_Diet","Continuous","Continuous, per 1 SD",2501,262,2239,1274,132,1227,130,"WTSA2YR","ok",,-0.314606957272997,0.14466261873359,0.730075768855558,0.549830247122424,0.969409433292519,0.0523408281328924,0.985643584271411,0.754422750453306,1.28773061871697,0.719594497604498,0.601605061041518,0.860724542586477,0.592828223481198,0.367620340330847,FALSE,FALSE,FALSE,FALSE,550,50
"C03","Urinary metals","Mn_binary_U","Mn","Diet","C04_x_Diet","Binary","Binary 0/1",2504,262,2242,1275,132,1229,130,"WTSA2YR","ok",,-0.698204627550241,0.33199073274139,0.497477660181132,0.259523904334338,0.95360781124989,0.0592828223481198,1.69961503423191,1.14437820214576,2.52424527063755,0.845520510438365,0.469077460862335,1.52406583820442,0.592828223481198,0.367620340330847,FALSE,FALSE,FALSE,FALSE,347,38
"C03","Urinary metals","Sn_ln_U","Sn","Diet","C04_x_Diet","Continuous","Continuous, per 1 SD",2501,262,2239,1274,132,1227,130,"WTSA2YR","ok",,-0.34424803051558,0.191948995673457,0.708753113846522,0.486524479019263,1.03248859625674,0.100409301952797,1.37944047432371,1.02269827133661,1.86062309435166,0.977682731542852,0.796389550132905,1.20024619031927,0.669395346351981,0.498588024988052,FALSE,FALSE,FALSE,FALSE,597,37
"C03","Urinary metals","U_ln_U","U","Diet","C04_x_Diet","Continuous","Continuous, per 1 SD",2502,262,2240,1274,132,1228,130,"WTSA2YR","ok",,-0.264176272248589,0.173036391542168,0.767838179164514,0.546988445780269,1.07785726358746,0.155060385423498,1.20323552147947,0.967123533026144,1.49699151215963,0.923890171918859,0.692344891801275,1.2328726042125,0.728905292086012,0.598680727317244,FALSE,FALSE,FALSE,FALSE,596,60
"C03","Urinary metals","W_ln_U","W","Diet","C04_x_Diet","Continuous","Continuous, per 1 SD",2501,262,2239,1274,132,1227,130,"WTSA2YR","ok",,-0.269877676214472,0.20604912906847,0.763472879517893,0.509801436542692,1.14336837046266,0.21696681888213,1.22075446562028,0.939104308615008,1.58687533606322,0.932012927051442,0.671994786016044,1.29264112500161,0.728905292086012,0.63671131124175,FALSE,FALSE,FALSE,FALSE,582,53
"C03","Urinary metals","Ba_ln_U","Ba","Diet","C04_x_Diet","Continuous","Continuous, per 1 SD",2502,262,2240,1274,132,1228,130,"WTSA2YR","ok",,-0.207593891083001,0.186863357385681,0.812536948217465,0.563354564738212,1.17193741480616,0.290287490617286,1.05939231290602,0.852718558840695,1.31615767126048,0.860795396893699,0.600360772802363,1.23420574574632,0.728905292086012,0.63671131124175,FALSE,FALSE,FALSE,FALSE,614,53
"C03","Urinary metals","Cd_ln_U","Cd","Diet","C04_x_Diet","Continuous","Continuous, per 1 SD",2502,262,2240,1274,132,1228,130,"WTSA2YR","ok",,0.228156913369694,0.208872199333926,1.25628243747773,0.834241293833997,1.89183342323144,0.298035081857841,1.26068445564004,0.990217690983242,1.60502615855538,1.58377574082176,1.17037030210804,2.14320680616856,0.728905292086012,0.63671131124175,FALSE,FALSE,FALSE,FALSE,583,33
"C03","Urinary metals","Sb_ln_U","Sb","Diet","C04_x_Diet","Continuous","Continuous, per 1 SD",2502,262,2240,1274,132,1228,130,"WTSA2YR","ok",,-0.200671375488092,0.205097762523141,0.818181261797147,0.547352100403892,1.22301636672629,0.348895708016167,1.18918701160969,0.888239743762997,1.59209915848859,0.972970529671597,0.809662799616726,1.16921717541865,0.728905292086012,0.670295249756468,FALSE,FALSE,FALSE,FALSE,612,60
"C03","Urinary metals","DMA_ln_U","DMA","Diet","C04_x_Diet","Continuous","Continuous, per 1 SD",2506,264,2242,1273,134,1233,130,"WTSA2YR","ok",,-0.175035386217496,0.183503408847326,0.839427316086063,0.585843806022141,1.20277488939572,0.360649018216459,1.14988959235649,0.909591537531073,1.45367015858435,0.965248734307105,0.720056187859215,1.29393391070147,0.728905292086012,0.670295249756468,FALSE,FALSE,FALSE,FALSE,486,44
"C03","Urinary metals","AsC_binary_U","AsC","Diet","C04_x_Diet","Binary","Binary 0/1",2508,264,2244,1274,134,1234,130,"WTSA2YR","ok",,-0.476079202944042,0.510216769275862,0.621214278299217,0.228526278536398,1.68867747741909,0.370801627524855,1.4917738505894,0.825912960596183,2.69445974028056,0.92671121597954,0.447595745459527,1.9186815034191,0.728905292086012,0.670295249756468,FALSE,FALSE,FALSE,FALSE,197,19
"C03","Urinary metals","Total_As_ln_U","Total As","Diet","C04_x_Diet","Continuous","Continuous, per 1 SD",2501,262,2239,1273,132,1228,130,"WTSA2YR","ok",,-0.177073389911687,0.202645951180128,0.837718302194714,0.563121731854304,1.24621713944715,0.400897910647307,1.10033548101624,0.85628185184435,1.41394818560667,0.921771171001529,0.691848314866066,1.22810459089434,0.728905292086012,0.697859325941608,FALSE,FALSE,FALSE,FALSE,509,54
"C03","Urinary metals","Sr_ln_U","Sr","Diet","C04_x_Diet","Continuous","Continuous, per 1 SD",2502,262,2240,1274,132,1228,130,"WTSA2YR","ok",,-0.119529968015405,0.173834719337829,0.887337415679253,0.631128357521672,1.24755555645794,0.505940205463623,0.985826754631566,0.823359356835109,1.1803526395608,0.874760964762239,0.62318810814582,1.22789048036955,0.778757284647741,0.822668581062671,FALSE,FALSE,FALSE,FALSE,595,58
"C03","Urinary metals","Tl_ln_U","Tl","Diet","C04_x_Diet","Continuous","Continuous, per 1 SD",2502,262,2240,1274,132,1228,130,"WTSA2YR","ok",,0.145068683063248,0.222188579379167,1.15611897333374,0.747948665390436,1.78703585199196,0.527225798067302,0.933469852833266,0.74630984442473,1.16756595488865,1.07920220789559,0.772250050706901,1.50816099585956,0.778757284647741,0.822668581062671,FALSE,FALSE,FALSE,FALSE,513,39
"C03","Urinary metals","Cs_ln_U","Cs","Diet","C04_x_Diet","Continuous","Continuous, per 1 SD",2502,262,2240,1274,132,1228,130,"WTSA2YR","ok",,0.122753256950104,0.20083136290052,1.13060541749888,0.762710903238264,1.67595428969304,0.553471506046809,0.924603961663611,0.749011186428761,1.14136143947345,1.04536224809781,0.793042019202022,1.37796258368212,0.778757284647741,0.822668581062671,FALSE,FALSE,FALSE,FALSE,506,51
"C03","Urinary metals","As_III_binary_U","As(III)","Diet","C04_x_Diet","Binary","Binary 0/1",2508,264,2244,1274,134,1234,130,"WTSA2YR","ok",,0.210285678638105,0.372845019936207,1.23403054577121,0.594228971234312,2.56270135185973,0.584067963485806,0.498546658008103,0.337078281404183,0.737362161619126,0.615221804474151,0.302364266495954,1.25179431116903,0.778757284647741,0.822668581062671,FALSE,FALSE,FALSE,FALSE,514,47
