"Class","Exposure_Category","Pollutant","Pollutant_Label","Modifier","Family","Exposure_Type","Exposure_Scale","n","CVD_events","CVD_nonevents","N_Healthy","Events_Healthy","N_Risk","Events_Risk","Weight_Variables","status","error","Beta_Interaction","SE_Interaction","OR_Interaction_Ratio","OR_Interaction_Low","OR_Interaction_High","P_Interaction","Exposure_OR_Healthy","Exposure_OR_Healthy_Low","Exposure_OR_Healthy_High","Exposure_OR_Risk","Exposure_OR_Risk_Low","Exposure_OR_Risk_High","P_FDR_BH_within_family","P_FDR_BH_all256","Nominal_P_lt_0_05","FDR05_within_family","FDR10_within_family","Any_Sparse_Cell","Min_Cell_N","Min_Cell_CVD_Events"
"C01","Urinary flame retardants","BCETP_ln_U","BCETP","Diet","C01_x_Diet","Continuous","Continuous, per 1 SD",2213,261,1952,1091,120,1122,141,"WTSSBI2Y|WTSSCH2Y","ok",,0.150239098725716,0.165209429386709,1.16211206902785,0.840657140498788,1.60648663518029,0.382639754378855,0.939725355716693,0.758342669545363,1.16449169965114,1.09206617744986,0.80890759637079,1.47434458679909,0.895628786089779,0.979034001899283,FALSE,FALSE,FALSE,FALSE,539,59
"C01","Urinary flame retardants","BDCPP_ln_U","BDCPP","Diet","C01_x_Diet","Continuous","Continuous, per 1 SD",2202,255,1947,1087,118,1115,137,"WTSSBI2Y|WTSSCH2Y","ok",,0.0697922688403289,0.172204515838308,1.07228541102493,0.765115418864924,1.50277458060205,0.693037324152029,0.953351154753889,0.752023063042955,1.20857786008972,1.02226453482636,0.770152312424894,1.35690663042146,0.895628786089779,0.979034001899283,FALSE,FALSE,FALSE,FALSE,512,41
"C01","Urinary flame retardants","BCPP_binary_U","BCPP","Diet","C01_x_Diet","Binary","Binary 0/1",2217,261,1956,1093,120,1124,141,"WTSSBI2Y|WTSSCH2Y","ok",,-0.141519559144111,0.429886560461579,0.868038197334657,0.373776513505256,2.01588458559317,0.748185864915026,1.26014198140881,0.589838701475022,2.69218993148106,1.09385137392782,0.608233993543127,1.96718835340621,0.895628786089779,0.979034001899283,FALSE,FALSE,FALSE,FALSE,468,48
"C01","Urinary flame retardants","DBUP_binary_U","DBUP","Diet","C01_x_Diet","Binary","Binary 0/1",2215,261,1954,1092,120,1123,141,"WTSSBI2Y|WTSSCH2Y","ok",,0.0912858775281291,0.308594275297456,1.09558216281455,0.598362272229139,2.00597586309344,0.772883182918556,1.35092288878739,0.861919090039231,2.11735959040725,1.48004702029336,0.936811600112079,2.33829211979994,0.895628786089779,0.979034001899283,FALSE,FALSE,FALSE,FALSE,412,39
"C01","Urinary flame retardants","DPHP_ln_U","DPHP","Diet","C01_x_Diet","Continuous","Continuous, per 1 SD",2213,261,1952,1091,120,1122,141,"WTSSBI2Y|WTSSCH2Y","ok",,0.019129161561419,0.142487833684821,1.01931329621223,0.770938255363107,1.34770792421721,0.895628786089779,1.02785944156976,0.839633809650141,1.2582807165237,1.04771079542934,0.859088864875232,1.27774664035321,0.895628786089779,0.979034001899283,FALSE,FALSE,FALSE,FALSE,524,53
"C01","Urinary flame retardants","BDCPP_ln_U","BDCPP","PhysicalActivity","C01_x_PhysicalActivity","Continuous","Continuous, per 1 SD",2202,255,1947,1317,108,885,147,"WTSSBI2Y|WTSSCH2Y","ok",,0.381020311214285,0.192371588510011,1.46377733620293,1.00397989657226,2.13415039215095,0.0731882448461493,0.808056527166335,0.610775155709005,1.06906010336676,1.18281483083693,0.90391135515176,1.54777447597493,0.365941224230746,0.892199556219724,FALSE,FALSE,FALSE,FALSE,435,36
"C01","Urinary flame retardants","BCETP_ln_U","BCETP","PhysicalActivity","C01_x_PhysicalActivity","Continuous","Continuous, per 1 SD",2213,261,1952,1320,110,893,151,"WTSSBI2Y|WTSSCH2Y","ok",,-0.154240441153027,0.2390374895304,0.857065922316564,0.536465019344008,1.36926354694024,0.531988992685663,1.11766284031884,0.786488771352541,1.58828742396583,0.957910733076818,0.718230605477722,1.27757431324364,0.916200839410651,0.979034001899283,FALSE,FALSE,FALSE,FALSE,438,53
"C01","Urinary flame retardants","BCPP_binary_U","BCPP","PhysicalActivity","C01_x_PhysicalActivity","Binary","Binary 0/1",2217,261,1956,1324,110,893,151,"WTSSBI2Y|WTSSCH2Y","ok",,-0.197721889577539,0.386552609777563,0.820598038273123,0.384671711926453,1.75053459752831,0.619111677878257,1.26048678187108,0.601284339722324,2.64238867089978,1.03435298047261,0.614113428176775,1.74216364457123,0.916200839410651,0.979034001899283,FALSE,FALSE,FALSE,FALSE,374,38
"C01","Urinary flame retardants","DBUP_binary_U","DBUP","PhysicalActivity","C01_x_PhysicalActivity","Binary","Binary 0/1",2215,261,1954,1323,110,892,151,"WTSSBI2Y|WTSSCH2Y","ok",,-0.104808168587571,0.454770901124261,0.900497249677789,0.369295133519455,2.19579199148732,0.821961533995681,1.46032674879461,0.893367276498578,2.38709685181582,1.31502022092045,0.713009156294182,2.42532394733538,0.916200839410651,0.979034001899283,FALSE,FALSE,FALSE,FALSE,332,39
"C01","Urinary flame retardants","DPHP_ln_U","DPHP","PhysicalActivity","C01_x_PhysicalActivity","Continuous","Continuous, per 1 SD",2213,261,1952,1321,110,892,151,"WTSSBI2Y|WTSSCH2Y","ok",,-0.0133482220150315,0.123980307757002,0.986740470433045,0.77387135654625,1.25816357945565,0.916200839410651,1.03406476231205,0.869717290916026,1.22946840752039,1.02035355002202,0.834564288741227,1.24750289592773,0.916200839410651,0.979034001899283,FALSE,FALSE,FALSE,FALSE,424,52
"C01","Urinary flame retardants","BCETP_ln_U","BCETP","Sleep","C01_x_Sleep","Continuous","Continuous, per 1 SD",2203,258,1945,1204,117,999,141,"WTSSBI2Y|WTSSCH2Y","ok",,-0.282618291177847,0.225846903987499,0.753807467911924,0.484189837467605,1.17355973775018,0.236757584379702,1.19890164966494,0.853413127440544,1.68425481089105,0.903741016809357,0.694954995043692,1.175252831174,0.56672321728042,0.979034001899283,FALSE,FALSE,FALSE,FALSE,494,50
"C01","Urinary flame retardants","DPHP_ln_U","DPHP","Sleep","C01_x_Sleep","Continuous","Continuous, per 1 SD",2203,258,1945,1203,117,1000,141,"WTSSBI2Y|WTSSCH2Y","ok",,-0.1381634650728,0.122706072947221,0.870956309172342,0.684773352283363,1.10776053121473,0.284143903347668,1.12469906971286,0.922489277891885,1.37123327905088,0.979563750686675,0.847492765763927,1.13221632139174,0.56672321728042,0.979034001899283,FALSE,FALSE,FALSE,FALSE,482,49
"C01","Urinary flame retardants","DBUP_binary_U","DBUP","Sleep","C01_x_Sleep","Binary","Binary 0/1",2205,258,1947,1204,117,1001,141,"WTSSBI2Y|WTSSCH2Y","ok",,-0.452132516085346,0.453339049140287,0.636269848148728,0.261668445343382,1.54714611894431,0.340033930368252,1.6756676602604,0.923505709553633,3.04043827622867,1.06617680774162,0.642514586722879,1.76919405233113,0.56672321728042,0.979034001899283,FALSE,FALSE,FALSE,FALSE,349,41
"C01","Urinary flame retardants","BDCPP_ln_U","BDCPP","Sleep","C01_x_Sleep","Continuous","Continuous, per 1 SD",2192,252,1940,1197,112,995,140,"WTSSBI2Y|WTSSCH2Y","ok",,-0.0702585323424382,0.139871078516803,0.93215279710505,0.708641270289273,1.22616177406105,0.625353244723324,1.03781897620863,0.783593624322799,1.3745239802194,0.967405861561571,0.780135641961714,1.19962997541088,0.781691555904155,0.979034001899283,FALSE,FALSE,FALSE,FALSE,474,46
"C01","Urinary flame retardants","BCPP_binary_U","BCPP","Sleep","C01_x_Sleep","Binary","Binary 0/1",2207,258,1949,1205,117,1002,141,"WTSSBI2Y|WTSSCH2Y","ok",,-0.0149435819778803,0.39767940484253,0.985167519238093,0.451854426870661,2.14793744012505,0.97069826578115,1.17425364276053,0.611374921738668,2.25536175676793,1.15683654819469,0.567118305344193,2.35977358979231,0.97069826578115,0.990819381157786,FALSE,FALSE,FALSE,FALSE,435,46
"C01","Urinary flame retardants","BCPP_binary_U","BCPP","Smoking","C01_x_Smoking","Binary","Binary 0/1",2216,261,1955,1151,93,1065,168,"WTSSBI2Y|WTSSCH2Y","ok",,-0.717715243692899,0.340004927317716,0.487865637665377,0.250542953716267,0.949988322897272,0.0584859023364844,1.99049202723043,1.03185010850304,3.83976168420029,0.971092662132622,0.532921532097779,1.7695306000036,0.172559039893593,0.892199556219724,FALSE,FALSE,FALSE,FALSE,466,29
"C01","Urinary flame retardants","DBUP_binary_U","DBUP","Smoking","C01_x_Smoking","Binary","Binary 0/1",2214,261,1953,1150,93,1064,168,"WTSSBI2Y|WTSSCH2Y","ok",,-0.936489213134265,0.464793198370784,0.392001656618005,0.157633291727505,0.974827697291866,0.0690236159574373,2.63732795002299,1.37845000440059,5.04588392307854,1.03383692545398,0.644468286856361,1.65845055564442,0.172559039893593,0.892199556219724,FALSE,FALSE,FALSE,FALSE,384,25
"C01","Urinary flame retardants","DPHP_ln_U","DPHP","Smoking","C01_x_Smoking","Continuous","Continuous, per 1 SD",2212,261,1951,1149,93,1063,168,"WTSSBI2Y|WTSSCH2Y","ok",,0.179356510678244,0.200041064882576,1.19644721435065,0.808379238097941,1.77080987395918,0.389133987553025,0.92005735518697,0.689282999715885,1.22809577079743,1.10080005965628,0.905594254482042,1.33808354607145,0.581343871031928,0.979034001899283,FALSE,FALSE,FALSE,FALSE,505,41
"C01","Urinary flame retardants","BDCPP_ln_U","BDCPP","Smoking","C01_x_Smoking","Continuous","Continuous, per 1 SD",2201,255,1946,1145,91,1056,164,"WTSSBI2Y|WTSSCH2Y","ok",,0.15152375445925,0.221383949129888,1.16360594231132,0.753980490607095,1.79577430165602,0.507862117624664,0.900204353069108,0.630283945648399,1.2857187349916,1.04748313452573,0.812876720731573,1.34979990093501,0.581343871031928,0.979034001899283,FALSE,FALSE,FALSE,FALSE,501,37
"C01","Urinary flame retardants","BCETP_ln_U","BCETP","Smoking","C01_x_Smoking","Continuous","Continuous, per 1 SD",2212,261,1951,1147,93,1065,168,"WTSSBI2Y|WTSSCH2Y","ok",,-0.123593691693335,0.217536272481242,0.883738838376935,0.576970127589282,1.35361311983169,0.581343871031928,1.12190542438397,0.775941780568399,1.62212141784679,0.991471396513871,0.768912056435648,1.27844988497386,0.581343871031928,0.979034001899283,FALSE,FALSE,FALSE,FALSE,529,43
"C02","Serum metals","IHg_binary_S","IHg","Diet","C03_x_Diet","Binary","Binary 0/1",3688,394,3294,1883,202,1805,192,"WTSH2YR","ok",,-0.553165076722642,0.390520545731594,0.575126606777188,0.267513473321741,1.23646338151059,0.184325443202791,1.09310327143003,0.638220129293654,1.87219848946703,0.628672775354597,0.370653438067106,1.06630457964482,0.531316550537351,0.979034001899283,FALSE,FALSE,FALSE,FALSE,350,34
"C02","Serum metals","Mn_ln_S","Mn","Diet","C03_x_Diet","Continuous","Continuous, per 1 SD",3690,394,3296,1884,202,1806,192,"WTSH2YR","ok",,0.178444217198828,0.148108106790358,1.19535620109634,0.894180455748557,1.59797324836775,0.253552703588494,1.02277975992218,0.787194310576284,1.32886940778403,1.2225861283788,1.02650618562255,1.4561206374005,0.531316550537351,0.979034001899283,FALSE,FALSE,FALSE,FALSE,884,86
"C02","Serum metals","Pb_ln_S","Pb","Diet","C03_x_Diet","Continuous","Continuous, per 1 SD",3690,394,3296,1884,202,1806,192,"WTSH2YR","ok",,-0.168776712126519,0.168105982573817,0.844697493037315,0.607584245312049,1.17434555001845,0.336958019970887,1.18344032539375,0.986809635213014,1.41925144809287,0.999649076019365,0.747830398227612,1.33626324572356,0.531316550537351,0.979034001899283,FALSE,FALSE,FALSE,FALSE,869,53
"C02","Serum metals","THg_ln_S","THg","Diet","C03_x_Diet","Continuous","Continuous, per 1 SD",3690,394,3296,1884,202,1806,192,"WTSH2YR","ok",,-0.192103155395426,0.198610350110326,0.825221738026224,0.559126551919266,1.21795488798277,0.354211033691568,1.02245225406463,0.839202479640044,1.24571678135441,0.843749826148042,0.639654463770583,1.11296615508367,0.531316550537351,0.979034001899283,FALSE,FALSE,FALSE,FALSE,776,83
"C02","Serum metals","Se_ln_S","Se","Diet","C03_x_Diet","Continuous","Continuous, per 1 SD",3690,394,3296,1884,202,1806,192,"WTSH2YR","ok",,0.0412577708051602,0.123732929499292,1.0421206992179,0.817700806907375,1.32813315403934,0.745070020829851,0.932390216994529,0.764343016541831,1.13738399898042,0.971663144878269,0.832161953556735,1.13454990711776,0.883880921570759,0.979034001899283,FALSE,FALSE,FALSE,FALSE,903,94
"C02","Serum metals","Cd_ln_S","Cd","Diet","C03_x_Diet","Continuous","Continuous, per 1 SD",3690,394,3296,1884,202,1806,192,"WTSH2YR","ok",,-0.0251155282184611,0.168020209755676,0.975197242720116,0.701569620384684,1.35554567155781,0.883880921570759,1.39915680504541,1.12066139652196,1.74686106899063,1.36445385841337,1.08548907984745,1.71511106495955,0.883880921570759,0.979034001899283,FALSE,FALSE,FALSE,FALSE,862,62
"C02","Serum metals","Se_ln_S","Se","PhysicalActivity","C03_x_PhysicalActivity","Continuous","Continuous, per 1 SD",3690,394,3296,2181,162,1509,232,"WTSH2YR","ok",,0.202391317027718,0.148963953972015,1.22432701439181,0.914316915670448,1.63944974929225,0.201462522523552,0.838050310334446,0.641405861680153,1.09498270067555,1.02604763436191,0.902164139080091,1.16694257993135,0.765465009748897,0.979034001899283,FALSE,FALSE,FALSE,FALSE,732,75
"C02","Serum metals","THg_ln_S","THg","PhysicalActivity","C03_x_PhysicalActivity","Continuous","Continuous, per 1 SD",3690,394,3296,2181,162,1509,232,"WTSH2YR","ok",,0.170954065822532,0.156031916540372,1.18643624979678,0.873830821101993,1.61087357053471,0.296646874541749,0.881589163289938,0.706648477962586,1.09983885491564,1.0459493407552,0.867668809278871,1.26086130067931,0.765465009748897,0.979034001899283,FALSE,FALSE,FALSE,FALSE,732,75
"C02","Serum metals","Cd_ln_S","Cd","PhysicalActivity","C03_x_PhysicalActivity","Continuous","Continuous, per 1 SD",3690,394,3296,2181,162,1509,232,"WTSH2YR","ok",,-0.152401872348124,0.212584793652185,0.858643146458339,0.566052715660604,1.30247242449753,0.488379228812447,1.48172063315921,1.16032662649647,1.89213621802239,1.27226926662806,0.967266322905718,1.67344716597156,0.765465009748897,0.979034001899283,FALSE,FALSE,FALSE,FALSE,668,57
"C02","Serum metals","Mn_ln_S","Mn","PhysicalActivity","C03_x_PhysicalActivity","Continuous","Continuous, per 1 SD",3690,394,3296,2181,162,1509,232,"WTSH2YR","ok",,-0.0958081837210227,0.153600498324025,0.9086382909697,0.672424688971826,1.22783050259318,0.545509561046491,1.17415497827778,0.892513051680504,1.54467199153969,1.06688217279588,0.903375866006658,1.25998226592128,0.765465009748897,0.979034001899283,FALSE,FALSE,FALSE,FALSE,737,69
"C02","Serum metals","Pb_ln_S","Pb","PhysicalActivity","C03_x_PhysicalActivity","Continuous","Continuous, per 1 SD",3690,394,3296,2181,162,1509,232,"WTSH2YR","ok",,0.0620159015872827,0.1781529870605,1.06397926355264,0.750388690235643,1.50862064953901,0.734331939575325,1.06430801600886,0.834262880510184,1.35778731069516,1.13240165906628,0.875700799365728,1.46435120121492,0.765465009748897,0.979034001899283,FALSE,FALSE,FALSE,FALSE,700,40
"C02","Serum metals","IHg_binary_S","IHg","PhysicalActivity","C03_x_PhysicalActivity","Binary","Binary 0/1",3688,394,3294,2179,162,1509,232,"WTSH2YR","ok",,-0.107626741548334,0.351949232058946,0.897962706054611,0.450477460044111,1.78996085927576,0.765465009748897,0.944642213522462,0.53042600976476,1.68232495228574,0.848253478308047,0.527117523255083,1.36503518042504,0.765465009748897,0.979034001899283,FALSE,FALSE,FALSE,FALSE,353,37
"C02","Serum metals","Pb_ln_S","Pb","Sleep","C03_x_Sleep","Continuous","Continuous, per 1 SD",3683,392,3291,2023,187,1660,205,"WTSH2YR","ok",,0.369164349139075,0.195419242932287,1.44652531933091,0.986238204336944,2.1216329789943,0.0855139455607776,0.902529041070956,0.671337450299303,1.21333715199905,1.30553110934058,1.04468336951471,1.63151010841477,0.513083673364666,0.932333085957948,FALSE,FALSE,FALSE,FALSE,815,55
