"Pollutant","Modifier","cell","N","CVD_events","CVD_nonevents","cut_value","cut_rule","healthy_label","risk_label","Cell_Description","Sparse_Cell"
"A_a_C_binary_U","Diet",0,368,30,338,,"binary analyte","Better diet","Poor diet","Low toxicant + Better diet",FALSE
"A_a_C_binary_U","Diet",1,255,20,235,,"binary analyte","Better diet","Poor diet","Low toxicant + Poor diet",FALSE
"A_a_C_binary_U","Diet",10,302,33,269,,"binary analyte","Better diet","Poor diet","High toxicant + Better diet",FALSE
"A_a_C_binary_U","Diet",11,353,36,317,,"binary analyte","Better diet","Poor diet","High toxicant + Poor diet",FALSE
"A_a_C_binary_U","PhysicalActivity",0,381,21,360,,"binary analyte","Ideal activity","Not ideal activity","Low toxicant + Ideal activity",FALSE
"A_a_C_binary_U","PhysicalActivity",1,242,29,213,,"binary analyte","Ideal activity","Not ideal activity","Low toxicant + Not ideal activity",FALSE
"A_a_C_binary_U","PhysicalActivity",10,415,31,384,,"binary analyte","Ideal activity","Not ideal activity","High toxicant + Ideal activity",FALSE
"A_a_C_binary_U","PhysicalActivity",11,240,38,202,,"binary analyte","Ideal activity","Not ideal activity","High toxicant + Not ideal activity",FALSE
"A_a_C_binary_U","Sleep",0,363,25,338,,"binary analyte","Ideal sleep","Not ideal sleep","Low toxicant + Ideal sleep",FALSE
"A_a_C_binary_U","Sleep",1,260,25,235,,"binary analyte","Ideal sleep","Not ideal sleep","Low toxicant + Not ideal sleep",FALSE
"A_a_C_binary_U","Sleep",10,339,34,305,,"binary analyte","Ideal sleep","Not ideal sleep","High toxicant + Ideal sleep",FALSE
"A_a_C_binary_U","Sleep",11,316,35,281,,"binary analyte","Ideal sleep","Not ideal sleep","High toxicant + Not ideal sleep",FALSE
"A_a_C_binary_U","Smoking",0,430,21,409,,"binary analyte","No nicotine exposure","Nicotine exposure","Low toxicant + No nicotine exposure",FALSE
"A_a_C_binary_U","Smoking",1,193,29,164,,"binary analyte","No nicotine exposure","Nicotine exposure","Low toxicant + Nicotine exposure",FALSE
