"Pollutant","Exposure_Type","Exposure_Scale","n","N_Recommended","N_Short","N_Long","Min_Binary_Cell_N","Any_Sparse_Binary_Cell","Weight_Variables","Overall_Interaction_P","Beta_Int_Short","SE_Int_Short","Low_Int_Short","High_Int_Short","P_Int_Short","Beta_Int_Long","SE_Int_Long","Low_Int_Long","High_Int_Long","P_Int_Long","Beta_Recommended","Low_Recommended","High_Recommended","P_Recommended","Beta_Short","Low_Short","High_Short","P_Short","Beta_Long","Low_Long","High_Long","P_Long","status","error","Overall_Interaction_FDR_BH","Overall_FDR05","Overall_FDR10","Overall_Nominal_P_lt_0_05"
"X25_DMF_binary_S","Binary","Binary 0/1",3370,1856,1015,499,110,FALSE,"WTSVOC2Y",0.0526929629371104,2.96357279022135,1.58912310223705,-0.631273418072291,6.55841899851499,0.0950666846922406,-1.90358600352435,2.72726893146095,-8.07309695170576,4.26592494465705,0.502821075068461,-11.7902611590797,-15.2529215898904,-8.32760072826912,2.9920345181055e-05,-8.8266883688584,-11.8496754749319,-5.80370126278488,9.86861918697436e-05,-13.6938471626041,-18.3095174623705,-9.07817686283767,8.73950918374629e-05,"ok",,0.736436629730385,FALSE,FALSE,FALSE
"X2_NP_ln_U","Continuous","Continuous, per 1 SD",2222,1225,675,322,,FALSE,"WTSA2YR",0.0615364429491649,2.36858353374592,0.972262311765037,0.169173381067904,4.56799368642394,0.0376009175323891,-0.210751005609008,1.22795088829883,-2.98856890313862,2.5670668919206,0.867526836388639,-3.98140448798505,-5.45978549939733,-2.50302347657278,0.000180954166051059,-1.61282095423913,-3.3070172893867,0.081375380908445,0.0596955395916022,-4.19215549359406,-6.59151403241185,-1.79279695477627,0.00334234210812276,"ok",,0.736436629730385,FALSE,FALSE,FALSE
"EO_ln_S","Continuous","Continuous, per 1 SD",2243,1237,677,329,,FALSE,"WTSA2YR",0.0667960570531159,1.22363439909488,0.918933064866673,-0.855136615725367,3.30240541391514,0.215736840065305,-1.13672643214057,1.44744935441861,-4.41108435702628,2.13763149274513,0.45243698670842,-3.88602914314908,-5.44392252220718,-2.32813576409097,0.000316509088666272,-2.66239474405419,-3.79296644602414,-1.53182304208424,0.00047645398948885,-5.02275557528965,-7.17075774076684,-2.87475340981246,0.000500639117929339,"ok",,0.736436629730385,FALSE,FALSE,FALSE
"X23_OH_PH_ln_U","Continuous","Continuous, per 1 SD",2260,1246,682,332,,FALSE,"WTSA2YR",0.0751564643037726,1.4835707327075,0.909766378179516,-0.574463796164272,3.54160526157927,0.137387668788744,-1.47236869447972,1.48505861526934,-4.83180467818644,1.88706728922701,0.347369009691544,-2.0737710495302,-3.88635089162582,-0.261191207434578,0.0293031178324446,-0.590200316822702,-2.03199739049943,0.851596756854029,0.378600084421052,-3.54613974400992,-5.88652738602182,-1.20575210199802,0.0075367232941566,"ok",,0.736436629730385,FALSE,FALSE,FALSE
"X2_FL_ln_U","Continuous","Continuous, per 1 SD",2259,1245,682,332,,FALSE,"WTSA2YR",0.080704911766058,1.38654489205216,0.984990307169047,-0.841657986597103,3.61474777070142,0.192815852111336,-1.24273263105551,1.49200699545168,-4.61788694276155,2.13242168065053,0.426436272415323,-3.61257969334728,-5.23542356226401,-1.98973582443055,0.000703848550374083,-2.22603480129512,-3.65125747261338,-0.800812129976865,0.00638150980973471,-4.85531232440279,-7.36175314874612,-2.34887150005946,0.00176571323583463,"ok",,0.736436629730385,FALSE,FALSE,FALSE
"PMA_binary_U","Binary","Binary 0/1",2222,1227,667,328,148,FALSE,"WTSA2YR",0.0859375822841036,4.22389391841756,1.73895726452291,0.290099286677093,8.15768855015803,0.0380460974277911,3.97905677815798,1.92734961225663,-0.380910952424705,8.33902450874066,0.0689732230079212,-3.80518354908165,-5.99110819506662,-1.61925890309668,0.00341689976005502,0.418710369335911,-2.79599612232848,3.6334168610003,0.774950295347403,0.173873229076327,-3.47688639931007,3.82463285746272,0.916566460900053,"ok",,0.736436629730385,FALSE,FALSE,FALSE
"MA_ln_U","Continuous","Continuous, per 1 SD",2210,1223,659,328,,FALSE,"WTSA2YR",0.0891936069988351,1.39520903015441,0.91307804469298,-0.670317008841591,3.46073506915042,0.160855025606646,-2.25809306500877,1.54254213556501,-5.7475658058952,1.23137967587765,0.177260336972385,-1.04345904702478,-2.7280381245592,0.641120030509636,0.194674931673432,0.351749983129633,-0.981145752538194,1.68464571879746,0.565233520774479,-3.30155211203355,-6.10736322179677,-0.49574100227034,0.0259672301107682,"ok",,0.736436629730385,FALSE,FALSE,FALSE
"BCPP_binary_U","Binary","Binary 0/1",2053,1120,626,307,147,FALSE,"WTSSBI2Y|WTSSCH2Y",0.0999754233800668,0.876521693331557,2.31548871281393,-4.36147768373887,6.11452107040198,0.713799240577137,4.85018783398528,2.00798844411189,0.307802392321549,9.39257327564901,0.0389000598178527,-2.32526410952698,-5.21753195007442,0.567003731020467,0.102317072108895,-1.44874241619542,-5.41558816042589,2.51810332803505,0.430064936720284,2.5249237244583,-1.42413709880075,6.47398454771736,0.181986612935307,"ok",,0.736436629730385,FALSE,FALSE,FALSE
"MB3_Cys_ln_U","Continuous","Continuous, per 1 SD",2197,1210,661,326,,FALSE,"WTSA2YR",0.110066703852511,0.490642092417965,0.655724094690354,-0.992708865205187,1.97399305004112,0.473411144566292,-2.37102617116456,1.42473882603605,-5.59400931159871,0.851956969269595,0.130433961466929,-2.38160400720405,-3.79564582931974,-0.967562185088356,0.00415283962170999,-1.89096191478608,-3.07318483166487,-0.708738997907304,0.0055864209911389,-4.75263017836861,-7.1636445233591,-2.34161583337812,0.00157907665226602,"ok",,0.736436629730385,FALSE,FALSE,FALSE
"Sb_ln_U","Continuous","Continuous, per 1 SD",2266,1251,682,333,,FALSE,"WTSA2YR",0.111444967510067,1.60494935081261,0.718464082720933,-0.0203293201277928,3.23022802175301,0.052365569275107,0.539621397736094,0.771863256431883,-1.20645459650204,2.28569739197423,0.502145940296509,-0.185119957553512,-1.31965882488103,0.949418909774004,0.720579559454502,1.4198293932591,0.189781683597185,2.64987710292101,0.0282160550839572,0.354501440182582,-0.833054280810192,1.54205716117536,0.516467256694128,"ok",,0.736436629730385,FALSE,FALSE,FALSE
"MINP_binary_U","Binary","Binary 0/1",2213,1217,685,311,87,FALSE,"WTSB2YR",0.112012566421446,-2.81278785906608,1.18919646829521,-5.50293716779441,-0.122638550337752,0.0422340757874254,0.942711938144271,2.53433947896496,-4.79036226715857,6.67578614344712,0.718518445998015,2.07979989369586,-0.0336429250567951,4.19324271244851,0.0530293122143611,-0.732987965370227,-3.84529117258381,2.37931524184336,0.607096318490956,3.02251183184013,-1.38287098590891,7.42789464958916,0.155064851685281,"ok",,0.736436629730385,FALSE,FALSE,FALSE
"BPS_ln_U","Continuous","Continuous, per 1 SD",2211,1216,684,311,,FALSE,"WTSB2YR",0.11827866808167,0.278315347944738,0.940764884608837,-1.84984267428217,2.40647337017165,0.774064984527858,-2.13397454889274,1.0554999492322,-4.52168131938151,0.253732221596034,0.0739108654952863,0.160202514224838,-1.07769364438593,1.39809867283561,0.776345010801012,0.438517862169576,-1.13162605448937,2.00866177882852,0.543238569664562,-1.9737720346679,-4.01382154885433,0.0662774795185344,0.0563728985424971,"ok",,0.736436629730385,FALSE,FALSE,FALSE
