Pollutant,n,CVD_events,CVD_nonevents,cycles,weight_variables,bootstrap_valid_reps,mediation_method,status,error,Indirect_Effect,Indirect_Low,Indirect_High,Indirect_P,Direct_Effect,Direct_Low,Direct_High,Direct_P,Total_Effect,Total_Low,Total_High,Total_P,Prop_Mediated,Prop_Mediated_Low,Prop_Mediated_High,Prop_P,ACME_FDR_BH,ACME_FDR_significant,Prop_Mediated_Pct,Visual_Size,Mediation_Direction,family,Pollutant_Label,Significance,Label_Text
Mn_ln_S,3690,394,3296,2013-2014|2015-2016,WTSH2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00102365257482092,5.26711738561149e-5,0.00525571679569851,0.004,0.00538435964046073,-0.01009108463888491,0.00659951844561156,0.162,0.00674992905912366,-0.00689725847513503,0.00787232767627542,0.1,0.15165382715204834,-0.5950883500604421,1.1174018406383188,0.104,0.00546666666666666,TRUE,15.165382715204831,15.165382715204831,Consistent (+),Heavy Metals,Mn_ln_S,Significant (BH-FDR < 0.05),15.2%
Thiocyanate_ln_U,2483,258,2225,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00103569713771538,2.7472447563095986e-4,0.00271154069904029,0,0.0038309226710104,-8.928084145364683e-5,0.00465984598912581,0.056,0.00499969804317142,0.00243136879393131,0.00555387270683212,0.01,0.20715193773150797,0.06039485324681019,0.9172281459402568,0.01,0,TRUE,20.7151937731508,20.7151937731508,Consistent (+),Inorganic Anions,Thiocyanate_ln_U,Significant (BH-FDR < 0.05),20.7%
X1_NP_ln_U,2414,247,2167,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00105727711326699,3.814956972724811e-4,0.00209050562687678,0,0.00462993401433631,2.574641262893255e-4,0.00614316264341971,0.046,0.00578898502431081,0.00169601521383089,0.00708696811459465,0.018,0.18263600766403268,0.05939822665498538,0.671855505998264,0.018,0,TRUE,18.26360076640327,18.26360076640327,Consistent (+),Polycyclic Aromatic Hydrocarbons (PAH),1_NP_ln_U,Significant (BH-FDR < 0.05),18.3%
X34_MHA_ln_U,2479,258,2221,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00113519203318189,3.091343131437746e-4,0.00280110661666113,0.002,0.00436277945302537,-0.00615076748576226,0.00633653376574182,0.278,0.00559056420515107,-0.00469348189273988,0.00716161507038153,0.188,0.20305500331003093,-1.4310809709353232,1.615722335548364,0.19,0.00341666666666666,TRUE,20.305500331003092,20.305500331003092,Consistent (+),Volatile Organic Compounds (VOC),34_MHA_ln_U,Significant (BH-FDR < 0.05),20.3%
X3_HPMA_ln_U,2400,251,2149,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00115448285797197,3.0959639126873945e-4,0.00296641678791488,0,0.00502009663381973,4.72580396789781e-4,0.00596918982976469,0.038,0.00638475262738733,0.00267568929726486,0.00721538917348473,0.012,0.18081872945552,0.0568225728336645,0.760082804594654,0.012,0,TRUE,18.081872945552,18.081872945552,Consistent (+),Volatile Organic Compounds (VOC),3_HPMA_ln_U,Significant (BH-FDR < 0.05),18.1%
CEMA_CEM_ln_U,2472,259,2213,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00119608052781172,2.4537370657910535e-4,0.00314797993872388,0.002,0.0058187243047392,0.00247962512530592,0.0072005372116313,0.01,0.00740856203362379,0.00340775617435688,0.00879672983982121,0,0.16144570597955496,0.04866711376659133,0.4679871847067769,0.002,0.00341666666666666,TRUE,16.144570597955497,16.144570597955497,Consistent (+),Volatile Organic Compounds (VOC),CEMA_CEM_ln_U,Significant (BH-FDR < 0.05),16.1%
U_ln_U,2502,262,2240,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00130079283771901,-2.2529669560199532e-4,0.00382899809739181,0.116,0.00311374287429917,-0.0057440232216856,0.02462454435799704,0.71,0.00444291446162724,-0.00514758178172937,0.02628237693104366,0.556,0.2927791765863965,-2.971563510150044,3.57401471416575,0.592,0.1189,FALSE,29.27791765863965,29.27791765863965,Consistent (+),Heavy Metals,U_ln_U,Non-significant,
X1_PH_ln_U,2494,262,2232,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.0014186087513818,2.3617328851617672e-4,0.00378273007874283,0.014,0.01113427305028982,-0.00227243889019411,0.01628421187422697,0.09,0.01282659749661862,7.817754684624233e-6,0.01742953248556598,0.05,0.1105989918024463,-0.10928067754021437,0.8271894557857294,0.064,0.01739393939393939,TRUE,11.05989918024463,11.05989918024463,Consistent (+),Polycyclic Aromatic Hydrocarbons (PAH),1_PH_ln_U,Significant (BH-FDR < 0.05),11.1%
PMM_Cys_ln_U,2458,257,2201,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00167698079915263,4.096793222246779e-4,0.00401857799195523,0,0.00444005168680748,-0.0024566981210223,0.00558539438371983,0.118,0.00634595269955282,0.00114257398790376,0.00708977284905807,0.038,0.2642598958026903,0.06205192123445718,1.246464016704827,0.038,0,TRUE,26.425989580269032,26.425989580269032,Consistent (+),Volatile Organic Compounds (VOC),PMM_Cys_ln_U,Significant (BH-FDR < 0.05),26.4%
IPM3_Cys_ln_U,1185,137,1048,2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00170202765501847,-7.798174766442544e-4,0.0051995574071386904,0.194,0.01674867443275919,0.00654512770679669,0.02497092322066439,0.002,0.01893696791420656,0.00972584335251405,0.02575150005122888,0,0.08987857310259337,-0.04174210970934652,0.3593976482044707,0.194,0.194,FALSE,8.987857310259336,8.987857310259336,Consistent (+),Volatile Organic Compounds (VOC),IPM3_Cys_ln_U,Non-significant,
MA_ln_U,2437,259,2178,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.001751546347908,2.7524071653695266e-4,0.00504380612308099,0.006,0.00456374129318521,-0.01520362851489716,0.0072494443848923,0.488,0.00645602337586137,-0.01178640775498397,0.00831012881956407,0.318,0.2713042140548799,-1.9114693267977536,3.5798901861723293,0.312,0.0076875,TRUE,27.130421405487994,27.130421405487994,Consistent (+),Volatile Organic Compounds (VOC),MA_ln_U,Significant (BH-FDR < 0.05),27.1%
X2_NP_ln_U,2453,256,2197,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00179394400623522,4.945796339457787e-4,0.00504419323812667,0,0.00370713428954776,-0.00209359650311896,0.00473484146472765,0.104,0.00578854991225436,0.00222715843026507,0.00656977030945226,0.018,0.3099125054510539,0.11096192487036446,1.4629515137836164,0.018,0,TRUE,30.99125054510539,30.99125054510539,Consistent (+),Polycyclic Aromatic Hydrocarbons (PAH),2_NP_ln_U,Significant (BH-FDR < 0.05),31.0%
IPM1_Cys_ln_U,1185,137,1048,2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00194110751739678,-3.189210754954712e-4,0.00703599863641283,0.084,0.02803272926712717,0.01297076551759218,0.03724489958146941,0.002,0.03152338710583335,0.01820434918582169,0.03924031308124964,0.002,0.06157674335184566,-0.0101367455838482,0.30546893807718273,0.086,0.08830769230769232,FALSE,6.157674335184566,6.157674335184566,Consistent (+),Volatile Organic Compounds (VOC),IPM1_Cys_ln_U,Non-significant,
X2_AN_ln_U,1225,103,1122,2013-2014,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00197295373634028,5.2562501512717527e-5,0.00493058977534328,0.036,0.00702627819453198,-0.00840557908496851,0.02610697204906022,0.422,0.00914287072038747,-0.00667784236022275,0.02948845744279728,0.28,0.2157914944527044,-1.618162845156503,3.1299589351719996,0.3,0.03989189189189189,TRUE,21.57914944527044,21.57914944527044,Consistent (+),Aromatic Amines,2_AN_ln_U,Significant (BH-FDR < 0.05),21.6%
X4_ABP_ln_U,1241,111,1130,2013-2014,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00201326007083918,2.178282511235401e-4,0.00484276338818232,0.018,0.01432485136044878,-0.00130383042937279,0.03423535509084083,0.076,0.01660919728127858,3.951515624338453e-4,0.0367523727004468,0.042,0.12121356840697366,-0.01403329155774315,0.8150992210725408,0.056,0.02049999999999999,TRUE,12.121356840697366,12.121356840697366,Consistent (+),Aromatic Amines,4_ABP_ln_U,Significant (BH-FDR < 0.05),12.1%
X2_FL_ln_U,2493,261,2232,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.00204830526138468,6.491562751237496e-4,0.00412954935678309,0.004,0.00931709686895099,0.00431261529013411,0.01189887487550579,0.004,0.0118668500478488,0.00774668333636667,0.01366794714041954,0.002,0.17260732655469874,0.05506923419671322,0.4365603822324643,0.006,0.00546666666666666,TRUE,17.260732655469873,17.260732655469873,Consistent (+),Polycyclic Aromatic Hydrocarbons (PAH),2_FL_ln_U,Significant (BH-FDR < 0.05),17.3%
