Pollutant,N,CVD_events,CVD_nonevents,Estimated_indirect_effect,Estimated_indirect_effect_95_CI_low,Estimated_indirect_effect_95_CI_high,Indirect_effect_P_value,Direct_effect,Direct_effect_95_CI_low,Direct_effect_95_CI_high,Direct_effect_P_value,Total_effect,Total_effect_95_CI_low,Total_effect_95_CI_high,Total_effect_P_value,Proportion_mediated,Proportion_mediated_P_value,Indirect_effect_BH_FDR,Indirect_effect_significant_BH_FDR,Mediation_pattern,Weight_variable,NHANES_cycle
EO_ln_S,2415,259,2156,0.00301287263148257,0.00103939412141302,0.00571257608548897,0,0.00792444313756833,5.522147377107807e-4,0.01096789656449313,0.04,0.01093731576905091,0.00503131176256733,0.01307729369144078,0.002,0.2754672805559877,0.002,0,TRUE,Consistent,WTSA2YR,2013-2014|2015-2016
Furan_binary_S,3586,375,3211,0.02030690486951871,0.01054595140803188,0.03087153258792834,0,0.02491961830697882,-0.0076495390723895,0.05744886200277101,0.14,0.04522652317649753,0.01158182202533243,0.08073823353254775,0,0.44900433292805975,0,0,TRUE,Consistent,WTSVOC2Y,2013-2014|2015-2016
Toluene_ln_S,3512,365,3147,0.00679534568023862,0.00359013602330403,0.01112471002745792,0,0.00638715830281614,-0.0043213088737918,0.02177986583532596,0.314,0.01318250398305477,8.189465435943531e-4,0.03072701516948244,0.04,0.5154821640087184,0.04,0,TRUE,Consistent,WTSVOC2Y,2013-2014|2015-2016
MB3_Cys_ln_U,2427,253,2174,0.00273263947165638,8.46890749937536e-4,0.00483045694351514,0,0.0107587868507808,0.00219845338410576,0.01618279977297871,0.028,0.01349142632243717,0.0051484762614734,0.01879148264370933,0.008,0.20254637325571803,0.008,0,TRUE,Consistent,WTSA2YR,2013-2014|2015-2016
GAM_Cys_binary_U,2486,259,2227,0.00976790312727164,0.00426887495957233,0.01602824889205639,0,-1.938626677885356e-4,-0.02467814742616937,0.02356672462051247,0.95,0.00957404045948311,-0.01399840710313816,0.03387380713555665,0.428,1.02024878300953,0.428,0,TRUE,Inconsistent/suppression,WTSA2YR,2013-2014|2015-2016
Cd_ln_S,3690,394,3296,0.00550190070686695,0.0029120429691671,0.00832387053660202,0,0.01467259011964069,0.00266271572092074,0.02474536135607506,0.022,0.02017449082650765,0.00845637618447381,0.0292252230999102,0,0.27271571581067633,0,0,TRUE,Consistent,WTSH2YR,2013-2014|2015-2016
X3_FL_ln_U,2489,261,2228,0.00240514449792874,8.302208684103894e-4,0.00424162184634209,0,0.00985121395469333,0.0022502974026788,0.01448737783944253,0.016,0.01225635845262208,0.00531500539262496,0.01623806936756024,0.002,0.19623646837892528,0.002,0,TRUE,Consistent,WTSA2YR,2013-2014|2015-2016
X2_NP_ln_U,2453,256,2197,0.00193767981447091,6.114538824347404e-4,0.00499624233135707,0,0.00385087009778344,-0.00214111843815642,0.00483198648396515,0.104,0.00578854991225436,0.00222715843026507,0.00656977030945226,0.018,0.3347435616593452,0.018,0,TRUE,Consistent,WTSA2YR,2013-2014|2015-2016
PHE_Cys_binary_U,2428,252,2176,0.00807736078204645,0.00307870115577158,0.01353610473631996,0,0.00682805533756592,-0.01501500590077909,0.03127495461899209,0.57,0.01490541611961237,-0.00731553274470332,0.03978831757306831,0.208,0.5419077681043976,0.208,0,TRUE,Consistent,WTSA2YR,2013-2014|2015-2016
PMM_Cys_ln_U,2458,257,2201,0.00179144090594898,4.943482538407991e-4,0.00402404318643854,0,0.0045545117936038404,-0.00247677991091026,0.00571168587978451,0.118,0.00634595269955282,0.00114257398790376,0.00708977284905807,0.038,0.2822966055317777,0.038,0,TRUE,Consistent,WTSA2YR,2013-2014|2015-2016
X3_HPMA_ln_U,2400,251,2149,0.00125956942576978,3.7149250399650747e-4,0.00297500713826473,0,0.00512518320161754,4.784886566625157e-4,0.00605403159663774,0.038,0.00638475262738733,0.00267568929726486,0.00721538917348473,0.012,0.1972777175997192,0.012,0,TRUE,Consistent,WTSA2YR,2013-2014|2015-2016
