Pollutant,n,CVD_events,CVD_nonevents,cycles,weight_variables,bootstrap_valid_reps,mediation_method,status,error,Indirect_Effect,Indirect_Low,Indirect_High,Indirect_P,Direct_Effect,Direct_Low,Direct_High,Direct_P,Total_Effect,Total_Low,Total_High,Total_P,Prop_Mediated,Prop_Mediated_Low,Prop_Mediated_High,Prop_P,ACME_FDR_BH,ACME_FDR_significant,Prop_Mediated_Pct,Visual_Size,Mediation_Direction
EO_ln_S,2415,259,2156,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.0027880395777641234,9.054314464780075e-4,0.005589313663876794,0,0.007699610083849882,5.485071314251538e-4,0.01079911716563226,0.04,0.010937315769050911,0.005031311762567336,0.013077293691440789,0.002,0.2549107693912778,0.07981770788373681,0.866348612671741,0.002,0,TRUE,25.491076939127783,25.491076939127783,Consistent (+)
Furan_binary_S,3586,375,3211,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.01840243248838905,0.009390652741831542,0.028528717716053715,0,0.023015145925849165,-0.007004004610144415,0.053253979932907036,0.14,0.045226523176497536,0.011581822025332438,0.08073823353254775,0,0.40689469797563566,0.18132577875045988,1.595937430847931,0,0,TRUE,40.68946979756357,40.68946979756357,Consistent (+)
Toluene_ln_S,3512,365,3147,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.006661833658595092,0.003567481666387708,0.010848129007446103,0,0.006253646281172618,-0.004200067100813101,0.021370952065431516,0.314,0.01318250398305477,8.189465435943531e-4,0.030727015169482445,0.04,0.5053541927359503,0.1631308260595818,2.5931973794392205,0.04,0,TRUE,50.535419273595025,50.535419273595025,Consistent (+)
MB3_Cys_ln_U,2427,253,2174,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.002537746923821509,7.903653406974395e-4,0.004630632172284372,0,0.010563894302945928,0.0021855958516776523,0.015974714352197373,0.028,0.013491426322437178,0.0051484762614734,0.018791482643709338,0.008,0.1881007139772212,0.057929255663293586,0.5746827805864015,0.008,0,TRUE,18.81007139772212,18.81007139772212,Consistent (+)
GAM_Cys_binary_U,2486,259,2227,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.009776582356630092,0.004274859590562527,0.01617876375435798,0,-1.8518343843009136e-4,-0.02353880375388005,0.022746357622692844,0.95,0.009574040459483112,-0.013998407103138164,0.03387380713555665,0.428,1.0211553207868849,-12.495574325759408,8.879114638367517,0.428,0,TRUE,102.11553207868849,100,Consistent (+)
Cd_ln_S,3690,394,3296,2013-2014|2015-2016,WTSH2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.005045592979914318,0.002584174315251015,0.007895209841828083,0,0.014216282392688056,0.002600134180171323,0.02426739315337676,0.022,0.020174490826507654,0.008456376184473816,0.029225223099910207,0,0.2500976616116039,0.10266446002226082,0.6284563898079473,0,0,TRUE,25.00976616116039,25.00976616116039,Consistent (+)
X3_FL_ln_U,2489,261,2228,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.0022432078012401572,7.556937315665659e-4,0.004069512394813659,0,0.009689277258004744,0.0022270381113306454,0.01432765155604783,0.016,0.01225635845262208,0.005315005392624966,0.016238069367560243,0.002,0.18302400422698584,0.05592767125679992,0.6122917462611855,0.002,0,TRUE,18.302400422698582,18.302400422698582,Consistent (+)
X2_NP_ln_U,2453,256,2197,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.0017939440062352278,4.945796339457787e-4,0.005044193238126676,0,0.00370713428954776,-0.0020935965031189645,0.004734841464727656,0.104,0.005788549912254363,0.002227158430265072,0.006569770309452263,0.018,0.3099125054510539,0.11096192487036446,1.4629515137836164,0.018,0,TRUE,30.99125054510539,30.99125054510539,Consistent (+)
PHE_Cys_binary_U,2428,252,2176,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.007828364168315585,0.0029980475811164906,0.013273195883403758,0,0.0065790587238350575,-0.014420926021729695,0.030319902500341386,0.57,0.014905416119612372,-0.007315532744703329,0.03978831757306831,0.208,0.5252026582481729,-3.3111773906162774,5.8633979737411455,0.208,0,TRUE,52.520265824817294,52.520265824817294,Consistent (+)
PMM_Cys_ln_U,2458,257,2201,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.001676980799152631,4.0967932222467796e-4,0.004018577991955234,0,0.004440051686807488,-0.0024566981210223057,0.005585394383719839,0.118,0.006345952699552825,0.0011425739879037666,0.007089772849058075,0.038,0.2642598958026903,0.06205192123445718,1.246464016704827,0.038,0,TRUE,26.425989580269032,26.425989580269032,Consistent (+)
X3_HPMA_ln_U,2400,251,2149,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.0011544828579719705,3.0959639126873945e-4,0.0029664167879148886,0,0.005020096633819736,4.72580396789781e-4,0.005969189829764691,0.038,0.006384752627387332,0.0026756892972648674,0.007215389173484738,0.012,0.18081872945552,0.0568225728336645,0.760082804594654,0.012,0,TRUE,18.081872945552,18.081872945552,Consistent (+)
Benzene_binary_S,3484,368,3116,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.010391799773288015,0.0057004814929736015,0.016140887161924633,0,0.002337135530563875,-0.017832780175441182,0.023001906671746706,0.746,0.012953312935037197,-0.008994140491611888,0.0356654458032331,0.228,0.8022503451745856,-5.1330572381800526,5.3460276894248615,0.228,0,TRUE,80.22503451745855,80.22503451745855,Consistent (+)
MBzP_ln_U,2426,263,2163,2013-2014|2015-2016,WTSB2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.0032857917235850553,0.0013949612619228457,0.005665442308346433,0,-1.1752047206980852e-4,-0.011242288494335756,0.01050181270358518,0.972,0.0031648372190324642,-0.0075970666370693725,0.013602387515805423,0.55,1.0382182387849852,-12.766898664674466,7.087134609610061,0.55,0,TRUE,103.82182387849852,100,Consistent (+)
Ethylbenzene_binary_S,3491,366,3125,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.010605764153214247,0.005363831993024666,0.01639358059931049,0,0.008828886116155135,-0.011382860561859122,0.02964712464162981,0.43,0.020323747218043014,-0.0017625868627159718,0.04355281669736154,0.074,0.5218409793937342,-2.4142929662668897,4.17490717756632,0.074,0,TRUE,52.184097939373416,52.184097939373416,Consistent (+)
CMAC_ln_U,2461,257,2204,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.0025632631993384855,6.559326038311373e-4,0.005963675446082255,0,0.0029779347057388348,-0.010332146435442025,0.005973851525708181,0.536,0.005676398569011118,-0.006155696263827814,0.0075682323656492126,0.228,0.45156504924301505,-4.187107658616825,3.5596860613420414,0.228,0,TRUE,45.15650492430151,45.15650492430151,Consistent (+)
o_Xylene_binary_S,3575,375,3200,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.007454144978045426,0.003971981976764528,0.01189516051207116,0,0.018153061631842722,-0.0021648970621815805,0.03841898506021739,0.074,0.026919936879569836,0.0056872912274760525,0.049326063209089076,0.018,0.27690053700321077,0.10932123673318378,1.0555518395256387,0.018,0,TRUE,27.690053700321076,27.690053700321076,Consistent (+)
X23_OH_PH_ln_U,2494,262,2232,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.002068855405402251,5.886246883297452e-4,0.004660814668111465,0,0.010693014934469577,0.0012004751066750053,0.014784266577021424,0.026,0.013199300495275408,0.005074348900006753,0.016581235031724994,0,0.15673977618304716,0.040575668048354614,0.7293933478834032,0,0,TRUE,15.673977618304717,15.673977618304717,Consistent (+)
Thiocyanate_ln_U,2483,258,2225,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.0010356971377153898,2.7472447563095986e-4,0.0027115406990402984,0,0.0038309226710104044,-8.928084145364683e-5,0.004659845989125818,0.056,0.004999698043171428,0.0024313687939313145,0.005553872706832126,0.01,0.20715193773150797,0.060394853246810196,0.9172281459402568,0.01,0,TRUE,20.715193773150798,20.715193773150798,Consistent (+)
X1_NP_ln_U,2414,247,2167,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.0010572771132669999,3.8149569727248116e-4,0.0020905056268767878,0,0.00462993401433631,2.574641262893255e-4,0.00614316264341971,0.046,0.005788985024310812,0.0016960152138308932,0.007086968114594654,0.018,0.18263600766403268,0.05939822665498538,0.671855505998264,0.018,0,TRUE,18.26360076640327,18.26360076640327,Consistent (+)
X25_DMF_binary_S,3581,374,3207,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap,ok,,0.018671217948163534,0.009523760878283967,0.029914420057150375,0.002,0.024495226727421847,-0.0029421673424264777,0.05512576498677697,0.078,0.04739289140564182,0.01895846135779116,0.08208392098061795,0.002,0.3939666349612264,0.1691826792406834,1.1705299137203555,0.004,0.0034166666666666664,TRUE,39.39666349612264,39.39666349612264,Consistent (+)
