Pollutant,n,CVD_events,CVD_nonevents,cycles,weight_variables,bootstrap_valid_reps,mediation_method,status,error,Indirect_Effect,Indirect_Low,Indirect_High,Indirect_P,Direct_Effect,Direct_Low,Direct_High,Direct_P,Total_Effect,Total_Low,Total_High,Total_P,Prop_Mediated,Prop_Mediated_Low,Prop_Mediated_High,Prop_P,ACME_FDR_BH,ACME_FDR_significant,Prop_Mediated_Pct
EO_ln_S,2415,259,2156,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.003012872631482576,0.00103939412141302,0.00571257608548897,0,0.007924443137568335,5.522147377107807e-4,0.010967896564493138,0.04,0.010937315769050911,0.005031311762567336,0.013077293691440789,0.002,0.2754672805559877,0.09112474371352906,0.8710736726748831,0.002,0,TRUE,27.54672805559877
X25_DMF_binary_S,3581,374,3207,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.020784441313191755,0.010864947250666472,0.03176538201259538,0.002,0.026608450092450067,-0.0033073486151824565,0.058886019623099195,0.078,0.04739289140564182,0.01895846135779116,0.08208392098061795,0.002,0.43855609347180496,0.2137928372060553,1.156636028346947,0.004,0.0034166666666666664,TRUE,43.8556093471805
CEMA_CYM_ln_U,2459,258,2201,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.002134550698569565,7.696780246499882e-4,0.0037585340788149585,0.006,0.007439719260399737,0.0023151017045145595,0.011986792007828618,0.004,0.009574269958969303,0.004755778762560163,0.01413490083126287,0,0.22294657532294557,0.07435820919815639,0.5446048004913071,0.006,0.0076875,TRUE,22.294657532294558
Furan_binary_S,3586,375,3211,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.02030690486951871,0.010545951408031886,0.03087153258792834,0,0.024919618306978825,-0.007649539072389505,0.057448862002771016,0.14,0.045226523176497536,0.011581822025332438,0.08073823353254775,0,0.44900433292805975,0.21808208935140944,1.533488938612488,0,0,TRUE,44.90043329280597
X2_FL_ln_U,2493,261,2232,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.002299029220141244,7.817431801614164e-4,0.004368966120761737,0.004,0.00956782082770756,0.004434040480465793,0.012074646126077617,0.004,0.011866850047848803,0.0077466833363666774,0.013667947140419549,0.002,0.19373542354299883,0.06827830719121064,0.44719629781449943,0.006,0.0054666666666666665,TRUE,19.373542354299882
Toluene_ln_S,3512,365,3147,2013-2014|2015-2016,WTSVOC2Y,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.006795345680238622,0.0035901360233040326,0.011124710027457928,0,0.0063871583028161484,-0.004321308873791805,0.021779865835325964,0.314,0.01318250398305477,8.189465435943531e-4,0.030727015169482445,0.04,0.5154821640087184,0.17123519414993454,2.545770161823529,0.04,0,TRUE,51.54821640087184
MB3_Cys_ln_U,2427,253,2174,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.00273263947165638,8.46890749937536e-4,0.004830456943515148,0,0.0107587868507808,0.002198453384105763,0.01618279977297871,0.028,0.013491426322437178,0.0051484762614734,0.018791482643709338,0.008,0.20254637325571803,0.06399379096071581,0.584596649669275,0.008,0,TRUE,20.254637325571803
GAM_Cys_binary_U,2486,259,2227,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.009767903127271648,0.004268874959572337,0.01602824889205639,0,-1.938626677885356e-4,-0.024678147426169375,0.023566724620512475,0.95,0.009574040459483112,-0.013998407103138164,0.03387380713555665,0.428,1.0202487830095301,-11.726183906253313,8.639350623692941,0.428,0,TRUE,102.02487830095302
Cd_ln_S,3690,394,3296,2013-2014|2015-2016,WTSH2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.005501900706866958,0.0029120429691671,0.00832387053660202,0,0.014672590119640696,0.002662715720920744,0.024745361356075066,0.022,0.020174490826507654,0.008456376184473816,0.029225223099910207,0,0.27271571581067633,0.12069063832225636,0.6398307229123216,0,0,TRUE,27.271571581067633
X3_FL_ln_U,2489,261,2228,2013-2014|2015-2016,WTSA2YR,1000,mediation::mediate weighted nonparametric bootstrap (average effects),ok,,0.0024051444979287465,8.302208684103894e-4,0.004241621846342099,0,0.009851213954693332,0.0022502974026788066,0.014487377839442539,0.016,0.01225635845262208,0.005315005392624966,0.016238069367560243,0.002,0.19623646837892528,0.06368928320242656,0.6204900531836252,0.002,0,TRUE,19.62364683789253
