Chemical,Gene,value
1-Aminonaphthalene,PTGS2,1
1-Aminonaphthalene,PTK2,1
"2,5-Dimethylfuran",MAPT,1
"2,6-Dimethylaniline",APP,1
2-Aminonaphthalene,PTGS2,1
2-Aminonaphthalene,PTK2,1
4-Aminobiphenyl,ESR1,1
4-Aminobiphenyl,PIK3CA,1
A-alpha-C,DYRK1A,1
Acrolein,ANKRD11,1
Acrolein,APOA1,1
Acrolein,APOE,1
Acrolein,APP,1
Acrolein,CASP8,1
Acrolein,GPX1,1
Acrolein,IL6,1
Acrolein,MAP2K1,1
Acrolein,MAPK1,1
Acrolein,MAPT,1
Acrolein,NR3C1,1
Acrolein,PPARG,1
Acrolein,PTGS2,1
Acrolein,TGFBR1,1
Acrylamide,GPX1,1
Acrylamide,MAP2K1,1
Acrylamide,MAPT,1
Acrylamide,PTK2,1
Acrylonitrile,MAPK1,1
Benzene,APP,1
Benzene,IL6,1
Benzene,NR3C1,1
Benzene,PTGS2,1
Cadmium,APOA1,1
Cadmium,APOE,1
Cadmium,APP,1
Cadmium,CASP8,1
Cadmium,ESR1,1
Cadmium,GPX1,1
Cadmium,IL6,1
Cadmium,MAP2K1,1
Cadmium,MAPK1,1
Cadmium,MAPT,1
Cadmium,NR3C1,1
Cadmium,PIK3CA,1
Cadmium,PPARG,1
Cadmium,PTGS2,1
Ethylbenzene,ACE,1
Ethylbenzene,CLIP2,1
Fluorene,DYRK1A,1
Fluorene,ESR1,1
HEMA mercapturic acid,ACE,1
HEMA mercapturic acid,PPARG,1
HEMA mercapturic acid,TGFBR1,1
Isoprene,MAPK1,1
Manganese,MAPK1,1
MeA-alpha-C,DYRK1A,1
MeA-alpha-C,PIK3CA,1
MeA-alpha-C,TGFBR1,1
Mono-benzyl phthalate,ESR1,1
Mono-benzyl phthalate,PPARG,1
"N,N-Dimethylformamide",MAPK1,1
Naphthalene,ESR1,1
Phenanthrene,ESR1,1
Styrene,PTGS2,1
Toluene,ACE,1
Toluene,ANKRD11,1
Toluene,CLIP2,1
Toluene,IL6,1
Toluene,PTGS2,1
Xylene,ACE,1
Xylene,CLIP2,1
