Category,Description,LogP,Log(q-value),#GeneInGOAndHitList,#GeneInHitList,Hits,CategoryID,GO,Enrichment,FDR,Significant_FDR_0_05,GeneID,LogQ,Count,HitListN,GeneRatio,MinusLog10FDR
KEGG Pathway,Proteoglycans in cancer,-21,-17,19,116,ACTB|CAV1|CTNNB1|ESR1|FGFR1|MTOR|HRAS|KDR|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTK2|PTPN11|RAF1|VEGFA|DROSHA,24,hsa05205,25,1e-17,TRUE,60|857|1499|2099|2260|2475|3265|3791|4233|5290|5296|5594|5604|5605|5747|5781|5894|7422|29102,-17,19,116,0.16379310344827586,17
KEGG Pathway,Pathways in cancer,-20,-16,25,116,CASP8|CSF1R|CTNNB1|EDN1|ESR1|FGFR1|MTOR|GNA11|GNAQ|HRAS|IL6|SMAD4|MET|NOTCH1|PIK3CA|PIK3R2|PPARG|MAPK1|MAP2K1|MAP2K2|PTGS2|PTK2|RAF1|TGFBR1|VEGFA,24,hsa05200,12,1e-16,TRUE,841|1436|1499|1906|2099|2260|2475|2767|2776|3265|3569|4089|4233|4851|5290|5296|5468|5594|5604|5605|5743|5747|5894|7046|7422,-16,25,116,0.21551724137931033,16
KEGG Pathway,Human cytomegalovirus infection,-20,-16,19,116,CASP8|CTNNB1|MTOR|GNA11|GNAQ|HRAS|IL6|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTGS2|PTK2|RAF1|TSC1|TSC2|VEGFA|TBK1,24,hsa05163,22,1e-16,TRUE,841|1499|2475|2767|2776|3265|3569|5290|5296|5594|5604|5605|5743|5747|5894|7248|7249|7422|29110,-16,19,116,0.16379310344827586,16
KEGG Pathway,Central carbon metabolism in cancer,-16,-13,12,116,FGFR1|MTOR|HRAS|IDH2|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|SLC2A2,24,hsa05230,45,1e-13,TRUE,2260|2475|3265|3418|4233|5290|5296|5594|5604|5605|5894|6514,-13,12,116,0.10344827586206896,13
KEGG Pathway,Pathways of neurodegeneration - multiple diseases,-16,-13,21,116,APP|CASP8|CTNNB1|DCTN1|MTOR|GNAQ|GPX1|HRAS|IL6|MAPT|MAPK1|MAP2K1|MAP2K2|PTGS2|RAF1|VCP|SQSTM1|EIF2AK3|MFN2|SIGMAR1|TBK1,24,hsa05022,12,1e-13,TRUE,351|841|1499|1639|2475|2776|2876|3265|3569|4137|5594|5604|5605|5743|5894|7415|8878|9451|9927|10280|29110,-13,21,116,0.1810344827586207,13
KEGG Pathway,Rap1 signaling pathway,-16,-13,16,116,ACTB|CSF1R|CTNNB1|CTNND1|FGFR1|GNAQ|HRAS|KDR|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|VEGFA,24,hsa04015,20,1e-13,TRUE,60|1436|1499|1500|2260|2776|3265|3791|4233|5290|5296|5594|5604|5605|5894|7422,-13,16,116,0.13793103448275862,13
KEGG Pathway,EGFR tyrosine kinase inhibitor resistance,-16,-13,12,116,MTOR|HRAS|IL6|KDR|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|VEGFA,24,hsa01521,40,1e-13,TRUE,2475|3265|3569|3791|4233|5290|5296|5594|5604|5605|5894|7422,-13,12,116,0.10344827586206896,13
KEGG Pathway,VEGF signaling pathway,-15,-13,11,116,HRAS|KDR|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTGS2|PTK2|RAF1|VEGFA,24,hsa04370,48,1e-13,TRUE,3265|3791|5290|5296|5594|5604|5605|5743|5747|5894|7422,-13,11,116,0.09482758620689655,13
KEGG Pathway,Human papillomavirus infection,-15,-13,18,116,CASP8|CHD4|CTNNB1|MTOR|HRAS|NOTCH1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTGS2|PTK2|RAF1|TSC1|TSC2|VEGFA|TBK1,24,hsa05165,14,1e-13,TRUE,841|1108|1499|2475|3265|4851|5290|5296|5594|5604|5605|5743|5747|5894|7248|7249|7422|29110,-13,18,116,0.15517241379310345,13
KEGG Pathway,Cellular senescence,-15,-12,14,116,MTOR|HRAS|IL6|SERPINE1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|RAF1|TGFBR1|TSC1|TSC2|SQSTM1,24,hsa04218,24,1e-12,TRUE,2475|3265|3569|5054|5290|5296|5594|5604|5605|5894|7046|7248|7249|8878,-12,14,116,0.1206896551724138,12
