Gene,EntrezGeneID,MCODE_Cluster,MCODE_Score,MCODE_Type,Network
APOA1,APOA1,1,2.153846153846154,Clustered,MyList_SUB1
APOA2,APOA2,1,2.153846153846154,Seed,MyList_SUB1
APOB,APOB,1,2.153846153846154,Clustered,MyList_SUB1
APOE,APOE,1,2.153846153846154,Clustered,MyList_SUB1
APP,APP,1,2.153846153846154,Clustered,MyList_SUB1
EDN1,EDN1,1,2.153846153846154,Clustered,MyList_SUB1
GNA11,GNA11,1,2.153846153846154,Clustered,MyList_SUB1
GNAQ,GNAQ,1,2.153846153846154,Clustered,MyList_SUB1
IL10,IL10,1,2.153846153846154,Clustered,MyList_SUB1
MAP2K1,MAP2K1,1,2.153846153846154,Clustered,MyList_SUB1
PPARG,PPARG,1,2.153846153846154,Clustered,MyList_SUB1
PTGS2,PTGS2,1,2.153846153846154,Clustered,MyList_SUB1
VCP,VCP,1,2.153846153846154,Clustered,MyList_SUB1
ACTB,ACTB,2,1.3636363636363638,Clustered,MyList_SUB1
ACVR2B,ACVR2B,2,1.3636363636363638,Clustered,MyList_SUB1
ADAR,ADAR,2,1.3636363636363638,Clustered,MyList_SUB1
CDK8,CDK8,2,1.3636363636363638,Clustered,MyList_SUB1
ENG,ENG,2,1.3636363636363638,Clustered,MyList_SUB1
HNRNPA1,HNRNPA1,2,1.3636363636363638,Clustered,MyList_SUB1
NONO,NONO,2,1.3636363636363638,Clustered,MyList_SUB1
NOTCH1,NOTCH1,2,1.3636363636363638,Clustered,MyList_SUB1
NSD2,NSD2,2,1.3636363636363638,Clustered,MyList_SUB1
SMARCA4,SMARCA4,2,1.3636363636363638,Seed,MyList_SUB1
TGFBR1,TGFBR1,2,1.3636363636363638,Clustered,MyList_SUB1
CAV1,CAV1,3,3.1111111111111107,Clustered,MyList_SUB1
ESR1,ESR1,3,3.1111111111111107,Clustered,MyList_SUB1
HRAS,HRAS,3,3.1111111111111107,Clustered,MyList_SUB1
IRS1,IRS1,3,3.1111111111111107,Seed,MyList_SUB1
KDR,KDR,3,3.1111111111111107,Clustered,MyList_SUB1
MET,MET,3,3.1111111111111107,Clustered,MyList_SUB1
PIK3CA,PIK3CA,3,3.1111111111111107,Clustered,MyList_SUB1
PTPN11,PTPN11,3,3.1111111111111107,Clustered,MyList_SUB1
SQSTM1,SQSTM1,3,3.1111111111111107,Clustered,MyList_SUB1
MAP2K2,MAP2K2,4,1.5,Clustered,MyList_SUB1
MAPK1,MAPK1,4,1.5,Clustered,MyList_SUB1
NR3C1,NR3C1,4,1.5,Clustered,MyList_SUB1
RAF1,RAF1,4,1.5,Clustered,MyList_SUB1
IL6,IL6,5,1.25,Clustered,MyList_SUB1
PIK3R2,PIK3R2,5,1.25,Clustered,MyList_SUB1
PTK2,PTK2,5,1.25,Seed,MyList_SUB1
VEGFA,VEGFA,5,1.25,Clustered,MyList_SUB1
CFH,CFH,6,1,Clustered,MyList_SUB1
F12,F12,6,1,Clustered,MyList_SUB1
F5,F5,6,1,Seed,MyList_SUB1
