Source,Target
AARS1,LSM1
AARS1,NPHP3
AARS1,VCP
ACE,ACTB
ACTB,ACTC1
ACTB,CAV1
ACTB,NCF1
ACTB,SMARCA4
ACTB,TSC1
ACTB,VCP
ACTC1,CAV1
ADAR,CHD4
ADAR,HNRNPA1
ADAR,MATR3
ADAR,NSD2
ADNP,SMARCA4
ALOX5,APP
ALOX5,PTGS2
ANKRD11,HRAS
APOA1,APOA2
APOA1,APOB
APOA1,APOE
APOA1,APP
APOA1,IL10
APOA1,MTTP
APOA1,NSD2
APOA1,SMARCA4
APOA1,VCP
APOA2,APOB
APOA2,APOE
APOA2,APP
APOA2,MTTP
APOB,APOE
APOB,APP
APOB,MTTP
APOB,PTPN11
APOB,VCP
APOE,APP
APOE,MAPT
APP,CAV1
APP,KDR
APP,LIMK1
APP,MAPK1
APP,MAPT
APP,NOTCH1
APP,NSD2
APP,PIK3R2
APP,PPARG
APP,PTGS2
APP,PTK2
APP,SLC2A2
APP,VCP
APP,VEGFA
CASP8,SQSTM1
CAV1,SQSTM1
CDK8,ESR1
CDK8,KIF11
CDK8,LMNA
CDK8,MAP2K1
CDK8,MAPT
CDK8,NOTCH1
CDK8,PPARG
CDK8,SMAD4
CDK8,SMARCA4
CFH,APOE
CHD4,ACTB
CHD4,ACTC1
CHD4,ADNP
CHD4,EHMT1
CHD4,HNRNPA1
CHD4,HNRNPA2B1
CHD4,KAT6A
CHD4,MAPK1
CHD4,MATR3
CHD4,NONO
CHD4,PPARG
CHD4,SMARCA4
CHD7,SMARCA4
CPS1,RAF1
CSF1R,CTNND1
CSF1R,IRS1
CSF1R,PIK3CA
CSF1R,PIK3R2
CSF1R,PTPN11
CTNNB1,ACTB
CTNNB1,ADNP
CTNNB1,CAV1
CTNNB1,CTNND1
CTNNB1,ESR1
CTNNB1,FGFR1
CTNNB1,HNRNPA1
CTNNB1,HNRNPA2B1
CTNNB1,KDR
CTNNB1,LMNA
CTNNB1,MAPK1
CTNNB1,MET
CTNNB1,NONO
CTNNB1,NOTCH1
CTNNB1,NSD2
CTNNB1,PPARG
CTNNB1,PTGS2
CTNNB1,PTPN11
CTNNB1,SMAD4
CTNNB1,SMARCA4
CTNNB1,TNFAIP3
CTNND1,APP
CTNND1,DYRK1A
CTNND1,FGFR1
CTNND1,HRAS
CTNND1,IRS1
CTNND1,MAPK1
CTNND1,MATR3
CTNND1,MET
CTNND1,PIK3CA
CTNND1,VCP
DCTN1,ACTB
DCTN1,ACTC1
DCTN1,EIF2AK3
DCTN1,GPX1
DCTN1,IRS1
DCTN1,KIF11
DCTN1,MAPT
DCTN1,NR3C1
DCTN1,PIK3CA
DCTN1,SQSTM1
DRD3,APP
DROSHA,HNRNPA1
DYRK1A,APP
DYRK1A,IRS1
DYRK1A,MAPT
DYRK1A,SQSTM1
DYRK1A,TSC1
DYRK1A,TSC2
EDN1,APP
EDN1,CASP8
EDN1,GJA1
EDN1,GNA11
EDN1,GNAQ
EDN1,IL6
EDN1,MAPK1
EDN1,PTK2
EDN1,VEGFA
EFEMP1,RAF1
EHMT1,ZEB2
ENG,ACVR2B
ENG,EFEMP1
ENG,KDR
ENG,LMNA
ENG,MAPK1
ENG,SMAD4
ENG,TGFBR1
ESR1,ACTB
ESR1,CAV1
ESR1,GNA11
ESR1,GNAQ
ESR1,IL6
ESR1,IRS1
ESR1,KAT6A
ESR1,MAPK1
ESR1,MTOR
ESR1,NR0B2
ESR1,NR3C1
ESR1,NSD2
ESR1,PIK3CA
ESR1,PIK3R2
ESR1,PPARG
ESR1,PTK2
ESR1,SMARCA4
ESR1,SQSTM1
ESR1,TBK1
ESR1,TSC1
ESR1,TSC2
ESR1,VEGFA
F12,CFH
F12,MET
F5,APP
F5,CFH
F5,F12
FBN1,FBN2
FBN1,GRN
FBN1,SERPINE1
FGFR1,HRAS
FGFR1,IRS1
FGFR1,MAPK1
FGFR1,MTOR
FGFR1,PIK3CA
FGFR1,PIK3R2
FGFR1,PTPN11
FGFRL1,NR0B2
GJA1,CAV1
GJA1,MAPK1
GJA1,SQSTM1
GNA11,ACTB
GNA11,APP
GNA11,GNAQ
GNA11,HRAS
GNA11,KDR
GNA11,PIK3CA
GNA11,PIK3R2
GNAQ,APP
GNAQ,HRAS
GNAQ,KDR
GNAQ,MAP2K1
GNAQ,PIK3CA
GNAQ,PIK3R2
GRN,TNFAIP3
HNRNPA1,ACTB
HNRNPA1,APP
HNRNPA1,EIF2AK3
HNRNPA1,HNRNPA2B1
HNRNPA1,MATR3
HNRNPA1,NONO
HNRNPA1,NR0B2
HNRNPA1,NSD2
HNRNPA1,VCP
HNRNPA2B1,ACTB
HNRNPA2B1,MAPT
HNRNPA2B1,MATR3
HNRNPA2B1,SMARCA4
HNRNPA2B1,SQSTM1
HRAS,CAV1
HRAS,IRS1
HRAS,KIDINS220
HRAS,LMNA
HRAS,MAP2K1
HRAS,MAP2K2
HRAS,MAPK1
HRAS,MET
HRAS,NOTCH1
HRAS,PIK3CA
HRAS,PIK3R2
HRAS,PTK2
HRAS,PTPN11
HRAS,RAF1
IDH2,ACTB
IDH2,ACTC1
IDH2,SQSTM1
IL10,MAPK1
IL10,PIK3CA
IL10,PTGS2
IL10,SMAD4
IL10,VEGFA
IL6,CAV1
IL6,EHMT1
IL6,IL10
IL6,IRS1
IL6,KDR
IL6,MAP2K1
IL6,MAP2K2
IL6,MAPK1
IL6,MET
IL6,PTGS2
IL6,PTK2
IL6,PTPN11
IL6,SERPINE1
IL6,SQSTM1
IL6,VEGFA
IPO8,IRS1
IRS1,CAV1
IRS1,EIF2AK3
IRS1,KDR
IRS1,MAPK1
IRS1,MET
IRS1,PIK3CA
IRS1,PIK3R2
IRS1,PTK2
IRS1,PTPN11
IRS1,SQSTM1
ITIH4,MAPT
KDR,CAV1
KDR,MAPK1
KDR,MET
KDR,PIK3CA
KDR,PIK3R2
KDR,PTK2
KDR,PTPN11
KDR,SQSTM1
KDR,VEGFA
KIF11,CDK13
KIF11,NSD2
KIF11,PPARG
KIF11,TNFAIP3
LIMK1,VEGFA
LMNA,ACTB
LMNA,CDK13
LMNA,MAP2K1
LMNA,MAP2K2
LMNA,MATR3
LMNA,NONO
LMNA,RAF1
LSM1,ACTB
LSM1,ACTC1
LSM1,HNRNPA2B1
LSM1,NSD2
LSM1,VCP
MAP2K1,MAP2K2
MAP2K1,PTK2
MAP2K1,PTPN11
MAP2K1,RAF1
MAP2K1,VCP
MAP2K2,ACTC1
MAP2K2,PTPN11
MAP2K2,RAF1
MAP2K2,UGP2
MAP2K2,VCP
MAPK1,CASP8
MAPK1,CAV1
MAPK1,MAP2K1
MAPK1,MAP2K2
MAPK1,NCF1
MAPK1,PTPN11
MAPK1,RAF1
MAPK1,SQSTM1
MAPK1,TSC1
MAPK1,TSC2
MAPK1,UGP2
MAPK1,VCP
MAPK1,VEGFA
MAPT,ACTB
MAPT,ACTC1
MAPT,CASP8
MAPT,CDK13
MAPT,CLIP2
MAPT,MAPK1
MAPT,MATR3
MAPT,NONO
MAPT,PTGS2
MAPT,PTPN11
MAPT,SQSTM1
MET,CAV1
MET,PIK3CA
MET,PIK3R2
MET,PTK2
MET,PTPN11
MET,RAF1
MET,VEGFA
MTOR,APP
MTOR,HRAS
MTOR,IL6
MTOR,IRS1
MTOR,LSM1
MTOR,MAP2K1
MTOR,MAPK1
MTOR,MAPT
MTOR,PIK3CA
MTOR,PIK3R2
MTOR,PPARG
MTOR,PTK2
MTOR,SQSTM1
MTOR,TBK1
MTOR,TNFAIP3
MTOR,TSC1
MTOR,TSC2
NCF1,CAV1
NONO,MAPK1
NONO,MATR3
NONO,NSD2
NONO,RAF1
NONO,SMARCA4
NOTCH1,KAT6A
NOTCH1,MAPK1
NOTCH1,PIK3CA
NOTCH1,SMARCA4
NOTCH1,SQSTM1
NOTCH1,TGFBR1
NPHP3,TSC1
NR3C1,APOA1
NR3C1,CAV1
NR3C1,CHD7
NR3C1,EHMT1
NR3C1,IL10
NR3C1,IL6
NR3C1,MAP2K2
NR3C1,MAPK1
NR3C1,NONO
NR3C1,NR0B2
NR3C1,PIK3CA
NR3C1,PPARG
NR3C1,RAF1
NR3C1,SMAD4
NR3C1,SMARCA4
PIK3CA,CAV1
PIK3CA,MAP2K2
PIK3CA,MAPK1
PIK3CA,PIK3R2
PIK3CA,PTK2
PIK3CA,PTPN11
PIK3CA,RAF1
PIK3CA,SQSTM1
PIK3CA,VEGFA
PIK3R2,CAV1
PIK3R2,MAP2K1
PIK3R2,PTK2
PIK3R2,PTPN11
PIK3R2,RAF1
PIK3R2,SQSTM1
PIK3R2,TGFBR1
PIK3R2,VEGFA
PPARG,ACTB
PPARG,CAV1
PPARG,CHD7
PPARG,MAP2K1
PPARG,MAPK1
PPARG,NR0B2
PPARG,PTGS2
PPARG,PTK2
PPARG,SMARCA4
PTGS2,CAV1
PTGS2,PTK2
PTGS2,VCP
PTK2,CASP8
PTK2,CAV1
PTK2,PTPN11
PTK2,TSC1
PTK2,TSC2
PTK2,VEGFA
PTPN11,CAV1
PTPN11,VCP
PTPN11,VEGFA
RAF1,SQSTM1
RAF1,TSC1
RAF1,VCP
SERPINE1,VEGFA
SIGMAR1,APP
SMAD4,ACVR2B
SMAD4,CAV1
SMAD4,MAP2K2
SMAD4,MAPK1
SMAD4,SERPINE1
SMAD4,TGFBR1
SMARCA4,ACTC1
SQSTM1,EIF2AK3
SQSTM1,MFN2
STAMBP,GJA1
STAMBP,PTPN11
TBK1,APP
TBK1,PTPN11
TBK1,SQSTM1
TBK1,TNFAIP3
TBK1,TSC2
TGFBR1,ACVR2B
TGFBR1,CAV1
TGFBR1,VEGFA
TNFAIP3,CASP8
TNFAIP3,SQSTM1
TSC1,TSC2
TSC2,CAV1
VCP,CAV1
VCP,MATR3
VCP,MFN2
VCP,SQSTM1
