Category,CategoryID,GO,Description,LogP,Enrichment,#GeneInGOAndHitList,#GeneInHitList,Hits,Log(q-value),GeneID,Source,FDR,Significant_FDR_0_05
Reactome Gene Sets,6,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,-24,16,27,116,ACTB|CDK8|CTNNB1|DCTN1|ESR1|FGFR1|MTOR|HRAS|IL10|IRS1|KDR|LMNA|SMAD4|MET|NOTCH1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTPN11|RAF1|TGFBR1|TSC2|VCP|SQSTM1|EIF2AK3,-20,60|1024|1499|1639|2099|2260|2475|3265|3586|3667|3791|4000|4089|4233|4851|5290|5296|5594|5604|5605|5781|5894|7046|7249|7415|8878|9451,Metascape session t_e1w6klz,2.061153622438558e-9,TRUE
GO Biological Processes,19,GO:0072359,circulatory system development,-23,12,29,116,ACTC1|ACVR2B|CASP8|CAV1|CTNNB1|CTNND1|EDN1|ENG|FBN1|MTOR|GJA1|KCNQ1|KDR|SMAD4|NOTCH1|SERPINE1|PIK3CA|PKD2|PTK2|PTPN11|SLC8A1|TGFBR1|TSC2|VEGFA|EIF2AK3|MATR3|EMILIN1|NPHP3|CHD7,-19,70|93|841|857|1499|1500|1906|2022|2200|2475|2697|3784|3791|4089|4851|5054|5290|5311|5747|5781|6546|7046|7249|7422|9451|9782|11117|27031|55636,Metascape session t_e1w6klz,5.602796437537268e-9,TRUE
WikiPathways,27,WP5475,Hallmark of cancer sustaining proliferative signaling,-21,43,16,116,CSF1R|CTNNB1|FGFR1|MTOR|HRAS|IL6|KDR|MET|PIK3CA|MAPK1|MAP2K1|MAP2K2|PTK2|RAF1|TSC1|TSC2,-18,1436|1499|2260|2475|3265|3569|3791|4233|5290|5594|5604|5605|5747|5894|7248|7249,Metascape session t_e1w6klz,1.522997974471263e-8,TRUE
WikiPathways,27,WP3888,VEGFA VEGFR2 signaling,-21,15,24,116,CAV1|CTNNB1|CTNND1|ENG|MTOR|GJA1|GPX1|HRAS|IDH2|KDR|LIMK1|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTGS2|PTK2|PTPN11|RAF1|SLC8A1|VEGFA|EIF2AK3|NCF1,-17,857|1499|1500|2022|2475|2697|2876|3265|3418|3791|3984|5290|5296|5594|5604|5605|5743|5747|5781|5894|6546|7422|9451|653361,Metascape session t_e1w6klz,4.139937718785167e-8,TRUE
KEGG Pathway,24,hsa05205,Proteoglycans in cancer,-21,25,19,116,ACTB|CAV1|CTNNB1|ESR1|FGFR1|MTOR|HRAS|KDR|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTK2|PTPN11|RAF1|VEGFA|DROSHA,-17,60|857|1499|2099|2260|2475|3265|3791|4233|5290|5296|5594|5604|5605|5747|5781|5894|7422|29102,Metascape session t_e1w6klz,4.139937718785167e-8,TRUE
GO Biological Processes,19,GO:1902532,negative regulation of intracellular signal transduction,-20,10,29,116,AARS1|APOE|CASP8|CAV1|CTNNB1|CTNND1|DRD3|DYRK1A|EDN1|ENG|ESR1|IL10|SMAD4|NONO|PIK3R2|PPARG|MAP2K1|PTGS2|SLC8A1|SMARCA4|TNFAIP3|TSC1|TSC2|VCP|VEGFA|MFN2|STAMBP|EMILIN1|TBK1,-17,16|348|841|857|1499|1500|1814|1859|1906|2022|2099|3586|4089|4841|5296|5468|5604|5743|6546|6597|7128|7248|7249|7415|7422|9927|10617|11117|29110,Metascape session t_e1w6klz,4.139937718785167e-8,TRUE
GO Biological Processes,19,GO:0007507,heart development,-20,15,23,116,ACTC1|CASP8|CTNNB1|EDN1|ENG|FBN1|MTOR|GJA1|KCNQ1|KDR|SMAD4|NOTCH1|PKD2|PTK2|PTPN11|SLC8A1|TGFBR1|TSC2|VEGFA|MATR3|EMILIN1|NPHP3|CHD7,-17,70|841|1499|1906|2022|2200|2475|2697|3784|3791|4089|4851|5311|5747|5781|6546|7046|7249|7422|9782|11117|27031|55636,Metascape session t_e1w6klz,4.139937718785167e-8,TRUE
WikiPathways,27,WP4659,Gastrin signaling,-20,37,16,116,CTNNB1|MTOR|GNAQ|HRAS|IRS1|SERPINE1|PIK3CA|PIK3R2|PPARG|MAPK1|MAP2K1|PTGS2|PTK2|PTPN11|RAF1|VEGFA,-17,1499|2475|2776|3265|3667|5054|5290|5296|5468|5594|5604|5743|5747|5781|5894|7422,Metascape session t_e1w6klz,4.139937718785167e-8,TRUE
WikiPathways,27,WP5434,Cancer pathways,-20,13,25,116,CASP8|CSF1R|CTNNB1|EDN1|ESR1|FGFR1|MTOR|GNA11|GNAQ|HRAS|IL6|SMAD4|MET|NOTCH1|PIK3CA|PIK3R2|PPARG|MAPK1|MAP2K1|MAP2K2|PTGS2|PTK2|RAF1|TGFBR1|VEGFA,-17,841|1436|1499|1906|2099|2260|2475|2767|2776|3265|3569|4089|4233|4851|5290|5296|5468|5594|5604|5605|5743|5747|5894|7046|7422,Metascape session t_e1w6klz,4.139937718785167e-8,TRUE
GO Biological Processes,19,GO:0045597,positive regulation of cell differentiation,-20,9.8,29,116,ACTB|ACVR2B|APOB|APP|CASP8|CTNNB1|EDN1|ENG|FBN2|FGFR1|MTOR|GJA1|IL6|IL10|KDR|LIMK1|SMAD4|MAPT|NOTCH1|SERPINE1|PPARG|PTGS2|PTK2|SMARCA4|TGFBR1|VEGFA|PIEZO1|ZEB2|ADNP,-17,60|93|338|351|841|1499|1906|2022|2201|2260|2475|2697|3569|3586|3791|3984|4089|4137|4851|5054|5468|5743|5747|6597|7046|7422|9780|9839|23394,Metascape session t_e1w6klz,4.139937718785167e-8,TRUE
