Gene,Degree,Betweenness,EntrezGeneID,MCODE_Cluster,MCODE_Score,MCODE_Type,Network,Candidate_Hub,Hub_Criterion
MAPK1,35,0.11155471147586725,MAPK1,4,1.5,Clustered,MyList_SUB1,TRUE,Degree >= 20 and Betweenness >= 0.04403 (top decile for both)
APP,30,0.16929594948698554,APP,1,2.153846153846154,Clustered,MyList_SUB1,TRUE,Degree >= 20 and Betweenness >= 0.04403 (top decile for both)
CAV1,25,0.04449479522844183,CAV1,3,3.1111111111111107,Clustered,MyList_SUB1,TRUE,Degree >= 20 and Betweenness >= 0.04403 (top decile for both)
ESR1,24,0.047826617823064015,ESR1,3,3.1111111111111107,Clustered,MyList_SUB1,TRUE,Degree >= 20 and Betweenness >= 0.04403 (top decile for both)
PIK3CA,24,0.023822155131410838,PIK3CA,3,3.1111111111111107,Clustered,MyList_SUB1,FALSE,Not retained
SQSTM1,23,0.057206638372803355,SQSTM1,3,3.1111111111111107,Clustered,MyList_SUB1,TRUE,Degree >= 20 and Betweenness >= 0.04403 (top decile for both)
CTNNB1,21,0.04835303876735053,NA,NA,NA,NA,NA,TRUE,Degree >= 20 and Betweenness >= 0.04403 (top decile for both)
PTPN11,21,0.041176316724787845,PTPN11,3,3.1111111111111107,Clustered,MyList_SUB1,FALSE,Not retained
HRAS,20,0.04757325239563315,HRAS,3,3.1111111111111107,Clustered,MyList_SUB1,TRUE,Degree >= 20 and Betweenness >= 0.04403 (top decile for both)
IRS1,20,0.03587631875054474,IRS1,3,3.1111111111111107,Seed,MyList_SUB1,FALSE,Not retained
PIK3R2,20,0.018287099640604234,PIK3R2,5,1.25,Clustered,MyList_SUB1,FALSE,Not retained
PTK2,20,0.016777105790525892,PTK2,5,1.25,Seed,MyList_SUB1,FALSE,Not retained
MAPT,19,0.0808564348405386,NA,NA,NA,NA,NA,FALSE,Not retained
ACTB,19,0.050254262298743725,ACTB,2,1.3636363636363638,Clustered,MyList_SUB1,FALSE,Not retained
IL6,19,0.044215656756058645,IL6,5,1.25,Clustered,MyList_SUB1,FALSE,Not retained
MTOR,19,0.030056405062199813,NA,NA,NA,NA,NA,FALSE,Not retained
VCP,18,0.05402456512973058,VCP,1,2.153846153846154,Clustered,MyList_SUB1,FALSE,Not retained
NR3C1,17,0.04108647347046594,NR3C1,4,1.5,Clustered,MyList_SUB1,FALSE,Not retained
PPARG,17,0.03052350453017809,PPARG,1,2.153846153846154,Clustered,MyList_SUB1,FALSE,Not retained
KDR,16,0.010408929841113222,KDR,3,3.1111111111111107,Clustered,MyList_SUB1,FALSE,Not retained
RAF1,15,0.042355760323622316,RAF1,4,1.5,Clustered,MyList_SUB1,FALSE,Not retained
VEGFA,15,0.029301533725849902,VEGFA,5,1.25,Clustered,MyList_SUB1,FALSE,Not retained
MET,14,0.02349339039141743,MET,3,3.1111111111111107,Clustered,MyList_SUB1,FALSE,Not retained
SMARCA4,14,0.015429151509780605,SMARCA4,2,1.3636363636363638,Seed,MyList_SUB1,FALSE,Not retained
MAP2K1,14,0.007855439974365958,MAP2K1,1,2.153846153846154,Clustered,MyList_SUB1,FALSE,Not retained
HNRNPA1,13,0.040290110409930316,HNRNPA1,2,1.3636363636363638,Clustered,MyList_SUB1,FALSE,Not retained
CHD4,13,0.022952756985249206,NA,NA,NA,NA,NA,FALSE,Not retained
MAP2K2,13,0.011466530953256343,MAP2K2,4,1.5,Clustered,MyList_SUB1,FALSE,Not retained
CTNND1,12,0.01147761354881974,NA,NA,NA,NA,NA,FALSE,Not retained
SMAD4,11,0.025644773118145985,NA,NA,NA,NA,NA,FALSE,Not retained
LMNA,11,0.014035445729351278,NA,NA,NA,NA,NA,FALSE,Not retained
NONO,11,0.009216835834075074,NONO,2,1.3636363636363638,Clustered,MyList_SUB1,FALSE,Not retained
DCTN1,10,0.027697532297318313,NA,NA,NA,NA,NA,FALSE,Not retained
APOA1,10,0.0216349599987115,APOA1,1,2.153846153846154,Clustered,MyList_SUB1,FALSE,Not retained
NOTCH1,10,0.013681849504790714,NOTCH1,2,1.3636363636363638,Clustered,MyList_SUB1,FALSE,Not retained
PTGS2,10,0.009691915302989748,PTGS2,1,2.153846153846154,Clustered,MyList_SUB1,FALSE,Not retained
TSC1,9,0.0193295800460301,NA,NA,NA,NA,NA,FALSE,Not retained
NSD2,9,0.01289093500946066,NSD2,2,1.3636363636363638,Clustered,MyList_SUB1,FALSE,Not retained
MATR3,9,0.007218704794640791,NA,NA,NA,NA,NA,FALSE,Not retained
ACTC1,9,0.006706179798380531,NA,NA,NA,NA,NA,FALSE,Not retained
CDK8,9,0.00667537794237531,CDK8,2,1.3636363636363638,Clustered,MyList_SUB1,FALSE,Not retained
HNRNPA2B1,9,0.004211823780181077,NA,NA,NA,NA,NA,FALSE,Not retained
EDN1,9,0.004117423332507783,EDN1,1,2.153846153846154,Clustered,MyList_SUB1,FALSE,Not retained
GNA11,9,0.003946127830086011,GNA11,1,2.153846153846154,Clustered,MyList_SUB1,FALSE,Not retained
GNAQ,9,0.0021041854159008218,GNAQ,1,2.153846153846154,Clustered,MyList_SUB1,FALSE,Not retained
FGFR1,9,6.525322240183784e-4,NA,NA,NA,NA,NA,FALSE,Not retained
IL10,8,0.003019814398540297,IL10,1,2.153846153846154,Clustered,MyList_SUB1,FALSE,Not retained
TSC2,8,0.0011954038523543202,NA,NA,NA,NA,NA,FALSE,Not retained
TNFAIP3,7,0.02594899071619697,NA,NA,NA,NA,NA,FALSE,Not retained
ENG,7,0.00984068306354676,ENG,2,1.3636363636363638,Clustered,MyList_SUB1,FALSE,Not retained
APOB,7,0.009785577312142328,APOB,1,2.153846153846154,Clustered,MyList_SUB1,FALSE,Not retained
TGFBR1,7,0.00569725480567775,TGFBR1,2,1.3636363636363638,Clustered,MyList_SUB1,FALSE,Not retained
