ChemicalID_30,Chemical,Gene,Number_of_supporting_sources,Source
20,1-Aminonaphthalene,PTGS2,1,SwissTargetPrediction
20,1-Aminonaphthalene,PTK2,1,SwissTargetPrediction
2,"2,5-Dimethylfuran",MAPT,1,SwissTargetPrediction
25,"2,6-Dimethylaniline",APP,1,SwissTargetPrediction
27,2-Aminonaphthalene,PTGS2,1,SwissTargetPrediction
27,2-Aminonaphthalene,PTK2,1,SwissTargetPrediction
28,4-Aminobiphenyl,ESR1,1,SwissTargetPrediction
28,4-Aminobiphenyl,KIF11,1,SwissTargetPrediction
28,4-Aminobiphenyl,PIK3CA,1,SwissTargetPrediction
13,A-alpha-C,DYRK1A,1,SwissTargetPrediction
13,A-alpha-C,LIMK1,1,SwissTargetPrediction
12,Acrolein,ACTB,1,CTD
12,Acrolein,ADAR,1,CTD
12,Acrolein,ADNP,1,CTD
12,Acrolein,ANKRD11,1,CTD
12,Acrolein,APOA1,1,CTD
12,Acrolein,APOE,1,CTD
12,Acrolein,APP,1,CTD
12,Acrolein,B4GALT7,1,CTD
12,Acrolein,CAPN10,1,CTD
12,Acrolein,CASP8,1,CTD
12,Acrolein,CHD4,1,CTD
12,Acrolein,CHD7,1,CTD
12,Acrolein,CPS1,1,CTD
12,Acrolein,CTNNB1,1,CTD
12,Acrolein,CTNND1,1,CTD
12,Acrolein,DCTN1,1,CTD
12,Acrolein,DROSHA,1,CTD
12,Acrolein,EDN1,1,CTD
12,Acrolein,EFEMP1,1,CTD
12,Acrolein,EHMT1,1,CTD
12,Acrolein,FBN2,1,CTD
12,Acrolein,FGFRL1,1,CTD
12,Acrolein,GPX1,1,CTD
12,Acrolein,GRN,1,CTD
12,Acrolein,GUSB,1,CTD
12,Acrolein,HNRNPA1,1,CTD
12,Acrolein,HRAS,1,CTD
12,Acrolein,IL6,1,CTD
12,Acrolein,IPO8,1,CTD
12,Acrolein,KAT6A,1,CTD
12,Acrolein,KIDINS220,1,CTD
12,Acrolein,LMNA,1,CTD
12,Acrolein,LSM1,1,CTD
12,Acrolein,MAP2K1,1,CTD
12,Acrolein,MAP2K2,1,CTD
12,Acrolein,MAPK1,1,CTD
12,Acrolein,MAPT,1,CTD
12,Acrolein,MATR3,1,CTD
12,Acrolein,MGAT1,1,CTD
12,Acrolein,NCF1,1,CTD
12,Acrolein,NONO,1,CTD
12,Acrolein,NPHP3,1,CTD
12,Acrolein,NR3C1,1,CTD
12,Acrolein,NSD2,1,CTD
12,Acrolein,PIK3R2,1,CTD
12,Acrolein,PKD2,1,CTD
12,Acrolein,PPARG,1,CTD
12,Acrolein,PTGS2,1,CTD
12,Acrolein,PUS3,1,CTD
12,Acrolein,SMARCA4,1,CTD
12,Acrolein,SQSTM1,1,CTD
12,Acrolein,STAMBP,1,CTD
12,Acrolein,TBK1,1,CTD
12,Acrolein,TGFBR1,1,CTD
12,Acrolein,TNFAIP3,1,CTD
12,Acrolein,TSC1,1,CTD
12,Acrolein,TSC2,1,CTD
12,Acrolein,TUG1,1,CTD
12,Acrolein,VEGFA,1,CTD
12,Acrolein,ZEB2,1,CTD
8,Acrylamide,DRD3,1,CTD
8,Acrylamide,FGFR1,1,CTD
8,Acrylamide,GPX1,1,CTD
8,Acrylamide,KCNQ1,1,CTD
8,Acrylamide,MAP2K1,1,SwissTargetPrediction
8,Acrylamide,MAPT,1,CTD
8,Acrylamide,PTK2,1,CTD
3,Acrylonitrile,MAPK1,1,CTD
14,Benzene,APP,1,CTD
14,Benzene,CSF1R,1,CTD
14,Benzene,IL6,1,CTD
14,Benzene,NR3C1,1,CTD
14,Benzene,PTGS2,1,CTD
9,Cadmium,AARS1,1,CTD
9,Cadmium,APOA1,1,CTD
9,Cadmium,APOA2,1,CTD
9,Cadmium,APOB,1,CTD
9,Cadmium,APOE,1,CTD
9,Cadmium,APP,1,CTD
9,Cadmium,CASP8,1,CTD
9,Cadmium,CAV1,1,CTD
9,Cadmium,CDK13,1,CTD
9,Cadmium,CFH,1,CTD
9,Cadmium,CTNNB1,1,CTD
9,Cadmium,EIF2AK3,1,CTD
9,Cadmium,EMILIN1,1,CTD
9,Cadmium,ENG,1,CTD
9,Cadmium,ESR1,1,CTD
9,Cadmium,F12,1,CTD
9,Cadmium,F5,1,CTD
9,Cadmium,FBN1,1,CTD
9,Cadmium,GJA1,1,CTD
9,Cadmium,GNA11,1,CTD
