ChemicalID_30,Chemical,Gene,Source
3,Acrylonitrile,MAPK1,CTD
6,Toluene,ACE,CTD
6,Toluene,ACOT2,CTD
6,Toluene,ACTC1,CTD
6,Toluene,ACVR2B,CTD
6,Toluene,ADAMTSL2,CTD
6,Toluene,ANKRD11,CTD
6,Toluene,CLIP2,CTD
6,Toluene,IL6,CTD
6,Toluene,NOTCH1,CTD
6,Toluene,PTGS2,CTD
8,Acrylamide,DRD3,CTD
8,Acrylamide,FGFR1,CTD
8,Acrylamide,GPX1,CTD
8,Acrylamide,KCNQ1,CTD
8,Acrylamide,MAPT,CTD
8,Acrylamide,PTK2,CTD
9,Cadmium,AARS1,CTD
9,Cadmium,APOA1,CTD
9,Cadmium,APOA2,CTD
9,Cadmium,APOB,CTD
9,Cadmium,APOE,CTD
9,Cadmium,APP,CTD
9,Cadmium,CASP8,CTD
9,Cadmium,CAV1,CTD
9,Cadmium,CDK13,CTD
9,Cadmium,CFH,CTD
9,Cadmium,CTNNB1,CTD
9,Cadmium,EIF2AK3,CTD
9,Cadmium,EMILIN1,CTD
9,Cadmium,ENG,CTD
9,Cadmium,ESR1,CTD
9,Cadmium,F12,CTD
9,Cadmium,F5,CTD
9,Cadmium,FBN1,CTD
9,Cadmium,GJA1,CTD
9,Cadmium,GNA11,CTD
9,Cadmium,GNAQ,CTD
9,Cadmium,GPX1,CTD
9,Cadmium,HNRNPA2B1,CTD
9,Cadmium,IDH2,CTD
9,Cadmium,IL10,CTD
9,Cadmium,IL6,CTD
9,Cadmium,IRS1,CTD
9,Cadmium,ITIH4,CTD
9,Cadmium,KDR,CTD
9,Cadmium,KIDINS220,CTD
9,Cadmium,MAP2K1,CTD
9,Cadmium,MAP2K2,CTD
9,Cadmium,MAPK1,CTD
9,Cadmium,MAPT,CTD
9,Cadmium,MET,CTD
9,Cadmium,MFN2,CTD
9,Cadmium,MTOR,CTD
9,Cadmium,MTTP,CTD
9,Cadmium,NR0B2,CTD
9,Cadmium,NR3C1,CTD
9,Cadmium,PIEZO1,CTD
9,Cadmium,PIK3CA,CTD
9,Cadmium,PPARG,CTD
9,Cadmium,PTGS2,CTD
9,Cadmium,PTPN11,CTD
9,Cadmium,RAF1,CTD
9,Cadmium,SLC2A2,CTD
9,Cadmium,SLC8A1,CTD
9,Cadmium,SMAD4,CTD
9,Cadmium,SQSTM1,CTD
9,Cadmium,TNFAIP3,CTD
9,Cadmium,UGP2,CTD
9,Cadmium,VCP,CTD
9,Cadmium,VEGFA,CTD
10,Naphthalene,ESR1,CTD
11,Styrene,PTGS2,CTD
12,Acrolein,ACTB,CTD
12,Acrolein,ADAR,CTD
12,Acrolein,ADNP,CTD
12,Acrolein,ANKRD11,CTD
12,Acrolein,APOA1,CTD
12,Acrolein,APOE,CTD
12,Acrolein,APP,CTD
12,Acrolein,B4GALT7,CTD
12,Acrolein,CAPN10,CTD
12,Acrolein,CASP8,CTD
12,Acrolein,CHD4,CTD
12,Acrolein,CHD7,CTD
12,Acrolein,CPS1,CTD
12,Acrolein,CTNNB1,CTD
12,Acrolein,CTNND1,CTD
12,Acrolein,DCTN1,CTD
12,Acrolein,DROSHA,CTD
12,Acrolein,EDN1,CTD
12,Acrolein,EFEMP1,CTD
12,Acrolein,EHMT1,CTD
12,Acrolein,FBN2,CTD
12,Acrolein,FGFRL1,CTD
12,Acrolein,GPX1,CTD
12,Acrolein,GRN,CTD
12,Acrolein,GUSB,CTD
12,Acrolein,HNRNPA1,CTD
12,Acrolein,HRAS,CTD
12,Acrolein,IL6,CTD
12,Acrolein,IPO8,CTD
12,Acrolein,KAT6A,CTD
12,Acrolein,KIDINS220,CTD
12,Acrolein,LMNA,CTD
12,Acrolein,LSM1,CTD
12,Acrolein,MAP2K1,CTD
12,Acrolein,MAP2K2,CTD
12,Acrolein,MAPK1,CTD
12,Acrolein,MAPT,CTD
12,Acrolein,MATR3,CTD
12,Acrolein,MGAT1,CTD
12,Acrolein,NCF1,CTD
12,Acrolein,NONO,CTD
12,Acrolein,NPHP3,CTD
12,Acrolein,NR3C1,CTD
12,Acrolein,NSD2,CTD
12,Acrolein,PIK3R2,CTD
12,Acrolein,PKD2,CTD
12,Acrolein,PPARG,CTD
12,Acrolein,PTGS2,CTD
12,Acrolein,PUS3,CTD
12,Acrolein,SMARCA4,CTD
12,Acrolein,SQSTM1,CTD
12,Acrolein,STAMBP,CTD
12,Acrolein,TBK1,CTD
12,Acrolein,TGFBR1,CTD
12,Acrolein,TNFAIP3,CTD
12,Acrolein,TSC1,CTD
12,Acrolein,TSC2,CTD
12,Acrolein,TUG1,CTD
12,Acrolein,VEGFA,CTD
12,Acrolein,ZEB2,CTD
14,Benzene,APP,CTD
14,Benzene,CSF1R,CTD
14,Benzene,IL6,CTD
14,Benzene,NR3C1,CTD
14,Benzene,PTGS2,CTD
17,Mono-benzyl phthalate,ESR1,CTD
17,Mono-benzyl phthalate,PPARG,CTD
18,Ethylbenzene,ACE,CTD
18,Ethylbenzene,CLIP2,CTD
19,Isoprene,MAPK1,CTD
21,"N,N-Dimethylformamide",MAPK1,CTD
22,Xylene,ACE,CTD
22,Xylene,CLIP2,CTD
22,Xylene,NOTCH1,CTD
23,Phenanthrene,ESR1,CTD
26,Manganese,MAPK1,CTD
26,Manganese,MTOR,CTD
26,Manganese,SERPINE1,CTD
17,Mono-benzyl phthalate,PPARG,SwissTargetPrediction
