Scenario,Category,CategoryID,GO,Description,LogP,Log(q-value),FDR,Count,HitListN,GeneRatio,Hits,SourceFile
Full,GO Biological Processes,19,GO:0072359,circulatory system development,-23,-19,5.602796437537268e-9,29,116,0.25,ACTC1|ACVR2B|CASP8|CAV1|CTNNB1|CTNND1|EDN1|ENG|FBN1|MTOR|GJA1|KCNQ1|KDR|SMAD4|NOTCH1|SERPINE1|PIK3CA|PKD2|PTK2|PTPN11|SLC8A1|TGFBR1|TSC2|VEGFA|EIF2AK3|MATR3|EMILIN1|NPHP3|CHD7,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa05205,Proteoglycans in cancer,-21,-17,4.139937718785167e-8,19,116,0.16379310344827586,ACTB|CAV1|CTNNB1|ESR1|FGFR1|MTOR|HRAS|KDR|MET|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTK2|PTPN11|RAF1|VEGFA|DROSHA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:1902532,negative regulation of intracellular signal transduction,-20,-17,4.139937718785167e-8,29,116,0.25,AARS1|APOE|CASP8|CAV1|CTNNB1|CTNND1|DRD3|DYRK1A|EDN1|ENG|ESR1|IL10|SMAD4|NONO|PIK3R2|PPARG|MAP2K1|PTGS2|SLC8A1|SMARCA4|TNFAIP3|TSC1|TSC2|VCP|VEGFA|MFN2|STAMBP|EMILIN1|TBK1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0007507,heart development,-20,-17,4.139937718785167e-8,23,116,0.19827586206896552,ACTC1|CASP8|CTNNB1|EDN1|ENG|FBN1|MTOR|GJA1|KCNQ1|KDR|SMAD4|NOTCH1|PKD2|PTK2|PTPN11|SLC8A1|TGFBR1|TSC2|VEGFA|MATR3|EMILIN1|NPHP3|CHD7,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0045597,positive regulation of cell differentiation,-20,-17,4.139937718785167e-8,29,116,0.25,ACTB|ACVR2B|APOB|APP|CASP8|CTNNB1|EDN1|ENG|FBN2|FGFR1|MTOR|GJA1|IL6|IL10|KDR|LIMK1|SMAD4|MAPT|NOTCH1|SERPINE1|PPARG|PTGS2|PTK2|SMARCA4|TGFBR1|VEGFA|PIEZO1|ZEB2|ADNP,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:1901699,cellular response to nitrogen compound,-20,-17,4.139937718785167e-8,26,116,0.22413793103448276,ACTB|APP|CAV1|CPS1|CTNNB1|ACE|DRD3|EDN1|FBN1|MTOR|GJA1|GNA11|GNAQ|HRAS|IRS1|KCNQ1|NONO|PIK3CA|PIK3R2|PKD2|PPARG|MAPK1|PTK2|RAF1|SLC8A1|CAPN10,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa05200,Pathways in cancer,-20,-16,1.1253517471925912e-7,25,116,0.21551724137931033,CASP8|CSF1R|CTNNB1|EDN1|ESR1|FGFR1|MTOR|GNA11|GNAQ|HRAS|IL6|SMAD4|MET|NOTCH1|PIK3CA|PIK3R2|PPARG|MAPK1|MAP2K1|MAP2K2|PTGS2|PTK2|RAF1|TGFBR1|VEGFA,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,KEGG Pathway,24,hsa05163,Human cytomegalovirus infection,-20,-16,1.1253517471925912e-7,19,116,0.16379310344827586,CASP8|CTNNB1|MTOR|GNA11|GNAQ|HRAS|IL6|PIK3CA|PIK3R2|MAPK1|MAP2K1|MAP2K2|PTGS2|PTK2|RAF1|TSC1|TSC2|VEGFA|TBK1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0008015,blood circulation,-19,-16,1.1253517471925912e-7,22,116,0.1896551724137931,ACTC1|APOE|CAV1|CPS1|ACE|DRD3|EDN1|ENG|F5|FBN1|GJA1|GNA11|GPX1|KCNQ1|PIK3CA|PPARG|MAP2K1|PTGS2|PTPN11|SLC8A1|VEGFA|EMILIN1,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
Full,GO Biological Processes,19,GO:0009725,response to hormone,-18,-15,3.059023205018258e-7,27,116,0.23275862068965517,APP|CAV1|CPS1|ACE|EDN1|ESR1|FBN1|MTOR|GNAQ|GPX1|NR3C1|HRAS|IL6|IL10|IRS1|KCNQ1|NONO|NOTCH1|PIK3CA|PIK3R2|PPARG|MAPK1|MAP2K1|PTK2|RAF1|TSC1|CAPN10,results/metascape/t_e1w6klz/Enrichment_GO/GO_AllLists.csv
