"category_group_id","family","outcome","exposure","directional_weight","direction"
"C04","Urinary PAH metabolites","CVD","X2_FL_ln_U",0.45867127562937,"positive"
"C04","Urinary PAH metabolites","CVD","X1_PY_ln_U",0.381919714370251,"positive"
"C04","Urinary PAH metabolites","CVD","X1_PH_ln_U",0.134228311426456,"positive"
"C04","Urinary PAH metabolites","CVD","X2_NP_ln_U",0.0251806985739228,"positive"
"C04","Urinary PAH metabolites","CVD","X23_OH_PH_ln_U",0.493988479998225,"negative"
"C04","Urinary PAH metabolites","CVD","X3_FL_ln_U",0.445316080693297,"negative"
"C04","Urinary PAH metabolites","CVD","X1_NP_ln_U",0.0606954393084785,"negative"
"C04","Urinary PAH metabolites","LE8","X1_PY_ln_U",0.520566594775564,"positive"
"C04","Urinary PAH metabolites","LE8","X3_FL_ln_U",0.395682187483111,"positive"
"C04","Urinary PAH metabolites","LE8","X1_NP_ln_U",0.0837512177413249,"positive"
"C04","Urinary PAH metabolites","LE8","X2_NP_ln_U",0.465313750590184,"negative"
"C04","Urinary PAH metabolites","LE8","X2_FL_ln_U",0.307340891250428,"negative"
"C04","Urinary PAH metabolites","LE8","X23_OH_PH_ln_U",0.221528325390112,"negative"
"C04","Urinary PAH metabolites","LE8","X1_PH_ln_U",0.0058170327692752,"negative"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","Nitrate_ln_U",0.877548384016305,"positive"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","Thiocyanate_ln_U",0.122451615983695,"positive"
"C06","Urinary perchlorate, nitrate and thiocyanate","CVD","Perchlorate_ln_U",1,"negative"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","Perchlorate_ln_U",0.529919631146271,"positive"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","Nitrate_ln_U",0.470080368853729,"positive"
"C06","Urinary perchlorate, nitrate and thiocyanate","LE8","Thiocyanate_ln_U",1,"negative"
